Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber
2023-10-20 20:45:22,Other,RISK OF RAIN FOR F1 QUALIFYING SESSION IS 0%,,,,,
2023-10-20 20:46:12,Other,BLUE HEAD PADDING MATERIAL MUST BE USED,,,,,
2023-10-20 21:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-10-20 21:09:41,Other,CAR 2 (SAR) TIME 1:38.203 DELETED - TRACK LIMITS AT TURN 12 LAP 5 16:09:00,,,,,
2023-10-20 21:10:52,Other,CAR 24 (ZHO) TIME 1:37.525 DELETED - TRACK LIMITS AT TURN 20 LAP 6 16:09:57,,,,,
2023-10-20 21:18:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-10-20 21:18:12,Other,"INCIDENT INVOLVING CARS 22 (TSU), 3 (RIC) AND 18 (STR) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – MAXIMUM DELTA TIME",,,,,
2023-10-20 21:18:30,Other,FIRST CAR TO TAKE THE FLAG - CAR 63 (RUS),,,,,
2023-10-20 21:19:02,Other,CAR 27 (HUL) TIME 1:36.379 DELETED - TRACK LIMITS AT TURN 19 LAP 6 16:18:20,,,,,
2023-10-20 21:25:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-10-20 21:28:21,Other,"FIA STEWARDS: INCIDENT INVOLVING CARS 22 (TSU), 3 (RIC) AND 18 (STR) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – MAXIMUM DELTA TIME",,,,,
2023-10-20 21:30:06,Other,CAR 4 (NOR) TIME 1:35.981 DELETED - TRACK LIMITS AT TURN 19 LAP 11 16:29:42,,,,,
2023-10-20 21:39:55,Other,CAR 3 (RIC) TIME 1:36.437 DELETED - TRACK LIMITS AT TURN 9 LAP 12 16:38:47,,,,,
2023-10-20 21:40:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-10-20 21:40:39,Other,FIRST CAR TO TAKE THE FLAG - CAR 22 (TSU),,,,,
2023-10-20 21:41:55,Other,CAR 3 (RIC) TIME 1:36.437 DELETED - TRACK LIMITS AT TURN 19 LAP 12 16:39:42,,,,,
2023-10-20 21:48:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-10-20 21:53:06,Other,CAR 63 (RUS) TIME 1:35.682 DELETED - TRACK LIMITS AT TURN 9 LAP 15 16:52:01,,,,,
2023-10-20 22:00:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-10-20 22:00:29,Other,FIRST CAR TO TAKE THE FLAG - CAR 4 (NOR),,,,,
2023-10-20 22:00:47,Other,CAR 1 (VER) TIME 1:34.718 DELETED - TRACK LIMITS AT TURN 19 LAP 18 17:00:12,,,,,
2023-10-20 22:09:49,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-10-20 22:10:07,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-10-20 22:10:19,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-10-20 22:17:52,Other,F1 ACADEMY QUALIFYING - DELAYED START,,,,,
