Driver,LapNumber,GapTime
LEC,0.6666666666666666,1.328
NOR,0.6666666666666666,0.0
HAM,0.6666666666666666,2.047
SAI,0.6666666666666666,1.5310000000000001
RUS,0.6666666666666666,4.296
VER,0.6666666666666666,3.203
GAS,0.6666666666666666,4.859
OCO,0.6666666666666666,4.156
PER,0.6666666666666666,4.578
PIA,0.6666666666666666,3.297
TSU,0.6666666666666666,6.015
ZHO,0.6666666666666666,5.718
BOT,0.6666666666666666,7.859
RIC,0.6666666666666666,6.484
ALB,0.6666666666666666,7.515
SAR,0.6666666666666666,8.421
MAG,0.6666666666666666,8.203
HUL,0.6666666666666666,10.281
ALO,0.6666666666666666,9.687
STR,0.6666666666666666,12.843
LEC,1.0,1.7349999999999999
NOR,1.0,0.0
HAM,1.0,2.953
SAI,1.0,2.641
RUS,1.0,5.891
VER,1.0,3.782
GAS,1.0,6.688
OCO,1.0,5.594
PER,1.0,6.313
PIA,1.0,4.453
TSU,1.0,7.531
ZHO,1.0,7.203
BOT,1.0,9.156
RIC,1.0,8.297
ALB,1.0,8.656
SAR,1.0,10.235
MAG,1.0,10.031
HUL,1.0,11.5
ALO,1.0,10.625
STR,1.0,13.234
LEC,1.3333333333333333,2.033
NOR,1.3333333333333333,0.0
HAM,1.3333333333333333,3.552
SAI,1.3333333333333333,2.975
RUS,1.3333333333333333,6.793
VER,1.3333333333333333,4.391
GAS,1.3333333333333333,7.535
OCO,1.3333333333333333,6.551
PER,1.3333333333333333,7.087
PIA,1.3333333333333333,5.053
TSU,1.3333333333333333,8.274000000000001
ZHO,1.3333333333333333,8.599
BOT,1.3333333333333333,9.911
RIC,1.3333333333333333,9.137
ALB,1.3333333333333333,9.528
SAR,1.3333333333333333,11.36
MAG,1.3333333333333333,10.986
HUL,1.3333333333333333,12.485
ALO,1.3333333333333333,11.719
STR,1.3333333333333333,13.836
LEC,1.6666666666666665,1.925
NOR,1.6666666666666665,0.0
HAM,1.6666666666666665,3.593
SAI,1.6666666666666665,2.964
RUS,1.6666666666666665,7.44
