Driver,LapNumber,LapTime,Compound
VER,2.0,95.997,MEDIUM
VER,3.0,129.904,MEDIUM
VER,5.0,95.181,MEDIUM
VER,6.0,131.6,MEDIUM
VER,7.0,125.55,MEDIUM
VER,8.0,118.293,MEDIUM
VER,10.0,94.538,SOFT
VER,11.0,124.37,SOFT
LEC,2.0,96.302,MEDIUM
LEC,3.0,135.211,MEDIUM
LEC,4.0,133.586,MEDIUM
LEC,5.0,95.999,MEDIUM
LEC,6.0,128.922,MEDIUM
LEC,8.0,95.386,MEDIUM
LEC,9.0,131.348,MEDIUM
LEC,11.0,113.926,MEDIUM
LEC,13.0,94.593,SOFT
LEC,14.0,128.866,SOFT
HAM,2.0,96.402,MEDIUM
HAM,3.0,130.428,MEDIUM
HAM,5.0,96.393,MEDIUM
HAM,6.0,125.257,MEDIUM
HAM,8.0,95.887,MEDIUM
HAM,9.0,123.733,MEDIUM
HAM,11.0,94.607,SOFT
HAM,12.0,127.043,SOFT
PER,2.0,96.347,MEDIUM
PER,3.0,125.047,MEDIUM
PER,4.0,135.069,MEDIUM
PER,5.0,107.519,MEDIUM
PER,7.0,95.718,MEDIUM
PER,8.0,131.922,MEDIUM
PER,9.0,132.969,MEDIUM
PER,10.0,99.33,MEDIUM
PER,11.0,128.569,MEDIUM
PER,13.0,95.041,SOFT
MAG,2.0,97.329,MEDIUM
MAG,3.0,128.246,MEDIUM
MAG,5.0,96.922,MEDIUM
MAG,6.0,119.953,MEDIUM
RUS,2.0,96.329,MEDIUM
RUS,3.0,135.132,MEDIUM
RUS,4.0,141.578,MEDIUM
RUS,5.0,96.281,MEDIUM
RUS,6.0,126.75,MEDIUM
RUS,8.0,95.847,MEDIUM
RUS,9.0,142.311,MEDIUM
RUS,11.0,95.199,SOFT
ALB,2.0,96.828,MEDIUM
ALB,3.0,132.699,MEDIUM
ALB,5.0,96.23,MEDIUM
ALB,6.0,125.42,MEDIUM
ALB,8.0,95.947,MEDIUM
ALB,9.0,119.91,MEDIUM
ALB,11.0,95.366,SOFT
SAI,2.0,96.322,MEDIUM
SAI,3.0,139.25,MEDIUM
SAI,4.0,132.083,MEDIUM
SAI,5.0,96.268,MEDIUM
SAI,6.0,128.221,MEDIUM
SAI,8.0,95.542,MEDIUM
SAI,9.0,134.623,MEDIUM
SAI,11.0,128.082,MEDIUM
SAI,13.0,94.939,SOFT
SAI,14.0,132.915,SOFT
HUL,2.0,97.051,MEDIUM
HUL,3.0,129.241,MEDIUM
HUL,5.0,96.749,MEDIUM
HUL,6.0,123.461,MEDIUM
GAS,2.0,96.595,MEDIUM
GAS,3.0,128.694,MEDIUM
GAS,4.0,140.173,MEDIUM
GAS,5.0,96.59,MEDIUM
GAS,6.0,120.672,MEDIUM
GAS,8.0,95.785,MEDIUM
GAS,9.0,129.482,MEDIUM
GAS,11.0,95.897,SOFT
SAR,2.0,97.788,MEDIUM
SAR,3.0,126.325,MEDIUM
SAR,5.0,97.186,MEDIUM
SAR,6.0,123.633,MEDIUM
OCO,2.0,96.372,MEDIUM
OCO,3.0,128.177,MEDIUM
OCO,4.0,135.022,MEDIUM
OCO,5.0,96.408,MEDIUM
OCO,6.0,121.782,MEDIUM
OCO,8.0,96.137,MEDIUM
OCO,9.0,126.581,MEDIUM
TSU,2.0,96.945,MEDIUM
TSU,3.0,129.543,MEDIUM
TSU,5.0,122.202,MEDIUM
RIC,2.0,97.419,MEDIUM
RIC,3.0,131.647,MEDIUM
RIC,5.0,96.737,MEDIUM
RIC,6.0,129.182,MEDIUM
RIC,8.0,95.978,MEDIUM
RIC,9.0,132.8,MEDIUM
NOR,2.0,96.723,MEDIUM
NOR,3.0,129.972,MEDIUM
NOR,4.0,96.519,MEDIUM
NOR,5.0,134.958,MEDIUM
NOR,6.0,96.499,MEDIUM
NOR,7.0,121.255,MEDIUM
NOR,9.0,95.594,MEDIUM
NOR,10.0,129.89,MEDIUM
NOR,11.0,143.242,MEDIUM
NOR,12.0,113.643,MEDIUM
NOR,14.0,94.639,SOFT
NOR,15.0,127.744,SOFT
ZHO,2.0,96.705,MEDIUM
ZHO,3.0,127.884,MEDIUM
ZHO,4.0,96.554,MEDIUM
ZHO,5.0,129.378,MEDIUM
ZHO,7.0,96.202,MEDIUM
ZHO,8.0,129.269,MEDIUM
ZHO,9.0,143.897,MEDIUM
ZHO,10.0,96.182,MEDIUM
ZHO,11.0,129.43,MEDIUM
BOT,2.0,97.323,MEDIUM
BOT,3.0,128.768,MEDIUM
BOT,5.0,96.922,MEDIUM
BOT,6.0,128.618,MEDIUM
ALO,2.0,97.107,MEDIUM
ALO,3.0,136.503,MEDIUM
ALO,4.0,134.33,MEDIUM
ALO,5.0,96.365,MEDIUM
ALO,6.0,128.616,MEDIUM
ALO,8.0,96.087,MEDIUM
ALO,9.0,128.891,MEDIUM
PIA,2.0,97.978,MEDIUM
PIA,3.0,129.917,MEDIUM
PIA,4.0,96.827,MEDIUM
PIA,5.0,140.24,MEDIUM
PIA,6.0,96.703,MEDIUM
PIA,7.0,122.48,MEDIUM
PIA,9.0,95.753,MEDIUM
PIA,10.0,130.625,MEDIUM
PIA,11.0,143.991,MEDIUM
PIA,12.0,101.998,MEDIUM
PIA,14.0,94.894,SOFT
PIA,15.0,133.821,SOFT
STR,2.0,97.547,MEDIUM
STR,3.0,131.783,MEDIUM
STR,4.0,137.707,MEDIUM
STR,5.0,96.575,MEDIUM
STR,6.0,125.166,MEDIUM
STR,8.0,96.181,MEDIUM
STR,9.0,130.675,MEDIUM
STR,10.0,138.242,MEDIUM
STR,11.0,122.924,MEDIUM
