Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber
2023-10-21 17:15:07,Other,RISK OF RAIN FOR F1 SPRINT SHOOTOUT IS 0%,,,,,
2023-10-21 17:22:55,Other,BLUE HEAD PADDING MATERIAL MUST BE USED,,,,,
2023-10-21 17:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-10-21 17:42:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-10-21 17:42:41,Other,TURN 19 INCIDENT INVOLVING CARS 63 (RUS) AND 16 (LEC) NOTED - IMPEDING,,,,,
2023-10-21 17:42:50,Other,FIRST CAR TO TAKE THE FLAG - CAR 22 (TSU),,,,,
2023-10-21 17:43:10,Other,CAR 10 (GAS) TIME 1:36.590 DELETED - TRACK LIMITS AT TURN 19 LAP 6 12:42:39,,,,,
2023-10-21 17:43:59,Other,FIA STEWARDS: TURN 19 INCIDENT INVOLVING CARS 63 (RUS) AND 16 (LEC) WILL BE INVESTIGATED AFTER THE SESSION - IMPEDING,,,,,
2023-10-21 17:46:05,Other,"INCIDENT INVOLVING CARS 63 (RUS), 23 (ALB), 27 (HUL), 20 (MAG), 10 (GAS), 81 (PIA), 77 (BOT), 22 (TSU), 11 (PER) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – MAXIMUM DELTA TIME",,,,,
2023-10-21 17:47:55,Other,TURN 19 INCIDENT INVOLVING CARS 44 (HAM) AND 22 (TSU) NOTED ,,,,,
2023-10-21 17:48:00,Other,"FIA STEWARDS: INCIDENT INVOLVING CARS 63 (RUS), 23 (ALB), 27 (HUL), 20 (MAG), 10 (GAS), 81 (PIA), 77 (BOT), 22 (TSU), 11 (PER) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – MAXIMUM DELTA TIME",,,,,
2023-10-21 17:49:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-10-21 17:50:21,Other,FIA STEWARDS: TURN 19 INCIDENT INVOLVING CARS 44 (HAM) AND 22 (TSU) REVIEWED NO FURTHER INVESTIGATION ,,,,,
2023-10-21 17:57:37,CarEvent,CAR 1 (VER) SPUN AND CONTINUED AT TURN 9,,,,,1
2023-10-21 17:59:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-10-21 18:01:59,Other,"INCIDENT INVOLVING CARS 18 (STR), 23 (ALB), 24 (ZHO), 81 (PIA), 3 (RIC), 4 (NOR), 63 (RUS) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – MAXIMUM DELTA TIME",,,,,
2023-10-21 18:06:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-10-21 18:06:34,Other,"FIA STEWARDS: INCIDENT INVOLVING CARS 18 (STR), 23 (ALB), 24 (ZHO), 81 (PIA), 3 (RIC), 4 (NOR), 63 (RUS) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – MAXIMUM DELTA TIME",,,,,
2023-10-21 18:14:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-10-21 18:14:17,Other,FIRST CAR TO TAKE THE FLAG - CAR 55 (SAI),,,,,
