Driver,LapNumber,GapTime
VER,0.6666666666666666,0.0
LEC,0.6666666666666666,1.7810000000000001
HAM,0.6666666666666666,0.609
NOR,0.6666666666666666,2.8120000000000003
PIA,0.6666666666666666,3.375
SAI,0.6666666666666666,2.391
PER,0.6666666666666666,3.578
ALB,0.6666666666666666,4.844
GAS,0.6666666666666666,4.734
RIC,0.6666666666666666,5.984
RUS,0.6666666666666666,4.297
ALO,0.6666666666666666,7.25
OCO,0.6666666666666666,5.531
STR,0.6666666666666666,7.203
ZHO,0.6666666666666666,8.344
HUL,0.6666666666666666,7.375
MAG,0.6666666666666666,7.391
BOT,0.6666666666666666,8.531
TSU,0.6666666666666666,8.078
SAR,0.6666666666666666,9.062
VER,1.0,0.0
LEC,1.0,2.484
HAM,1.0,0.75
NOR,1.0,4.312
PIA,1.0,4.875
SAI,1.0,3.468
PER,1.0,5.406
ALB,1.0,6.781
GAS,1.0,6.296
RIC,1.0,8.093
RUS,1.0,5.843
ALO,1.0,9.953
OCO,1.0,7.343
STR,1.0,8.718
ZHO,1.0,11.078
HUL,1.0,10.531
MAG,1.0,9.296
BOT,1.0,11.546
TSU,1.0,11.078
SAR,1.0,12.093
VER,1.3333333333333333,0.0
LEC,1.3333333333333333,2.7439999999999998
HAM,1.3333333333333333,0.681
NOR,1.3333333333333333,4.955
PIA,1.3333333333333333,5.441
SAI,1.3333333333333333,3.798
PER,1.3333333333333333,5.902
ALB,1.3333333333333333,7.422
GAS,1.3333333333333333,6.969
RIC,1.3333333333333333,8.629
RUS,1.3333333333333333,6.358
ALO,1.3333333333333333,10.986
OCO,1.3333333333333333,7.932
STR,1.3333333333333333,9.523
ZHO,1.3333333333333333,12.618
HUL,1.3333333333333333,11.596
MAG,1.3333333333333333,10.114
BOT,1.3333333333333333,13.039
TSU,1.3333333333333333,11.907
SAR,1.3333333333333333,13.665
VER,1.6666666666666665,0.0
LEC,1.6666666666666665,2.867
HAM,1.6666666666666665,0.558
NOR,1.6666666666666665,5.558
PIA,1.6666666666666665,6.003
SAI,1.6666666666666665,4.379
PER,1.6666666666666665,6.1
ALB,1.6666666666666665,8.003
GAS,1.6666666666666665,7.489
RIC,1.6666666666666665,9.326
RUS,1.6666666666666665,6.683
ALO,1.6666666666666665,11.773
OCO,1.6666666666666665,8.703
STR,1.6666666666666665,10.11
