Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber
2023-10-27 21:45:04,Other,RISK OF RAIN FOR F1 SECOND PRACTICE SESSION IS 20%,,,,,
2023-10-27 22:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-10-27 22:24:30,Flag,DOUBLE YELLOW IN TRACK SECTOR 10,,DOUBLE YELLOW,Sector,10.0,
2023-10-27 22:24:37,Flag,CLEAR IN TRACK SECTOR 10,,CLEAR,Sector,10.0,
2023-10-27 22:24:49,CarEvent,CAR 14 (ALO) SPUN AND CONTINUED AT TURN 9,,,,,14
2023-10-27 22:44:33,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 5,,,,,
2023-10-27 22:44:38,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,
2023-10-27 22:50:56,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 13,,,,,
2023-10-27 22:52:11,Flag,CLEAR IN TRACK SECTOR 13,,CLEAR,Sector,13.0,
2023-10-27 22:56:08,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 12,,,,,
2023-10-27 22:56:10,Flag,CLEAR IN TRACK SECTOR 12,,CLEAR,Sector,12.0,
2023-10-27 22:56:13,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 12,,,,,
2023-10-27 22:56:14,Flag,CLEAR IN TRACK SECTOR 12,,CLEAR,Sector,12.0,
2023-10-27 23:00:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-10-27 23:00:13,Other,FIRST CAR TO TAKE THE FLAG - CAR 77 (BOT),,,,,
2023-10-27 23:04:24,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 3,,,,,
2023-10-27 23:04:35,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,
2023-10-27 23:05:02,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 6,,,,,
2023-10-27 23:05:13,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,
