Driver,LapNumber,LapTime,Compound
VER,2.0,78.717,SOFT
VER,3.0,127.161,SOFT
VER,5.0,78.429,SOFT
VER,6.0,82.774,SOFT
VER,7.0,81.165,SOFT
VER,8.0,81.22,SOFT
VER,9.0,81.152,SOFT
VER,10.0,88.931,SOFT
VER,12.0,77.887,SOFT
VER,13.0,117.326,SOFT
VER,14.0,108.266,SOFT
VER,15.0,78.373,SOFT
VER,16.0,105.491,SOFT
VER,18.0,98.142,SOFT
VER,19.0,118.525,SOFT
SAR,2.0,79.389,SOFT
SAR,3.0,112.417,SOFT
SAR,4.0,118.18,SOFT
SAR,5.0,79.823,SOFT
SAR,6.0,103.566,SOFT
SAR,8.0,78.718,SOFT
SAR,9.0,98.466,SOFT
SAR,11.0,79.084,SOFT
SAR,12.0,103.917,SOFT
SAR,14.0,109.285,SOFT
SAR,15.0,120.11,SOFT
RIC,2.0,79.235,MEDIUM
RIC,3.0,122.465,MEDIUM
RIC,4.0,78.944,MEDIUM
RIC,5.0,115.001,MEDIUM
RIC,6.0,122.486,MEDIUM
RIC,8.0,78.628,SOFT
RIC,9.0,124.712,SOFT
RIC,10.0,110.316,SOFT
RIC,11.0,78.499,SOFT
RIC,12.0,99.187,SOFT
RIC,14.0,100.202,SOFT
RIC,15.0,115.287,SOFT
NOR,2.0,79.506,SOFT
NOR,3.0,107.504,SOFT
NOR,5.0,79.61,SOFT
NOR,6.0,82.49,SOFT
NOR,7.0,81.353,SOFT
NOR,8.0,81.94,SOFT
NOR,9.0,81.92,SOFT
NOR,10.0,85.134,SOFT
NOR,11.0,83.086,SOFT
NOR,12.0,88.605,SOFT
NOR,14.0,78.48,SOFT
NOR,15.0,108.37,SOFT
NOR,16.0,108.483,SOFT
NOR,17.0,78.678,SOFT
NOR,18.0,96.928,SOFT
NOR,20.0,106.692,SOFT
NOR,21.0,135.387,SOFT
GAS,2.0,118.598,MEDIUM
GAS,3.0,120.251,MEDIUM
GAS,4.0,104.772,MEDIUM
GAS,5.0,80.584,MEDIUM
GAS,6.0,111.639,MEDIUM
GAS,7.0,81.085,MEDIUM
GAS,8.0,83.744,MEDIUM
GAS,9.0,81.933,MEDIUM
GAS,10.0,88.048,MEDIUM
GAS,12.0,79.561,SOFT
GAS,13.0,115.148,SOFT
GAS,14.0,120.232,SOFT
GAS,15.0,79.509,SOFT
GAS,16.0,110.925,SOFT
GAS,17.0,80.565,SOFT
GAS,18.0,104.512,SOFT
GAS,19.0,120.014,SOFT
PER,2.0,79.372,SOFT
PER,3.0,114.066,SOFT
PER,4.0,148.785,SOFT
PER,5.0,78.787,SOFT
PER,6.0,88.88,SOFT
PER,7.0,81.94,SOFT
PER,8.0,81.913,SOFT
PER,9.0,81.745,SOFT
PER,10.0,85.093,SOFT
PER,12.0,78.026,SOFT
PER,13.0,122.621,SOFT
PER,14.0,129.49,SOFT
PER,15.0,78.416,SOFT
PER,16.0,143.249,SOFT
PER,17.0,98.659,SOFT
PER,18.0,94.844,SOFT
PER,19.0,115.786,SOFT
ALO,2.0,132.669,HARD
ALO,4.0,80.943,MEDIUM
ALO,5.0,123.902,MEDIUM
ALO,6.0,80.274,MEDIUM
ALO,7.0,100.037,MEDIUM
ALO,9.0,79.927,MEDIUM
ALO,10.0,118.54,MEDIUM
ALO,11.0,80.115,MEDIUM
ALO,12.0,88.642,MEDIUM
ALO,14.0,79.56,SOFT
ALO,15.0,128.014,SOFT
ALO,16.0,124.043,SOFT
ALO,17.0,79.471,SOFT
ALO,18.0,109.834,SOFT
ALO,19.0,79.603,SOFT
ALO,20.0,98.345,SOFT
ALO,21.0,123.853,SOFT
LEC,2.0,79.283,SOFT
LEC,3.0,116.677,SOFT
LEC,5.0,79.246,SOFT
LEC,6.0,102.91,SOFT
LEC,8.0,81.022,SOFT
LEC,9.0,82.372,SOFT
LEC,10.0,82.226,SOFT
LEC,11.0,82.178,SOFT
LEC,12.0,82.317,SOFT
LEC,13.0,81.994,SOFT
LEC,14.0,82.065,SOFT
LEC,15.0,96.343,SOFT
LEC,17.0,99.9,SOFT
LEC,18.0,145.51,SOFT
LEC,19.0,107.953,SOFT
LEC,20.0,78.97,SOFT
LEC,21.0,109.823,SOFT
LEC,22.0,119.666,SOFT
STR,2.0,121.548,MEDIUM
STR,4.0,80.217,MEDIUM
STR,5.0,111.014,MEDIUM
STR,6.0,80.027,MEDIUM
STR,7.0,114.949,MEDIUM
STR,9.0,85.816,MEDIUM
STR,10.0,108.846,MEDIUM
STR,11.0,80.528,MEDIUM
STR,12.0,94.653,MEDIUM
STR,14.0,111.679,SOFT
STR,15.0,133.079,SOFT
STR,16.0,101.571,SOFT
STR,17.0,79.094,SOFT
STR,18.0,100.714,SOFT
STR,19.0,95.632,SOFT
STR,20.0,103.866,SOFT
MAG,3.0,82.065,SOFT
MAG,4.0,129.92,SOFT
MAG,5.0,124.416,SOFT
MAG,6.0,79.573,SOFT
MAG,7.0,111.179,SOFT
MAG,8.0,97.848,SOFT
MAG,9.0,123.392,SOFT
TSU,2.0,80.52,SOFT
TSU,3.0,117.6,SOFT
TSU,4.0,138.302,SOFT
TSU,5.0,82.462,SOFT
TSU,6.0,99.715,SOFT
TSU,8.0,88.393,SOFT
TSU,9.0,82.547,SOFT
TSU,10.0,82.565,SOFT
TSU,11.0,82.524,SOFT
TSU,12.0,83.168,SOFT
TSU,13.0,83.334,SOFT
TSU,14.0,82.867,SOFT
TSU,15.0,83.23,SOFT
TSU,16.0,88.328,SOFT
TSU,18.0,93.4,SOFT
TSU,20.0,78.671,SOFT
TSU,21.0,111.005,SOFT
TSU,22.0,134.869,SOFT
TSU,23.0,78.45,SOFT
TSU,24.0,99.228,SOFT
TSU,25.0,98.373,SOFT
TSU,26.0,124.248,SOFT
ALB,2.0,79.464,MEDIUM
ALB,3.0,122.313,MEDIUM
ALB,4.0,127.656,MEDIUM
ALB,5.0,79.945,MEDIUM
ALB,6.0,114.792,MEDIUM
ALB,7.0,102.299,MEDIUM
ALB,8.0,79.567,MEDIUM
ALB,9.0,100.098,MEDIUM
ALB,11.0,77.957,SOFT
ALB,12.0,108.809,SOFT
ALB,14.0,78.881,SOFT
ALB,15.0,90.939,SOFT
ALB,17.0,133.33,MEDIUM
ALB,18.0,113.54,MEDIUM
ALB,19.0,113.801,MEDIUM
ZHO,2.0,81.481,HARD
ZHO,3.0,124.128,HARD
ZHO,4.0,81.51,HARD
ZHO,5.0,130.888,HARD
ZHO,6.0,81.232,HARD
ZHO,7.0,129.397,HARD
ZHO,8.0,81.513,HARD
ZHO,9.0,105.517,HARD
ZHO,10.0,80.979,HARD
ZHO,11.0,97.381,HARD
ZHO,12.0,126.215,HARD
ZHO,14.0,78.917,SOFT
ZHO,15.0,123.4,SOFT
ZHO,16.0,120.92,SOFT
ZHO,17.0,80.199,SOFT
ZHO,18.0,99.24,SOFT
ZHO,20.0,105.69,HARD
ZHO,21.0,128.701,HARD
HUL,2.0,80.192,SOFT
HUL,3.0,124.078,SOFT
HUL,4.0,88.248,SOFT
HUL,5.0,124.372,SOFT
HUL,6.0,82.744,SOFT
HUL,7.0,82.506,SOFT
HUL,8.0,82.238,SOFT
HUL,9.0,82.317,SOFT
HUL,10.0,90.94,SOFT
HUL,12.0,79.32,SOFT
HUL,13.0,115.402,SOFT
HUL,14.0,134.884,SOFT
HUL,15.0,79.984,SOFT
HUL,16.0,100.503,SOFT
HUL,17.0,90.895,SOFT
HUL,18.0,110.823,SOFT
OCO,2.0,80.557,MEDIUM
OCO,3.0,115.236,MEDIUM
OCO,4.0,106.351,MEDIUM
OCO,5.0,80.434,MEDIUM
OCO,6.0,83.135,MEDIUM
OCO,7.0,82.084,MEDIUM
OCO,8.0,82.303,MEDIUM
OCO,9.0,96.275,MEDIUM
OCO,11.0,111.918,SOFT
OCO,12.0,79.902,SOFT
OCO,13.0,114.315,SOFT
OCO,14.0,126.282,SOFT
OCO,15.0,79.839,SOFT
OCO,16.0,104.286,SOFT
OCO,18.0,99.677,MEDIUM
OCO,19.0,118.152,MEDIUM
HAM,2.0,79.214,SOFT
HAM,3.0,142.667,SOFT
HAM,4.0,135.328,SOFT
HAM,5.0,79.618,SOFT
HAM,6.0,100.548,SOFT
HAM,8.0,82.277,SOFT
HAM,9.0,82.197,SOFT
HAM,10.0,82.076,SOFT
HAM,11.0,82.815,SOFT
HAM,12.0,98.42,SOFT
HAM,14.0,78.522,SOFT
HAM,15.0,135.196,SOFT
HAM,16.0,144.458,SOFT
HAM,17.0,79.242,SOFT
HAM,18.0,95.091,SOFT
HAM,20.0,113.781,SOFT
SAI,2.0,79.449,SOFT
SAI,3.0,115.784,SOFT
SAI,5.0,93.297,SOFT
SAI,7.0,129.871,SOFT
SAI,8.0,79.293,SOFT
SAI,9.0,96.951,SOFT
SAI,11.0,82.799,SOFT
SAI,12.0,82.313,SOFT
SAI,13.0,81.866,SOFT
SAI,14.0,81.794,SOFT
SAI,15.0,81.996,SOFT
SAI,16.0,86.279,SOFT
SAI,18.0,98.461,SOFT
SAI,19.0,118.79,SOFT
SAI,20.0,149.362,SOFT
SAI,21.0,79.323,SOFT
SAI,22.0,108.353,SOFT
SAI,23.0,120.673,SOFT
RUS,2.0,78.644,SOFT
RUS,3.0,125.211,SOFT
RUS,4.0,124.009,SOFT
RUS,5.0,91.633,SOFT
RUS,7.0,82.889,SOFT
RUS,8.0,82.255,SOFT
RUS,9.0,81.623,SOFT
RUS,10.0,81.979,SOFT
RUS,11.0,89.868,SOFT
RUS,13.0,78.248,SOFT
RUS,14.0,124.911,SOFT
RUS,15.0,122.219,SOFT
RUS,16.0,79.341,SOFT
RUS,17.0,104.264,SOFT
RUS,19.0,107.751,SOFT
RUS,20.0,120.891,SOFT
BOT,2.0,80.74,HARD
BOT,3.0,102.542,HARD
BOT,4.0,81.663,HARD
BOT,5.0,100.122,HARD
BOT,6.0,80.826,HARD
BOT,7.0,98.639,HARD
BOT,9.0,82.698,HARD
BOT,10.0,82.207,HARD
BOT,11.0,82.827,HARD
BOT,12.0,82.915,HARD
BOT,13.0,82.667,HARD
BOT,14.0,82.938,HARD
BOT,15.0,82.705,HARD
BOT,16.0,83.485,HARD
BOT,17.0,85.894,HARD
BOT,19.0,78.437,SOFT
BOT,20.0,103.616,SOFT
BOT,21.0,102.887,SOFT
BOT,22.0,78.481,SOFT
BOT,23.0,114.326,SOFT
BOT,25.0,96.829,HARD
BOT,26.0,116.752,HARD
PIA,2.0,80.133,SOFT
PIA,3.0,107.188,SOFT
PIA,4.0,80.04,SOFT
PIA,5.0,103.195,SOFT
PIA,7.0,81.563,SOFT
PIA,8.0,81.364,SOFT
PIA,9.0,81.305,SOFT
PIA,10.0,81.534,SOFT
PIA,11.0,81.642,SOFT
PIA,12.0,82.181,SOFT
PIA,13.0,82.68,SOFT
PIA,14.0,89.39,SOFT
PIA,16.0,79.075,SOFT
