Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber
2023-10-28 20:47:43,Other,RISK OF RAIN FOR F1 QUALIFYING SESSION IS 10%,,,,,
2023-10-28 21:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-10-28 21:11:00,Other,CAR 2 (SAR) TIME 1:20.439 DELETED - TRACK LIMITS AT TURN 12 LAP 3 15:09:57,,,,,
2023-10-28 21:15:06,Other,PIT EXIT INCIDENT INVOLVING CAR 1 (VER) NOTED - IMPEDING,,,,,
2023-10-28 21:15:58,Other,PIT EXIT INCIDENT INVOLVING CAR 63 (RUS) NOTED - IMPEDING,,,,,
2023-10-28 21:16:49,Other,FIA STEWARDS: PIT EXIT INCIDENT INVOLVING CAR 1 (VER) WILL BE INVESTIGATED AFTER THE SESSION - IMPEDING,,,,,
2023-10-28 21:17:11,Other,PIT EXIT INCIDENT INVOLVING CAR 14 (ALO) NOTED - IMPEDING,,,,,
2023-10-28 21:17:25,Flag,YELLOW IN TRACK SECTOR 4,,YELLOW,Sector,4.0,
2023-10-28 21:17:27,Other,DRS DISABLED IN ZONE 3,,,,,
2023-10-28 21:17:58,Other,DRS ENABLED IN ZONE 3,,,,,
2023-10-28 21:17:58,Flag,CLEAR IN TRACK SECTOR 4,,CLEAR,Sector,4.0,
2023-10-28 21:18:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-10-28 21:18:01,Flag,YELLOW IN TRACK SECTOR 4,,YELLOW,Sector,4.0,
2023-10-28 21:18:02,Other,DRS DISABLED IN ZONE 3,,,,,
2023-10-28 21:18:03,Flag,CLEAR IN TRACK SECTOR 4,,CLEAR,Sector,4.0,
2023-10-28 21:18:03,Other,DRS ENABLED IN ZONE 3,,,,,
2023-10-28 21:18:24,Other,FIA STEWARDS: PIT EXIT INCIDENT INVOLVING CAR 63 (RUS) WILL BE INVESTIGATED AFTER THE SESSION - IMPEDING,,,,,
2023-10-28 21:18:29,Other,FIA STEWARDS: PIT EXIT INCIDENT INVOLVING CAR 14 (ALO) WILL BE INVESTIGATED AFTER THE SESSION - IMPEDING,,,,,
2023-10-28 21:19:23,Other,FIRST CAR TO TAKE THE FLAG - CAR 55 (SAI),,,,,
2023-10-28 21:19:30,Other,CAR 2 (SAR) TIME 1:19.965 DELETED - TRACK LIMITS AT TURN 11 LAP 6 15:18:16,,,,,
2023-10-28 21:19:46,Other,CAR 44 (HAM) LAP DELETED - TRACK LIMITS AT TURN 11 LAP 7 15:18:42,,,,,
2023-10-28 21:20:43,Other,"FIA STEWARDS: INCIDENT INVOLVING CARS 63 (RUS), 4 (NOR), 24 (ZHO) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,
2023-10-28 21:22:26,Other,INCIDENT INVOLVING CAR 44 (HAM) NOTED - FAILING TO SLOW UNDER YELLOW FLAGS,,,,,
2023-10-28 21:23:57,Other,INCIDENT INVOLVING CAR 2 (SAR) NOTED - FAILING TO SLOW UNDER YELLOW FLAGS,,,,,
2023-10-28 21:24:23,Other,INCIDENT INVOLVING CARS 2 (SAR) AND 22 (TSU) NOTED - OVERTAKING UNDER YELLOW FLAGS,,,,,
2023-10-28 21:24:57,Other,"FIA STEWARDS: INCIDENT INVOLVING CARS 63 (RUS), 4 (NOR), 24 (ZHO) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,
2023-10-28 21:25:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-10-28 21:25:48,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 44 (HAM) UNDER INVESTIGATION - FAILING TO SLOW UNDER YELLOW FLAGS,,,,,
2023-10-28 21:35:41,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 2 (SAR) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO SLOW UNDER YELLOW FLAGS,,,,,
2023-10-28 21:35:47,Other,FIA STEWARDS: INCIDENT INVOLVING CARS 2 (SAR) AND 22 (TSU) WILL BE INVESTIGATED AFTER THE SESSION - OVERTAKING UNDER YELLOW FLAGS,,,,,
2023-10-28 21:39:15,Other,INCIDENT INVOLVING WILLIAMS EQUIPMENT NOTED,,,,,
2023-10-28 21:39:23,Other,FIA STEWARDS: INCIDENT INVOLVING WILLIAMS EQUIPMENT UNDER INVESTIGATION,,,,,
2023-10-28 21:40:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-10-28 21:40:12,Other,FIRST CAR TO TAKE THE FLAG - CAR 10 (GAS),,,,,
2023-10-28 21:42:48,Other,CAR 23 (ALB) TIME 1:18.302 DELETED - TRACK LIMITS AT TURN 2 LAP 12 15:39:38,,,,,
2023-10-28 21:48:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-10-28 22:00:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-10-28 22:00:30,Other,FIRST CAR TO TAKE THE FLAG - CAR 63 (RUS),,,,,
