Driver,LapNumber,LapTime,Compound
VER,2.0,83.859,MEDIUM
VER,3.0,83.573,MEDIUM
VER,4.0,83.708,MEDIUM
VER,5.0,104.819,MEDIUM
VER,6.0,83.339,MEDIUM
VER,7.0,83.453,MEDIUM
VER,8.0,83.357,MEDIUM
VER,9.0,83.218,MEDIUM
VER,10.0,83.276,MEDIUM
VER,11.0,83.626,MEDIUM
VER,12.0,83.644,MEDIUM
VER,13.0,83.792,MEDIUM
VER,14.0,83.695,MEDIUM
VER,15.0,83.714,MEDIUM
VER,16.0,83.585,MEDIUM
VER,17.0,83.644,MEDIUM
VER,18.0,83.927,MEDIUM
VER,19.0,86.825,MEDIUM
VER,20.0,101.221,HARD
VER,21.0,82.643,HARD
VER,22.0,82.622,HARD
VER,23.0,82.781,HARD
VER,24.0,83.762,HARD
VER,25.0,82.354,HARD
VER,26.0,82.972,HARD
VER,27.0,83.023,HARD
VER,28.0,83.162,HARD
VER,29.0,82.224,HARD
VER,30.0,82.904,HARD
VER,31.0,83.436,HARD
VER,32.0,83.204,HARD
VER,33.0,95.664,HARD
VER,37.0,82.471,HARD
VER,38.0,82.185,HARD
VER,39.0,82.059,HARD
VER,40.0,81.644,HARD
VER,41.0,81.787,HARD
VER,42.0,81.986,HARD
VER,43.0,82.041,HARD
VER,44.0,82.068,HARD
VER,45.0,82.129,HARD
VER,46.0,82.105,HARD
VER,47.0,82.06,HARD
VER,48.0,82.179,HARD
VER,49.0,82.172,HARD
VER,50.0,82.294,HARD
VER,51.0,82.323,HARD
VER,52.0,82.336,HARD
VER,53.0,82.286,HARD
VER,54.0,82.418,HARD
VER,55.0,82.421,HARD
VER,56.0,82.415,HARD
VER,57.0,82.23,HARD
VER,58.0,82.37,HARD
VER,59.0,82.208,HARD
VER,60.0,81.991,HARD
VER,61.0,82.1,HARD
VER,62.0,82.196,HARD
VER,63.0,82.245,HARD
VER,64.0,82.2,HARD
VER,65.0,82.377,HARD
VER,66.0,82.11,HARD
VER,67.0,82.774,HARD
VER,68.0,82.43,HARD
VER,69.0,82.47,HARD
VER,70.0,82.367,HARD
VER,71.0,82.85,HARD
GAS,2.0,85.443,MEDIUM
GAS,3.0,84.804,MEDIUM
GAS,4.0,84.249,MEDIUM
GAS,5.0,105.637,MEDIUM
GAS,6.0,83.989,MEDIUM
GAS,7.0,84.292,MEDIUM
GAS,8.0,84.829,MEDIUM
GAS,9.0,84.958,MEDIUM
GAS,10.0,84.88,MEDIUM
GAS,11.0,84.9,MEDIUM
GAS,12.0,85.189,MEDIUM
GAS,13.0,85.153,MEDIUM
GAS,14.0,85.003,MEDIUM
GAS,15.0,85.11,MEDIUM
GAS,16.0,85.121,MEDIUM
GAS,17.0,85.331,MEDIUM
GAS,18.0,85.419,MEDIUM
GAS,19.0,85.126,MEDIUM
GAS,20.0,84.779,MEDIUM
GAS,21.0,84.732,MEDIUM
GAS,22.0,85.087,MEDIUM
GAS,23.0,85.36,MEDIUM
GAS,24.0,84.435,MEDIUM
GAS,25.0,85.078,MEDIUM
GAS,26.0,84.914,MEDIUM
GAS,27.0,84.978,MEDIUM
GAS,28.0,87.81,MEDIUM
GAS,29.0,103.332,HARD
GAS,30.0,84.005,HARD
GAS,31.0,83.6,HARD
GAS,32.0,83.779,HARD
GAS,33.0,108.916,HARD
GAS,34.0,135.793,HARD
GAS,36.0,133.022,HARD
GAS,37.0,84.247,HARD
GAS,38.0,83.586,HARD
GAS,39.0,83.307,HARD
GAS,40.0,83.524,HARD
GAS,41.0,83.407,HARD
GAS,42.0,83.426,HARD
GAS,43.0,83.23,HARD
GAS,44.0,83.385,HARD
GAS,45.0,84.325,HARD
GAS,46.0,84.427,HARD
GAS,47.0,84.267,HARD
GAS,48.0,84.167,HARD
GAS,49.0,84.614,HARD
GAS,50.0,83.937,HARD
GAS,51.0,84.041,HARD
GAS,52.0,84.527,HARD
GAS,53.0,84.274,HARD
GAS,54.0,84.246,HARD
GAS,55.0,83.842,HARD
GAS,56.0,83.727,HARD
GAS,57.0,83.695,HARD
GAS,58.0,84.38,HARD
GAS,59.0,83.672,HARD
GAS,60.0,83.916,HARD
GAS,61.0,83.824,HARD
GAS,62.0,84.276,HARD
GAS,63.0,84.229,HARD
GAS,64.0,84.282,HARD
GAS,65.0,84.029,HARD
GAS,66.0,84.726,HARD
GAS,67.0,83.512,HARD
GAS,68.0,83.324,HARD
GAS,69.0,83.359,HARD
GAS,70.0,83.306,HARD
GAS,71.0,83.3,HARD
ALO,2.0,86.688,MEDIUM
ALO,3.0,85.829,MEDIUM
ALO,4.0,89.12,MEDIUM
ALO,5.0,101.773,MEDIUM
ALO,6.0,84.716,MEDIUM
ALO,7.0,85.748,MEDIUM
ALO,8.0,85.068,MEDIUM
ALO,9.0,84.985,MEDIUM
ALO,10.0,84.759,MEDIUM
ALO,11.0,86.309,MEDIUM
ALO,12.0,84.912,MEDIUM
ALO,13.0,85.464,MEDIUM
ALO,14.0,85.179,MEDIUM
ALO,15.0,85.329,MEDIUM
ALO,16.0,85.509,MEDIUM
ALO,17.0,85.485,MEDIUM
ALO,18.0,85.716,MEDIUM
ALO,19.0,85.088,MEDIUM
ALO,20.0,85.111,MEDIUM
ALO,21.0,86.642,MEDIUM
ALO,22.0,85.941,MEDIUM
ALO,23.0,85.938,MEDIUM
ALO,24.0,86.197,MEDIUM
ALO,25.0,85.212,MEDIUM
ALO,26.0,85.181,MEDIUM
ALO,27.0,85.247,MEDIUM
ALO,28.0,85.046,MEDIUM
ALO,29.0,88.472,MEDIUM
ALO,30.0,102.893,HARD
ALO,31.0,83.685,HARD
ALO,32.0,90.304,HARD
ALO,33.0,109.953,HARD
ALO,34.0,132.573,HARD
ALO,36.0,113.229,HARD
ALO,37.0,85.575,HARD
ALO,38.0,84.272,HARD
ALO,39.0,83.846,HARD
ALO,40.0,83.531,HARD
ALO,41.0,85.289,HARD
ALO,42.0,84.07,HARD
ALO,43.0,83.913,HARD
ALO,44.0,83.994,HARD
ALO,45.0,84.283,HARD
ALO,46.0,83.932,HARD
ALO,47.0,92.827,HARD
LEC,2.0,83.98,MEDIUM
LEC,3.0,83.957,MEDIUM
LEC,4.0,83.815,MEDIUM
LEC,5.0,104.739,MEDIUM
LEC,6.0,83.383,MEDIUM
LEC,7.0,83.489,MEDIUM
LEC,8.0,83.324,MEDIUM
LEC,9.0,83.673,MEDIUM
LEC,10.0,83.722,MEDIUM
LEC,11.0,83.868,MEDIUM
LEC,12.0,83.709,MEDIUM
LEC,13.0,84.09,MEDIUM
LEC,14.0,84.32,MEDIUM
LEC,15.0,83.84,MEDIUM
LEC,16.0,83.552,MEDIUM
LEC,17.0,83.649,MEDIUM
LEC,18.0,84.169,MEDIUM
LEC,19.0,83.894,MEDIUM
LEC,20.0,83.496,MEDIUM
LEC,21.0,83.452,MEDIUM
LEC,22.0,83.666,MEDIUM
LEC,23.0,83.878,MEDIUM
LEC,24.0,83.786,MEDIUM
LEC,25.0,83.941,MEDIUM
LEC,26.0,83.709,MEDIUM
LEC,27.0,84.264,MEDIUM
LEC,28.0,83.69,MEDIUM
LEC,29.0,83.86,MEDIUM
LEC,30.0,84.131,MEDIUM
LEC,31.0,87.924,MEDIUM
LEC,32.0,101.329,HARD
LEC,33.0,97.428,HARD
LEC,37.0,83.118,HARD
LEC,38.0,82.332,HARD
LEC,39.0,82.559,HARD
LEC,40.0,83.501,HARD
LEC,41.0,82.865,HARD
LEC,42.0,82.844,HARD
LEC,43.0,82.888,HARD
LEC,44.0,83.163,HARD
LEC,45.0,83.082,HARD
LEC,46.0,83.073,HARD
LEC,47.0,83.101,HARD
LEC,48.0,83.115,HARD
LEC,49.0,83.003,HARD
LEC,50.0,83.167,HARD
LEC,51.0,82.858,HARD
LEC,52.0,82.769,HARD
LEC,53.0,82.942,HARD
LEC,54.0,82.844,HARD
LEC,55.0,82.873,HARD
LEC,56.0,82.636,HARD
LEC,57.0,82.538,HARD
LEC,58.0,82.634,HARD
LEC,59.0,82.504,HARD
LEC,60.0,82.632,HARD
LEC,61.0,82.768,HARD
LEC,62.0,82.783,HARD
LEC,63.0,82.805,HARD
LEC,64.0,82.708,HARD
LEC,65.0,82.921,HARD
LEC,66.0,82.619,HARD
LEC,67.0,82.796,HARD
LEC,68.0,82.772,HARD
LEC,69.0,82.971,HARD
LEC,70.0,82.983,HARD
LEC,71.0,82.905,HARD
STR,2.0,86.402,MEDIUM
STR,3.0,86.305,MEDIUM
STR,4.0,90.303,MEDIUM
STR,5.0,99.882,MEDIUM
STR,6.0,84.583,MEDIUM
STR,7.0,84.862,MEDIUM
STR,8.0,85.079,MEDIUM
STR,9.0,85.134,MEDIUM
STR,10.0,84.877,MEDIUM
STR,11.0,84.375,MEDIUM
STR,12.0,84.635,MEDIUM
STR,13.0,84.984,MEDIUM
STR,14.0,85.029,MEDIUM
STR,15.0,85.285,MEDIUM
STR,16.0,85.325,MEDIUM
STR,17.0,85.504,MEDIUM
STR,18.0,85.749,MEDIUM
STR,19.0,85.262,MEDIUM
STR,20.0,85.219,MEDIUM
STR,21.0,85.319,MEDIUM
STR,22.0,85.268,MEDIUM
STR,23.0,85.054,MEDIUM
STR,24.0,85.192,MEDIUM
STR,25.0,84.732,MEDIUM
STR,26.0,85.801,MEDIUM
STR,27.0,84.791,MEDIUM
STR,28.0,84.834,MEDIUM
STR,29.0,85.893,MEDIUM
STR,30.0,90.059,MEDIUM
STR,31.0,102.668,HARD
STR,32.0,88.238,HARD
STR,33.0,110.376,HARD
STR,34.0,133.808,HARD
STR,36.0,115.557,HARD
STR,37.0,84.657,HARD
STR,38.0,83.726,HARD
STR,39.0,83.27,HARD
STR,40.0,83.559,HARD
STR,41.0,83.516,HARD
STR,42.0,83.688,HARD
STR,43.0,83.257,HARD
STR,44.0,83.415,HARD
STR,45.0,83.732,HARD
STR,46.0,83.901,HARD
STR,47.0,83.963,HARD
STR,48.0,84.163,HARD
STR,49.0,84.352,HARD
STR,50.0,83.973,HARD
STR,51.0,83.854,HARD
STR,52.0,84.6,HARD
STR,53.0,84.548,HARD
STR,54.0,84.217,HARD
STR,55.0,84.058,HARD
STR,56.0,84.729,HARD
STR,57.0,84.506,HARD
STR,58.0,83.648,HARD
STR,59.0,83.772,HARD
STR,60.0,83.507,HARD
STR,61.0,83.686,HARD
STR,62.0,83.903,HARD
STR,63.0,84.059,HARD
STR,64.0,83.933,HARD
STR,65.0,84.035,HARD
STR,66.0,106.965,HARD
SAR,2.0,86.47,MEDIUM
SAR,3.0,85.693,MEDIUM
SAR,4.0,89.415,MEDIUM
SAR,5.0,101.215,MEDIUM
SAR,6.0,84.692,MEDIUM
SAR,7.0,84.28,MEDIUM
SAR,8.0,85.087,MEDIUM
SAR,9.0,84.834,MEDIUM
SAR,10.0,84.508,MEDIUM
SAR,11.0,84.71,MEDIUM
SAR,12.0,84.636,MEDIUM
SAR,13.0,85.043,MEDIUM
SAR,14.0,85.037,MEDIUM
SAR,15.0,85.154,MEDIUM
SAR,16.0,85.274,MEDIUM
SAR,17.0,85.282,MEDIUM
