Driver,LapNumber,LapTime,Compound
VER,2.0,73.95,HARD
VER,3.0,112.943,HARD
VER,4.0,73.138,HARD
VER,5.0,112.264,HARD
VER,6.0,73.197,HARD
VER,7.0,87.92,HARD
VER,9.0,72.793,HARD
VER,10.0,133.058,HARD
VER,11.0,134.739,HARD
VER,12.0,81.439,HARD
VER,14.0,77.47,HARD
VER,15.0,77.391,HARD
VER,16.0,77.109,HARD
VER,17.0,77.402,HARD
VER,18.0,77.37,HARD
VER,19.0,77.994,HARD
VER,20.0,77.735,HARD
VER,21.0,77.737,HARD
VER,22.0,77.593,HARD
VER,23.0,79.012,HARD
VER,24.0,77.492,HARD
VER,25.0,77.49,HARD
VER,26.0,77.523,HARD
VER,27.0,77.137,HARD
VER,28.0,77.464,HARD
VER,30.0,89.738,HARD
SAR,2.0,76.001,HARD
SAR,3.0,92.785,HARD
SAR,4.0,77.067,HARD
SAR,5.0,103.163,HARD
SAR,6.0,74.343,HARD
SAR,7.0,100.394,HARD
SAR,8.0,74.192,HARD
SAR,9.0,96.365,HARD
SAR,10.0,101.128,HARD
SAR,11.0,75.452,HARD
SAR,12.0,75.698,HARD
SAR,13.0,75.604,HARD
SAR,14.0,75.6,HARD
SAR,15.0,75.854,HARD
SAR,16.0,76.226,HARD
SAR,17.0,76.152,HARD
SAR,18.0,76.629,HARD
SAR,19.0,86.134,HARD
SAR,21.0,98.271,SOFT
SAR,22.0,74.569,SOFT
SAR,23.0,107.999,SOFT
SAR,25.0,72.579,SOFT
SAR,26.0,110.181,SOFT
SAR,27.0,103.211,SOFT
SAR,28.0,72.738,SOFT
SAR,29.0,120.813,SOFT
SAR,30.0,116.047,SOFT
RIC,2.0,84.254,HARD
RIC,3.0,75.516,HARD
RIC,4.0,74.706,HARD
RIC,5.0,102.115,HARD
RIC,6.0,74.344,HARD
RIC,7.0,97.864,HARD
RIC,8.0,74.137,HARD
RIC,9.0,91.396,HARD
RIC,11.0,76.116,HARD
RIC,12.0,76.058,HARD
RIC,13.0,76.082,HARD
RIC,14.0,75.928,HARD
RIC,15.0,76.322,HARD
RIC,16.0,76.913,HARD
RIC,17.0,77.269,HARD
RIC,18.0,77.07,HARD
RIC,19.0,83.993,HARD
RIC,21.0,72.778,MEDIUM
RIC,22.0,103.928,MEDIUM
RIC,23.0,142.943,HARD
RIC,24.0,88.569,HARD
RIC,25.0,114.664,HARD
RIC,26.0,98.923,HARD
RIC,27.0,104.693,HARD
NOR,2.0,74.56,HARD
NOR,3.0,89.777,HARD
NOR,4.0,74.323,HARD
NOR,5.0,103.953,HARD
NOR,6.0,74.182,HARD
NOR,7.0,116.784,HARD
NOR,8.0,73.794,HARD
NOR,9.0,91.331,HARD
NOR,11.0,73.629,HARD
NOR,12.0,111.965,HARD
NOR,13.0,73.705,HARD
NOR,14.0,77.323,HARD
NOR,15.0,76.275,HARD
NOR,16.0,75.571,HARD
NOR,17.0,78.878,HARD
NOR,18.0,110.745,HARD
NOR,19.0,75.607,HARD
NOR,20.0,81.682,HARD
NOR,22.0,81.841,MEDIUM
NOR,24.0,117.837,HARD
NOR,25.0,121.92,HARD
GAS,2.0,78.088,HARD
GAS,3.0,74.532,HARD
GAS,4.0,113.81,HARD
GAS,5.0,74.585,HARD
GAS,6.0,112.011,HARD
GAS,7.0,107.789,HARD
GAS,8.0,74.163,HARD
GAS,9.0,76.339,HARD
GAS,10.0,75.279,HARD
GAS,11.0,75.233,HARD
GAS,12.0,89.413,HARD
GAS,14.0,88.806,HARD
GAS,15.0,73.223,HARD
GAS,16.0,103.538,HARD
GAS,17.0,73.555,HARD
GAS,18.0,110.989,HARD
GAS,19.0,73.683,HARD
GAS,20.0,75.016,HARD
GAS,21.0,82.127,HARD
GAS,23.0,72.184,MEDIUM
GAS,24.0,110.998,MEDIUM
GAS,25.0,103.123,MEDIUM
GAS,26.0,72.984,MEDIUM
GAS,27.0,109.017,MEDIUM
GAS,28.0,109.099,MEDIUM
GAS,29.0,73.764,MEDIUM
GAS,30.0,132.444,MEDIUM
GAS,31.0,87.419,MEDIUM
PER,2.0,74.966,HARD
PER,3.0,105.01,HARD
