Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber
2023-11-03 17:45:18,Other,RISK OF RAIN FOR F1 QUALIFYING SESSION IS 60%,,,,,
2023-11-03 17:49:13,Other,START OF QUALIFYING DELAYED,,,,,
2023-11-03 17:59:16,Other,PINK HEAD PADDING MATERIAL MUST BE USED,,,,,
2023-11-03 18:02:58,Other,Q1 WILL START AT 15:15,,,,,
2023-11-03 18:15:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-11-03 18:19:19,Other,PIT EXIT INCIDENT INVOLVING CARS 63 (RUS) AND 10 (GAS) NOTED - IMPEDING,,,,,
2023-11-03 18:20:31,Other,FIA STEWARDS: PIT EXIT INCIDENT INVOLVING CARS 63 (RUS) AND 10 (GAS) WILL BE INVESTIGATED AFTER THE SESSION - IMPEDING,,,,,
2023-11-03 18:33:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-11-03 18:34:09,Other,PIT EXIT INCIDENT INVOLVING CARS 10 (GAS) AND 31 (OCO) NOTED - IMPEDING,,,,,
2023-11-03 18:34:34,Other,FIRST CAR TO TAKE THE FLAG - CAR 14 (ALO),,,,,
2023-11-03 18:35:33,Other,FIA STEWARDS: INCIDENT INVOLVING CARS 18 (STR) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,,,,,
2023-11-03 18:35:54,Other,Q2 WILL START AT 15:40,,,,,
2023-11-03 18:36:58,Other,FIA STEWARDS: PIT EXIT INCIDENT INVOLVING CARS 10 (GAS) AND 31 (OCO) WILL BE INVESTIGATED AFTER THE SESSION - IMPEDING,,,,,
2023-11-03 18:37:04,Other,FIA STEWARDS: INCIDENT INVOLVING CARS 18 (STR) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,,,,,
2023-11-03 18:40:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-11-03 18:51:07,Other,CAR 23 (ALB) TIME 1:10.773 DELETED - TRACK LIMITS AT TURN 4 LAP 15 15:50:12,,,,,
2023-11-03 18:55:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-11-03 18:55:13,Other,FIRST CAR TO TAKE THE FLAG - CAR 63 (RUS),,,,,
2023-11-03 18:57:49,Other,Q3 WILL START AT 16:03,,,,,
2023-11-03 19:03:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-11-03 19:06:38,Flag,YELLOW IN TRACK SECTOR 13,,YELLOW,Sector,13.0,
2023-11-03 19:06:51,Flag,CLEAR IN TRACK SECTOR 13,,CLEAR,Sector,13.0,
2023-11-03 19:07:15,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 3,,,,,
2023-11-03 19:07:45,Other,WET TRACK,,,,,
2023-11-03 19:07:48,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,
2023-11-03 19:07:50,Other,CHANGE IN CLIMATIC CONDITIONS,,,,,
2023-11-03 19:09:38,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 14,,,,,
2023-11-03 19:09:42,Flag,CLEAR IN TRACK SECTOR 14,,CLEAR,Sector,14.0,
2023-11-03 19:10:42,Flag,RED FLAG,,RED,Track,,
2023-11-03 19:10:49,Other,SESSION WILL NOT BE RESUMED,,,,,
2023-11-03 19:12:37,Other,TEAMS ARE ALLOWED TO SHUT GARAGE DOORS,,,,,
2023-11-03 19:21:05,Other,TOP 10 CARS ARE NOT ALLOWED TO BE WORKED ON UNTIL FURTHER NOTICE,,,,,
2023-11-03 19:24:36,Flag,TRACK CLEAR,,CLEAR,Track,,
