Driver,LapNumber,GapTime
VER,0.6666666666666666,0.0
NOR,0.6666666666666666,1.389
ALO,0.6666666666666666,5.186
PER,0.6666666666666666,9.279
STR,0.6666666666666666,6.154
SAI,0.6666666666666666,10.201
GAS,0.6666666666666666,15.029
HAM,0.6666666666666666,3.701
TSU,0.6666666666666666,14.217
OCO,0.6666666666666666,11.061
SAR,0.6666666666666666,18.326
HUL,0.6666666666666666,23.404
RIC,0.6666666666666666,21.201
PIA,0.6666666666666666,12.67
RUS,0.6666666666666666,8.467
BOT,0.6666666666666666,15.842
ZHO,0.6666666666666666,17.295
MAG,0.6666666666666666,
ALB,0.6666666666666666,
LEC,0.6666666666666666,
VER,1.0,0.0
NOR,1.0,2.016
ALO,1.0,7.438
PER,1.0,13.266
STR,1.0,8.875
SAI,1.0,14.547
GAS,1.0,21.813
HAM,1.0,5.033
TSU,1.0,20.109
OCO,1.0,16.047
SAR,1.0,28.062
HUL,1.0,31.172
RIC,1.0,29.531
PIA,1.0,17.266
RUS,1.0,11.375
BOT,1.0,22.328
ZHO,1.0,27.0
MAG,1.0,
ALB,1.0,
LEC,1.0,
VER,1.3333333333333333,0.0
NOR,1.3333333333333333,1.492
ALO,1.3333333333333333,5.154
PER,1.3333333333333333,8.094
STR,1.3333333333333333,6.356
SAI,1.3333333333333333,11.154
GAS,1.3333333333333333,19.159
HAM,1.3333333333333333,4.296
TSU,1.3333333333333333,17.295
OCO,1.3333333333333333,12.805
SAR,1.3333333333333333,27.008
HUL,1.3333333333333333,40.727
RIC,1.3333333333333333,
PIA,1.3333333333333333,
RUS,1.3333333333333333,7.364
BOT,1.3333333333333333,20.225
ZHO,1.3333333333333333,21.82
VER,1.6666666666666665,0.0
NOR,1.6666666666666665,1.454
ALO,1.6666666666666665,4.023
PER,1.6666666666666665,7.789
STR,1.6666666666666665,5.281
SAI,1.6666666666666665,8.927
GAS,1.6666666666666665,14.672
HAM,1.6666666666666665,2.927
TSU,1.6666666666666665,13.113
OCO,1.6666666666666665,10.169
SAR,1.6666666666666665,19.183
HUL,1.6666666666666665,29.38
RIC,1.6666666666666665,1558.044
PIA,1.6666666666666665,1555.904
RUS,1.6666666666666665,6.5600000000000005
BOT,1.6666666666666665,15.478
ZHO,1.6666666666666665,18.246
VER,2.0,0.0
NOR,2.0,1.201
ALO,2.0,5.246
PER,2.0,13.973
STR,2.0,7.692
SAI,2.0,15.883
GAS,2.0,22.977
HAM,2.0,3.57
TSU,2.0,20.898
OCO,2.0,17.429
SAR,2.0,30.054
HUL,2.0,34.069
RIC,2.0,1565.349
PIA,2.0,1558.739
RUS,2.0,11.63
BOT,2.0,25.224
ZHO,2.0,28.55
VER,2.3333333333333335,
NOR,2.3333333333333335,
ALO,2.3333333333333335,
PER,2.3333333333333335,
STR,2.3333333333333335,
SAI,2.3333333333333335,
GAS,2.3333333333333335,
HAM,2.3333333333333335,
TSU,2.3333333333333335,
OCO,2.3333333333333335,
SAR,2.3333333333333335,
HUL,2.3333333333333335,
RIC,2.3333333333333335,
PIA,2.3333333333333335,
RUS,2.3333333333333335,
BOT,2.3333333333333335,
ZHO,2.3333333333333335,
VER,2.6666666666666665,0.0
NOR,2.6666666666666665,2.062
ALO,2.6666666666666665,7.406
PER,2.6666666666666665,13.562
STR,2.6666666666666665,9.328
SAI,2.6666666666666665,17.109
GAS,2.6666666666666665,24.968
HAM,2.6666666666666665,4.281
TSU,2.6666666666666665,22.718
OCO,2.6666666666666665,19.75
SAR,2.6666666666666665,34.515
HUL,2.6666666666666665,38.578
RIC,2.6666666666666665,175.254
PIA,2.6666666666666665,174.07
RUS,2.6666666666666665,11.39
BOT,2.6666666666666665,27.703
ZHO,2.6666666666666665,33.906
VER,3.0,0.0
NOR,3.0,2.438
ALO,3.0,11.125
PER,3.0,20.36
STR,3.0,13.063
SAI,3.0,24.485
GAS,3.0,55.844
HAM,3.0,9.297
TSU,3.0,55.797
OCO,3.0,55.187
SAR,3.0,56.859
HUL,3.0,56.953
RIC,3.0,143.889
PIA,3.0,142.624
RUS,3.0,19.469
BOT,3.0,56.187
ZHO,3.0,56.594
VER,3.3333333333333335,0.0
NOR,3.3333333333333335,0.518
ALO,3.3333333333333335,0.955
PER,3.3333333333333335,1.557
STR,3.3333333333333335,1.756
SAI,3.3333333333333335,2.095
GAS,3.3333333333333335,2.349
HAM,3.3333333333333335,0.898
TSU,3.3333333333333335,2.426
OCO,3.3333333333333335,2.552
SAR,3.3333333333333335,3.467
HUL,3.3333333333333335,3.061
RIC,3.3333333333333335,87.644
PIA,3.3333333333333335,86.554
RUS,3.3333333333333335,1.407
BOT,3.3333333333333335,3.163
ZHO,3.3333333333333335,3.378
VER,3.6666666666666665,0.0
NOR,3.6666666666666665,0.76
ALO,3.6666666666666665,1.403
PER,3.6666666666666665,3.022
STR,3.6666666666666665,3.401
SAI,3.6666666666666665,3.707
GAS,3.6666666666666665,4.106
HAM,3.6666666666666665,1.937
TSU,3.6666666666666665,4.205
OCO,3.6666666666666665,4.515
SAR,3.6666666666666665,5.73
HUL,3.6666666666666665,5.017
RIC,3.6666666666666665,87.994
PIA,3.6666666666666665,86.936
RUS,3.6666666666666665,2.466
BOT,3.6666666666666665,5.258
ZHO,3.6666666666666665,5.489
VER,4.0,0.0
NOR,4.0,0.67
ALO,4.0,1.484
PER,4.0,3.062
STR,4.0,3.491
SAI,4.0,3.706
GAS,4.0,4.098
HAM,4.0,2.071
TSU,4.0,4.822
OCO,4.0,4.692
SAR,4.0,5.969
HUL,4.0,4.926
RIC,4.0,88.085
PIA,4.0,87.124
RUS,4.0,2.454
BOT,4.0,5.261
ZHO,4.0,5.407
VER,4.333333333333333,0.0
NOR,4.333333333333333,0.893
ALO,4.333333333333333,1.759
PER,4.333333333333333,3.372
STR,4.333333333333333,3.575
SAI,4.333333333333333,3.808
GAS,4.333333333333333,4.353
HAM,4.333333333333333,2.504
TSU,4.333333333333333,5.319
OCO,4.333333333333333,4.951
SAR,4.333333333333333,6.515
HUL,4.333333333333333,5.822
RIC,4.333333333333333,88.35
PIA,4.333333333333333,87.333
RUS,4.333333333333333,2.844
BOT,4.333333333333333,5.937
ZHO,4.333333333333333,6.122
VER,4.666666666666667,0.0
NOR,4.666666666666667,1.119
ALO,4.666666666666667,2.027
PER,4.666666666666667,4.224
STR,4.666666666666667,4.636
SAI,4.666666666666667,5.093
GAS,4.666666666666667,5.442
HAM,4.666666666666667,3.018
TSU,4.666666666666667,6.588
OCO,4.666666666666667,5.964
SAR,4.666666666666667,8.293
HUL,4.666666666666667,7.215
RIC,4.666666666666667,89.045
PIA,4.666666666666667,88.099
RUS,4.666666666666667,3.637
BOT,4.666666666666667,7.479
ZHO,4.666666666666667,7.768
VER,5.0,0.0
NOR,5.0,1.156
ALO,5.0,2.222
PER,5.0,4.36
STR,5.0,4.705
SAI,5.0,5.201
GAS,5.0,5.614
HAM,5.0,3.164
TSU,5.0,6.601
OCO,5.0,6.058
SAR,5.0,8.486
HUL,5.0,7.221
RIC,5.0,89.063
PIA,5.0,88.311
RUS,5.0,3.63
BOT,5.0,7.29
ZHO,5.0,7.901
VER,5.333333333333333,0.0
NOR,5.333333333333333,0.786
ALO,5.333333333333333,2.165
PER,5.333333333333333,4.304
STR,5.333333333333333,4.719
SAI,5.333333333333333,5.253
GAS,5.333333333333333,5.751
HAM,5.333333333333333,3.322
TSU,5.333333333333333,6.799
OCO,5.333333333333333,6.21
SAR,5.333333333333333,8.515
HUL,5.333333333333333,7.271
RIC,5.333333333333333,88.897
PIA,5.333333333333333,88.397
RUS,5.333333333333333,3.781
BOT,5.333333333333333,7.674
ZHO,5.333333333333333,8.003
VER,5.666666666666667,0.0
NOR,5.666666666666667,0.868
ALO,5.666666666666667,2.487
PER,5.666666666666667,5.111
STR,5.666666666666667,5.639
SAI,5.666666666666667,6.14
GAS,5.666666666666667,6.814
HAM,5.666666666666667,3.783
TSU,5.666666666666667,8.128
OCO,5.666666666666667,7.407
SAR,5.666666666666667,9.964
HUL,5.666666666666667,8.772
RIC,5.666666666666667,89.891
PIA,5.666666666666667,89.272
