Driver,LapNumber,LapTime,Compound
VER,2.0,71.888,MEDIUM
VER,3.0,103.798,MEDIUM
VER,4.0,71.997,MEDIUM
VER,5.0,97.96,MEDIUM
VER,6.0,101.184,MEDIUM
VER,7.0,77.664,MEDIUM
VER,9.0,71.449,MEDIUM
VER,10.0,96.487,MEDIUM
VER,12.0,71.262,MEDIUM
VER,13.0,96.639,MEDIUM
VER,15.0,70.683,SOFT
VER,16.0,95.511,SOFT
GAS,2.0,72.229,MEDIUM
GAS,3.0,100.938,MEDIUM
GAS,7.0,71.822,MEDIUM
GAS,8.0,95.892,MEDIUM
PER,2.0,72.218,MEDIUM
PER,3.0,93.364,MEDIUM
PER,4.0,72.235,MEDIUM
PER,5.0,99.034,MEDIUM
PER,9.0,71.611,MEDIUM
PER,10.0,98.178,MEDIUM
PER,12.0,71.23,MEDIUM
PER,13.0,94.069,MEDIUM
PER,15.0,70.756,SOFT
PER,16.0,101.323,SOFT
ALO,2.0,72.224,MEDIUM
ALO,3.0,98.983,MEDIUM
ALO,4.0,98.354,MEDIUM
ALO,5.0,72.314,MEDIUM
LEC,2.0,72.107,MEDIUM
LEC,3.0,102.298,MEDIUM
LEC,5.0,72.136,MEDIUM
LEC,8.0,71.624,MEDIUM
LEC,9.0,96.917,MEDIUM
LEC,11.0,71.473,MEDIUM
LEC,12.0,88.953,MEDIUM
LEC,14.0,71.077,SOFT
LEC,15.0,95.918,SOFT
STR,2.0,72.482,MEDIUM
STR,3.0,94.063,MEDIUM
STR,4.0,89.672,MEDIUM
STR,5.0,72.647,MEDIUM
SAR,2.0,72.88,MEDIUM
SAR,3.0,104.046,MEDIUM
SAR,5.0,72.615,MEDIUM
MAG,2.0,72.058,MEDIUM
MAG,3.0,102.551,MEDIUM
MAG,6.0,71.913,MEDIUM
MAG,7.0,112.108,MEDIUM
MAG,9.0,71.727,MEDIUM
MAG,10.0,93.771,MEDIUM
TSU,2.0,72.591,MEDIUM
TSU,3.0,101.45,MEDIUM
TSU,4.0,104.916,MEDIUM
TSU,5.0,72.358,MEDIUM
TSU,8.0,71.676,MEDIUM
TSU,9.0,96.801,MEDIUM
TSU,11.0,71.019,SOFT
TSU,12.0,96.308,SOFT
ALB,2.0,72.525,MEDIUM
ALB,3.0,109.355,MEDIUM
ZHO,2.0,72.497,MEDIUM
ZHO,3.0,102.568,MEDIUM
ZHO,4.0,97.958,MEDIUM
HUL,2.0,72.136,MEDIUM
HUL,3.0,104.508,MEDIUM
HUL,6.0,71.752,MEDIUM
HUL,7.0,105.718,MEDIUM
HUL,9.0,72.0,MEDIUM
HUL,10.0,93.207,MEDIUM
RIC,2.0,72.175,MEDIUM
RIC,3.0,100.246,MEDIUM
RIC,4.0,98.084,MEDIUM
RIC,7.0,71.423,MEDIUM
RIC,8.0,96.864,MEDIUM
RIC,10.0,71.122,SOFT
OCO,2.0,72.388,MEDIUM
OCO,3.0,99.33,MEDIUM
NOR,2.0,72.083,MEDIUM
NOR,3.0,99.198,MEDIUM
NOR,4.0,105.822,MEDIUM
NOR,5.0,71.824,MEDIUM
NOR,8.0,71.904,MEDIUM
NOR,9.0,110.891,MEDIUM
NOR,11.0,71.221,MEDIUM
NOR,12.0,102.596,MEDIUM
NOR,14.0,70.622,SOFT
NOR,15.0,98.67,SOFT
HAM,2.0,71.87,MEDIUM
HAM,3.0,103.191,MEDIUM
HAM,7.0,71.941,MEDIUM
HAM,8.0,104.208,MEDIUM
HAM,10.0,71.476,MEDIUM
HAM,11.0,91.236,MEDIUM
HAM,13.0,70.94,SOFT
SAI,2.0,71.796,MEDIUM
SAI,3.0,95.568,MEDIUM
SAI,6.0,71.581,MEDIUM
SAI,7.0,94.465,MEDIUM
SAI,9.0,71.491,MEDIUM
SAI,10.0,92.416,MEDIUM
SAI,12.0,71.126,SOFT
SAI,13.0,100.106,SOFT
RUS,2.0,71.976,MEDIUM
RUS,3.0,112.726,MEDIUM
RUS,7.0,71.948,MEDIUM
RUS,8.0,113.526,MEDIUM
RUS,10.0,71.516,MEDIUM
RUS,11.0,103.825,MEDIUM
RUS,13.0,70.857,SOFT
BOT,2.0,72.303,MEDIUM
BOT,3.0,97.523,MEDIUM
BOT,4.0,97.314,MEDIUM
BOT,7.0,71.872,MEDIUM
BOT,8.0,102.788,MEDIUM
PIA,2.0,72.356,MEDIUM
PIA,3.0,96.574,MEDIUM
PIA,4.0,72.678,MEDIUM
PIA,5.0,116.28,MEDIUM
PIA,8.0,71.648,MEDIUM
PIA,9.0,103.575,MEDIUM
PIA,11.0,90.272,MEDIUM
PIA,13.0,71.189,SOFT
PIA,14.0,101.776,SOFT
