Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber
2023-11-04 13:48:20,Other,PINK HEAD PADDING MATERIAL MUST BE USED,,,,,
2023-11-04 14:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-11-04 14:11:14,Flag,DOUBLE YELLOW IN TRACK SECTOR 3,,DOUBLE YELLOW,Sector,3.0,
2023-11-04 14:11:16,Other,DRS DISABLED IN ZONE 1,,,,,
2023-11-04 14:11:28,Flag,RED FLAG,,RED,Track,,
2023-11-04 14:11:28,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,
2023-11-04 14:12:05,Other,SQ1 WILL NOT BE RESUMED,,,,,
2023-11-04 14:13:30,Other,START OF SQ2 WILL BE DELAYED,,,,,
2023-11-04 14:15:00,Other,TURN 3 INCIDENT INVOLVING CARS 31 (OCO) AND 14 (ALO) NOTED - CAUSING A COLLISION,,,,,
2023-11-04 14:18:35,Other,"FIA STEWARDS: SQ1 INCIDENTS INVOLVING CARS 63 (RUS), 4 (NOR), 81 (PIA), 31 (OCO) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,
2023-11-04 14:19:00,Other,"FIA STEWARDS: SQ1 INCIDENTS INVOLVING CARS 63 (RUS), 4 (NOR), 81 (PIA), 31 (OCO) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,
2023-11-04 14:21:02,Other,FIA STEWARDS: TURN 3 INCIDENT INVOLVING CARS 31 (OCO) AND 14 (ALO) WILL BE INVESTIGATED AFTER THE SESSION - CAUSING A COLLISION,,,,,
2023-11-04 14:35:13,Other,SQ2 WILL START AT 11:40,,,,,
2023-11-04 14:36:27,Flag,TRACK CLEAR,,CLEAR,Track,,
2023-11-04 14:36:29,Drs,DRS ENABLED,ENABLED,,,,
2023-11-04 14:40:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-11-04 14:50:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-11-04 14:50:20,Other,FIRST CAR TO TAKE THE FLAG - CAR 3 (RIC),,,,,
2023-11-04 14:51:03,Other,SQ3 WILL START AT 11:57,,,,,
2023-11-04 14:54:39,Other,FIA STEWARDS: SQ1 INCIDENT INVOLVING CAR 22 (TSU) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,,,,,
2023-11-04 14:54:51,Other,FIA STEWARDS: SQ1 INCIDENT INVOLVING CAR 22 (TSU) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,,,,,
2023-11-04 14:57:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-11-04 15:05:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-11-04 15:05:15,Other,FIRST CAR TO TAKE THE FLAG - CAR 3 (RIC),,,,,
2023-11-04 15:30:17,Other,AIR TEMPERATURE 3 HOURS BEFORE THE SPRINT = 25.9 DEGREES,,,,,
