Driver,LapNumber,GapTime
NOR,0.6666666666666666,1.3439999999999999
VER,0.6666666666666666,0.0
PER,0.6666666666666666,2.062
RUS,0.6666666666666666,0.828
HAM,0.6666666666666666,1.516
TSU,0.6666666666666666,3.125
LEC,0.6666666666666666,2.594
RIC,0.6666666666666666,4.172
SAI,0.6666666666666666,3.469
PIA,0.6666666666666666,4.547
MAG,0.6666666666666666,5.656
HUL,0.6666666666666666,5.875
GAS,0.6666666666666666,5.297
BOT,0.6666666666666666,7.031
ALO,0.6666666666666666,5.844
OCO,0.6666666666666666,6.297
STR,0.6666666666666666,6.75
ZHO,0.6666666666666666,7.937
ALB,0.6666666666666666,7.656
SAR,0.6666666666666666,8.437
NOR,1.0,1.125
VER,1.0,0.0
PER,1.0,2.047
RUS,1.0,0.734
HAM,1.0,1.563
TSU,1.0,2.969
LEC,1.0,2.375
RIC,1.0,4.063
SAI,1.0,3.25
PIA,1.0,4.516
MAG,1.0,5.75
HUL,1.0,5.906
GAS,1.0,5.109
BOT,1.0,7.297
ALO,1.0,6.25
OCO,1.0,6.437
STR,1.0,6.719
ZHO,1.0,7.922
ALB,1.0,7.656
SAR,1.0,8.672
NOR,1.3333333333333333,1.313
VER,1.3333333333333333,0.0
PER,1.3333333333333333,2.076
RUS,1.3333333333333333,0.741
HAM,1.3333333333333333,1.662
TSU,1.3333333333333333,3.056
LEC,1.3333333333333333,2.482
RIC,1.3333333333333333,4.122
SAI,1.3333333333333333,3.527
PIA,1.3333333333333333,4.739
MAG,1.3333333333333333,6.033
HUL,1.3333333333333333,6.428
GAS,1.3333333333333333,5.344
BOT,1.3333333333333333,7.6
ALO,1.3333333333333333,6.664
OCO,1.3333333333333333,6.891
STR,1.3333333333333333,7.257
ZHO,1.3333333333333333,8.213
ALB,1.3333333333333333,8.07
SAR,1.3333333333333333,8.909
NOR,1.6666666666666665,1.452
VER,1.6666666666666665,0.0
PER,1.6666666666666665,2.7119999999999997
RUS,1.6666666666666665,0.656
HAM,1.6666666666666665,2.201
TSU,1.6666666666666665,4.194
LEC,1.6666666666666665,3.548
RIC,1.6666666666666665,4.96
SAI,1.6666666666666665,4.557
PIA,1.6666666666666665,5.3870000000000005
MAG,1.6666666666666665,6.742
HUL,1.6666666666666665,7.135
GAS,1.6666666666666665,6.004
BOT,1.6666666666666665,8.913
ALO,1.6666666666666665,7.61
OCO,1.6666666666666665,8.127
STR,1.6666666666666665,8.588
ZHO,1.6666666666666665,10.183
ALB,1.6666666666666665,9.897
SAR,1.6666666666666665,10.782
NOR,2.0,1.419
VER,2.0,0.0
PER,2.0,2.464
RUS,2.0,0.673
HAM,2.0,2.368
TSU,2.0,4.032
LEC,2.0,3.325
RIC,2.0,5.013
SAI,2.0,4.493
PIA,2.0,5.411
MAG,2.0,6.715
HUL,2.0,7.24
GAS,2.0,6.014
BOT,2.0,9.056
ALO,2.0,7.552
OCO,2.0,8.036
STR,2.0,8.572
ZHO,2.0,10.26
ALB,2.0,9.738
SAR,2.0,10.836
NOR,2.3333333333333335,1.389
VER,2.3333333333333335,0.0
PER,2.3333333333333335,2.4
RUS,2.3333333333333335,0.577
HAM,2.3333333333333335,2.226
TSU,2.3333333333333335,3.883
LEC,2.3333333333333335,3.158
RIC,2.3333333333333335,4.9399999999999995
SAI,2.3333333333333335,4.36
PIA,2.3333333333333335,5.344
MAG,2.3333333333333335,6.655
HUL,2.3333333333333335,7.046
GAS,2.3333333333333335,5.867
BOT,2.3333333333333335,8.927
ALO,2.3333333333333335,7.547
OCO,2.3333333333333335,7.939
STR,2.3333333333333335,8.475999999999999
ZHO,2.3333333333333335,10.145
ALB,2.3333333333333335,9.65
SAR,2.3333333333333335,10.749
NOR,2.6666666666666665,1.756
VER,2.6666666666666665,0.0
PER,2.6666666666666665,3.625
RUS,2.6666666666666665,0.867
HAM,2.6666666666666665,3.093
TSU,2.6666666666666665,5.141
LEC,2.6666666666666665,4.436
RIC,2.6666666666666665,5.963
SAI,2.6666666666666665,5.545
PIA,2.6666666666666665,6.219
MAG,2.6666666666666665,7.673
HUL,2.6666666666666665,8.099
GAS,2.6666666666666665,6.737
BOT,2.6666666666666665,10.084
ALO,2.6666666666666665,8.729
OCO,2.6666666666666665,9.123
STR,2.6666666666666665,9.515
ZHO,2.6666666666666665,11.543
ALB,2.6666666666666665,11.008
