Driver,LapNumber,LapTime,Compound
NOR,2.0,74.856,SOFT
NOR,3.0,74.647,SOFT
NOR,4.0,75.157,SOFT
NOR,5.0,75.211,SOFT
NOR,6.0,75.306,SOFT
NOR,7.0,75.325,SOFT
NOR,8.0,75.261,SOFT
NOR,9.0,75.044,SOFT
NOR,10.0,75.116,SOFT
NOR,11.0,75.504,SOFT
NOR,12.0,75.26,SOFT
NOR,13.0,75.296,SOFT
NOR,14.0,75.239,SOFT
NOR,15.0,75.814,SOFT
NOR,16.0,75.217,SOFT
NOR,17.0,75.466,SOFT
NOR,18.0,75.646,SOFT
NOR,19.0,75.373,SOFT
NOR,20.0,75.235,SOFT
NOR,21.0,74.992,SOFT
NOR,22.0,75.675,SOFT
NOR,23.0,75.299,SOFT
NOR,24.0,75.441,SOFT
VER,2.0,74.584,SOFT
VER,3.0,74.54,SOFT
VER,4.0,75.168,SOFT
VER,5.0,75.168,SOFT
VER,6.0,75.297,SOFT
VER,7.0,75.215,SOFT
VER,8.0,75.151,SOFT
VER,9.0,75.101,SOFT
VER,10.0,75.333,SOFT
VER,11.0,75.404,SOFT
VER,12.0,75.456,SOFT
VER,13.0,75.439,SOFT
VER,14.0,75.345,SOFT
VER,15.0,75.307,SOFT
VER,16.0,75.127,SOFT
VER,17.0,75.276,SOFT
VER,18.0,75.164,SOFT
VER,19.0,75.332,SOFT
VER,20.0,75.274,SOFT
VER,21.0,75.08,SOFT
VER,22.0,74.953,SOFT
VER,23.0,74.798,SOFT
VER,24.0,74.723,SOFT
PER,2.0,75.008,SOFT
PER,3.0,75.607,SOFT
PER,4.0,75.84,SOFT
PER,5.0,75.119,SOFT
PER,6.0,75.261,SOFT
PER,7.0,75.057,SOFT
PER,8.0,75.936,SOFT
PER,9.0,75.404,SOFT
PER,10.0,75.639,SOFT
PER,11.0,76.131,SOFT
PER,12.0,75.869,SOFT
PER,13.0,75.982,SOFT
PER,14.0,76.162,SOFT
PER,15.0,76.193,SOFT
PER,16.0,75.916,SOFT
PER,17.0,76.115,SOFT
PER,18.0,75.839,SOFT
PER,19.0,75.415,SOFT
PER,20.0,75.286,SOFT
PER,21.0,75.522,SOFT
PER,22.0,75.473,SOFT
PER,23.0,75.547,SOFT
PER,24.0,75.498,SOFT
RUS,2.0,74.422,SOFT
RUS,3.0,74.687,SOFT
RUS,4.0,75.668,SOFT
RUS,5.0,76.288,SOFT
RUS,6.0,75.741,SOFT
RUS,7.0,76.043,SOFT
RUS,8.0,75.774,SOFT
RUS,9.0,75.556,SOFT
RUS,10.0,77.181,SOFT
RUS,11.0,76.193,SOFT
RUS,12.0,76.133,SOFT
RUS,13.0,76.391,SOFT
RUS,14.0,76.491,SOFT
RUS,15.0,76.464,SOFT
RUS,16.0,76.523,SOFT
RUS,17.0,76.702,SOFT
RUS,18.0,76.476,SOFT
RUS,19.0,76.531,SOFT
RUS,20.0,76.559,SOFT
RUS,21.0,76.789,SOFT
RUS,22.0,76.983,SOFT
RUS,23.0,76.704,SOFT
RUS,24.0,76.979,SOFT
HAM,2.0,75.276,SOFT
HAM,3.0,75.472,SOFT
HAM,4.0,76.729,SOFT
HAM,5.0,75.841,SOFT
HAM,6.0,75.752,SOFT
HAM,7.0,75.704,SOFT
HAM,8.0,75.699,SOFT
HAM,9.0,75.817,SOFT
HAM,10.0,76.157,SOFT
HAM,11.0,76.075,SOFT
HAM,12.0,76.16,SOFT
HAM,13.0,76.146,SOFT
HAM,14.0,76.797,SOFT
HAM,15.0,76.999,SOFT
HAM,16.0,76.571,SOFT
HAM,17.0,76.909,SOFT
HAM,18.0,76.653,SOFT
HAM,19.0,77.303,SOFT
HAM,20.0,77.19,SOFT
HAM,21.0,78.449,SOFT
HAM,22.0,77.841,SOFT
HAM,23.0,77.678,SOFT
HAM,24.0,78.06,SOFT
TSU,2.0,75.532,SOFT
TSU,3.0,75.56,SOFT
TSU,4.0,75.924,SOFT
TSU,5.0,76.223,SOFT
TSU,6.0,75.776,SOFT
TSU,7.0,76.009,SOFT
TSU,8.0,75.899,SOFT
TSU,9.0,76.251,SOFT
TSU,10.0,75.974,SOFT
TSU,11.0,76.419,SOFT
TSU,12.0,76.406,SOFT
TSU,13.0,76.509,SOFT
TSU,14.0,76.766,SOFT
TSU,15.0,76.739,SOFT
TSU,16.0,76.63,SOFT
TSU,17.0,76.546,SOFT
TSU,18.0,76.88,SOFT
TSU,19.0,76.369,SOFT
TSU,20.0,76.502,SOFT
TSU,21.0,77.281,SOFT
TSU,22.0,76.13,SOFT
TSU,23.0,76.09,SOFT
TSU,24.0,75.954,SOFT
LEC,2.0,75.499,SOFT
LEC,3.0,75.411,SOFT
LEC,4.0,76.32,SOFT
LEC,5.0,75.942,SOFT
LEC,6.0,75.953,SOFT
LEC,7.0,75.824,SOFT
LEC,8.0,75.967,SOFT
LEC,9.0,76.118,SOFT
LEC,10.0,76.007,SOFT
LEC,11.0,76.432,SOFT
LEC,12.0,76.425,SOFT
LEC,13.0,76.563,SOFT
LEC,14.0,76.666,SOFT
LEC,15.0,76.754,SOFT
LEC,16.0,76.618,SOFT
LEC,17.0,76.573,SOFT
LEC,18.0,76.576,SOFT
LEC,19.0,76.67,SOFT
LEC,20.0,76.395,SOFT
LEC,21.0,76.428,SOFT
LEC,22.0,76.23,SOFT
LEC,23.0,76.474,SOFT
LEC,24.0,76.554,SOFT
RIC,2.0,75.46,SOFT
RIC,3.0,75.539,SOFT
RIC,4.0,76.175,SOFT
RIC,5.0,76.194,SOFT
RIC,6.0,76.095,SOFT
RIC,7.0,75.979,SOFT
RIC,8.0,75.95,SOFT
RIC,9.0,76.206,SOFT
RIC,10.0,76.326,SOFT
RIC,11.0,76.691,SOFT
RIC,12.0,77.11,SOFT
RIC,13.0,76.803,SOFT
RIC,14.0,78.608,SOFT
RIC,15.0,77.136,SOFT
RIC,16.0,76.708,SOFT
RIC,17.0,76.688,SOFT
RIC,18.0,76.902,SOFT
RIC,19.0,76.649,SOFT
RIC,20.0,77.24,SOFT
RIC,21.0,76.342,SOFT
RIC,22.0,75.812,SOFT
RIC,23.0,75.79,SOFT
RIC,24.0,76.995,SOFT
SAI,2.0,75.712,SOFT
SAI,3.0,75.362,SOFT
SAI,4.0,76.479,SOFT
SAI,5.0,76.025,SOFT
SAI,6.0,76.103,SOFT
SAI,7.0,75.985,SOFT
SAI,8.0,76.146,SOFT
SAI,9.0,75.975,SOFT
SAI,10.0,76.518,SOFT
SAI,11.0,76.96,SOFT
SAI,12.0,77.038,SOFT
SAI,13.0,76.792,SOFT
SAI,14.0,77.31,SOFT
SAI,15.0,76.778,SOFT
SAI,16.0,76.381,SOFT
SAI,17.0,76.697,SOFT
SAI,18.0,76.721,SOFT
SAI,19.0,76.561,SOFT
SAI,20.0,76.435,SOFT
SAI,21.0,77.004,SOFT
SAI,22.0,76.69,SOFT
SAI,23.0,76.915,SOFT
SAI,24.0,77.408,SOFT
PIA,2.0,75.463,SOFT
PIA,3.0,75.527,SOFT
PIA,4.0,76.143,SOFT
PIA,5.0,76.363,SOFT
PIA,6.0,75.931,SOFT
PIA,7.0,76.194,SOFT
