Driver,LapNumber,GapTime
VER,0.6666666666666666,0.0
GAS,0.6666666666666666,3.297
PER,0.6666666666666666,8.094
ALO,0.6666666666666666,24.156
LEC,0.6666666666666666,1.3900000000000001
STR,0.6666666666666666,6.39
SAR,0.6666666666666666,5.437
MAG,0.6666666666666666,5.218
TSU,0.6666666666666666,9.109
ALB,0.6666666666666666,4.062
ZHO,0.6666666666666666,11.343
HUL,0.6666666666666666,8.312
RIC,0.6666666666666666,10.859
OCO,0.6666666666666666,6.172
NOR,0.6666666666666666,10.25
HAM,0.6666666666666666,10.0
SAI,0.6666666666666666,11.89
RUS,0.6666666666666666,2.703
BOT,0.6666666666666666,27.64
PIA,0.6666666666666666,9.672
VER,1.0,0.0
GAS,1.0,4.875
PER,1.0,19.171
ALO,1.0,39.28
LEC,1.0,1.812
STR,1.0,14.14
SAR,1.0,9.812
MAG,1.0,11.125
TSU,1.0,19.671
ALB,1.0,6.687
ZHO,1.0,32.531
HUL,1.0,16.828
RIC,1.0,31.124
OCO,1.0,13.281
NOR,1.0,24.718
HAM,1.0,29.031
SAI,1.0,34.89
RUS,1.0,3.39
BOT,1.0,42.859
PIA,1.0,21.187
VER,1.3333333333333333,0.0
GAS,1.3333333333333333,4.867
PER,1.3333333333333333,39.829
ALO,1.3333333333333333,55.488
LEC,1.3333333333333333,2.263
STR,1.3333333333333333,13.507
SAR,1.3333333333333333,8.776
MAG,1.3333333333333333,10.458
TSU,1.3333333333333333,15.785
ALB,1.3333333333333333,6.929
ZHO,1.3333333333333333,26.414
HUL,1.3333333333333333,14.408
RIC,1.3333333333333333,23.791
OCO,1.3333333333333333,11.998
NOR,1.3333333333333333,20.337
HAM,1.3333333333333333,22.665
SAI,1.3333333333333333,27.085
RUS,1.3333333333333333,2.93
BOT,1.3333333333333333,75.522
PIA,1.3333333333333333,19.942
VER,1.6666666666666665,0.0
GAS,1.6666666666666665,5.177
PER,1.6666666666666665,40.666
ALO,1.6666666666666665,52.99
LEC,1.6666666666666665,2.646
STR,1.6666666666666665,10.594
SAR,1.6666666666666665,7.413
MAG,1.6666666666666665,8.267
TSU,1.6666666666666665,12.785
ALB,1.6666666666666665,6.2379999999999995
ZHO,1.6666666666666665,18.905
HUL,1.6666666666666665,12.318
RIC,1.6666666666666665,17.228
OCO,1.6666666666666665,9.291
NOR,1.6666666666666665,14.888
HAM,1.6666666666666665,15.832
SAI,1.6666666666666665,19.555
RUS,1.6666666666666665,3.768
BOT,1.6666666666666665,68.157
PIA,1.6666666666666665,13.681000000000001
VER,2.0,0.0
GAS,2.0,3.533
PER,2.0,31.164
ALO,2.0,42.327
LEC,2.0,1.643
STR,2.0,8.119
SAR,2.0,5.018
MAG,2.0,6.267
TSU,2.0,9.283
ALB,2.0,4.493
ZHO,2.0,15.425
HUL,2.0,8.63
RIC,2.0,14.26
OCO,2.0,7.194
NOR,2.0,10.954
HAM,2.0,12.33
SAI,2.0,15.794
RUS,2.0,2.533
BOT,2.0,57.731
PIA,2.0,9.938
VER,2.3333333333333335,0.0
GAS,2.3333333333333335,4.4
PER,2.3333333333333335,31.646
ALO,2.3333333333333335,41.865
LEC,2.3333333333333335,1.893
STR,2.3333333333333335,8.419
SAR,2.3333333333333335,6.061
MAG,2.3333333333333335,7.042
TSU,2.3333333333333335,10.37
ALB,2.3333333333333335,5.2620000000000005
ZHO,2.3333333333333335,15.525
HUL,2.3333333333333335,9.177
RIC,2.3333333333333335,14.635
OCO,2.3333333333333335,7.718
NOR,2.3333333333333335,
HAM,2.3333333333333335,12.153
SAI,2.3333333333333335,16.013
RUS,2.3333333333333335,2.995
BOT,2.3333333333333335,60.141
PIA,2.3333333333333335,10.932
VER,2.6666666666666665,0.0
GAS,2.6666666666666665,4.934
PER,2.6666666666666665,39.164
ALO,2.6666666666666665,52.462
LEC,2.6666666666666665,2.439
STR,2.6666666666666665,9.315
SAR,2.6666666666666665,7.038
MAG,2.6666666666666665,8.571
TSU,2.6666666666666665,11.077
ALB,2.6666666666666665,5.986
ZHO,2.6666666666666665,16.99
HUL,2.6666666666666665,10.27
RIC,2.6666666666666665,15.925
OCO,2.6666666666666665,8.943999999999999
NOR,2.6666666666666665,
HAM,2.6666666666666665,14.79
SAI,2.6666666666666665,17.38
RUS,2.6666666666666665,3.928
BOT,2.6666666666666665,79.917
PIA,2.6666666666666665,11.697
VER,3.0,0.0
GAS,3.0,3.926
PER,3.0,40.449
ALO,3.0,53.292
LEC,3.0,0.918
STR,3.0,15.993
SAR,3.0,7.801
MAG,3.0,11.515
TSU,3.0,17.573
ALB,3.0,5.269
ZHO,3.0,24.512
HUL,3.0,14.306
RIC,3.0,22.823
OCO,3.0,9.899000000000001
NOR,3.0,
HAM,3.0,19.816
SAI,3.0,29.193
RUS,3.0,2.287
BOT,3.0,76.082
PIA,3.0,18.437
VER,3.3333333333333335,0.0
GAS,3.3333333333333335,4.766
PER,3.3333333333333335,34.672
ALO,3.3333333333333335,50.89
LEC,3.3333333333333335,1.5939999999999999
STR,3.3333333333333335,22.234
SAR,3.3333333333333335,7.407
MAG,3.3333333333333335,9.375
TSU,3.3333333333333335,12.5
ALB,3.3333333333333335,6.11
ZHO,3.3333333333333335,20.844
HUL,3.3333333333333335,10.235
RIC,3.3333333333333335,18.969
OCO,3.3333333333333335,8.297
HAM,3.3333333333333335,16.313
SAI,3.3333333333333335,35.5
RUS,3.3333333333333335,3.8129999999999997
BOT,3.3333333333333335,72.263
PIA,3.3333333333333335,14.875
VER,3.6666666666666665,0.0
GAS,3.6666666666666665,6.047
PER,3.6666666666666665,29.437
ALO,3.6666666666666665,34.624
LEC,3.6666666666666665,2.219
STR,3.6666666666666665,25.765
SAR,3.6666666666666665,8.609
MAG,3.6666666666666665,12.062
TSU,3.6666666666666665,16.687
ALB,3.6666666666666665,7.5
ZHO,3.6666666666666665,24.296
HUL,3.6666666666666665,14.781
RIC,3.6666666666666665,22.375
OCO,3.6666666666666665,10.359
HAM,3.6666666666666665,20.781
SAI,3.6666666666666665,31.749
RUS,3.6666666666666665,5.203
BOT,3.6666666666666665,57.818
PIA,3.6666666666666665,19.906
VER,4.0,0.0
GAS,4.0,2.75
PER,4.0,19.874
ALO,4.0,23.249
LEC,4.0,1.125
STR,4.0,17.64
SAR,4.0,5.406
MAG,4.0,8.218
TSU,4.0,10.296
ALB,4.0,4.031
ZHO,4.0,15.921
HUL,4.0,9.093
RIC,4.0,14.078
OCO,4.0,6.765
HAM,4.0,12.874
SAI,4.0,21.312
RUS,4.0,1.7650000000000001
BOT,4.0,27.107
PIA,4.0,11.796
VER,4.333333333333333,0.0
GAS,4.333333333333333,3.265
PER,4.333333333333333,20.734
ALO,4.333333333333333,22.874
LEC,4.333333333333333,1.718
STR,4.333333333333333,18.609
SAR,4.333333333333333,5.265
MAG,4.333333333333333,7.89
TSU,4.333333333333333,10.828
ALB,4.333333333333333,4.422
ZHO,4.333333333333333,16.968
HUL,4.333333333333333,9.234
RIC,4.333333333333333,15.39
OCO,4.333333333333333,6.265
HAM,4.333333333333333,12.906
SAI,4.333333333333333,21.656
RUS,4.333333333333333,2.375
BOT,4.333333333333333,24.562
PIA,4.333333333333333,12.171
VER,4.666666666666667,0.0
GAS,4.666666666666667,6.281
PER,4.666666666666667,25.641
ALO,4.666666666666667,29.187
LEC,4.666666666666667,2.907
STR,4.666666666666667,23.375
SAR,4.666666666666667,9.313
MAG,4.666666666666667,12.266
TSU,4.666666666666667,15.391
ALB,4.666666666666667,8.078
ZHO,4.666666666666667,21.844
HUL,4.666666666666667,13.781
RIC,4.666666666666667,20.984
OCO,4.666666666666667,11.125
HAM,4.666666666666667,17.094
SAI,4.666666666666667,28.0
RUS,4.666666666666667,5.469
BOT,4.666666666666667,32.531
PIA,4.666666666666667,16.094
VER,5.0,0.0
GAS,5.0,3.703
PER,5.0,23.25
ALO,5.0,25.968
LEC,5.0,1.047
STR,5.0,20.594
SAR,5.0,5.766
MAG,5.0,8.969
TSU,5.0,11.109
ALB,5.0,4.766
ZHO,5.0,18.719
HUL,5.0,9.844
RIC,5.0,16.515
OCO,5.0,7.031
HAM,5.0,14.922
SAI,5.0,24.015
RUS,5.0,2.063
BOT,5.0,28.406
PIA,5.0,12.109
VER,5.333333333333333,0.0
GAS,5.333333333333333,4.828
PER,5.333333333333333,22.377
ALO,5.333333333333333,27.54
LEC,5.333333333333333,1.782
STR,5.333333333333333,19.728
SAR,5.333333333333333,6.86
MAG,5.333333333333333,8.828
TSU,5.333333333333333,11.844
ALB,5.333333333333333,5.907
ZHO,5.333333333333333,18.281
HUL,5.333333333333333,10.047
RIC,5.333333333333333,16.422
OCO,5.333333333333333,7.953
HAM,5.333333333333333,14.422
SAI,5.333333333333333,24.805
RUS,5.333333333333333,3.5
BOT,5.333333333333333,28.932
PIA,5.333333333333333,13.156
VER,5.666666666666667,0.0
GAS,5.666666666666667,3.734
PER,5.666666666666667,19.752
ALO,5.666666666666667,22.598
LEC,5.666666666666667,1.375
STR,5.666666666666667,18.342
SAR,5.666666666666667,6.547
MAG,5.666666666666667,7.281
TSU,5.666666666666667,11.484
ALB,5.666666666666667,5.609
ZHO,5.666666666666667,16.484
HUL,5.666666666666667,9.484
RIC,5.666666666666667,15.609
OCO,5.666666666666667,7.906
HAM,5.666666666666667,13.734
SAI,5.666666666666667,20.407
RUS,5.666666666666667,2.906
BOT,5.666666666666667,24.693
PIA,5.666666666666667,12.812
VER,6.0,0.0
GAS,6.0,2.062
PER,6.0,8.775
ALO,6.0,9.338
LEC,6.0,1.062
STR,6.0,8.324
SAR,6.0,3.234
MAG,6.0,3.89
TSU,6.0,5.468
ALB,6.0,2.609
ZHO,6.0,7.453
HUL,6.0,4.843
RIC,6.0,7.172
OCO,6.0,4.203
HAM,6.0,6.0
SAI,6.0,9.152
RUS,6.0,1.5470000000000002
BOT,6.0,10.648
PIA,6.0,5.515
VER,6.333333333333333,0.0
GAS,6.333333333333333,3.42
PER,6.333333333333333,10.735
ALO,6.333333333333333,11.551
LEC,6.333333333333333,1.609
STR,6.333333333333333,10.307
SAR,6.333333333333333,4.585
MAG,6.333333333333333,5.168
TSU,6.333333333333333,7.45
ALB,6.333333333333333,3.985
ZHO,6.333333333333333,8.96
HUL,6.333333333333333,6.419
RIC,6.333333333333333,9.503
OCO,6.333333333333333,5.87
HAM,6.333333333333333,7.928
SAI,6.333333333333333,11.36
RUS,6.333333333333333,2.636
BOT,6.333333333333333,12.672
PIA,6.333333333333333,6.883
VER,6.666666666666667,0.0
GAS,6.666666666666667,4.049
PER,6.666666666666667,12.098
ALO,6.666666666666667,13.154
LEC,6.666666666666667,1.9180000000000001
STR,6.666666666666667,11.499
SAR,6.666666666666667,5.418
MAG,6.666666666666667,6.231
TSU,6.666666666666667,8.811
ALB,6.666666666666667,4.673
ZHO,6.666666666666667,10.109
HUL,6.666666666666667,7.506
RIC,6.666666666666667,10.984
OCO,6.666666666666667,7.014
HAM,6.666666666666667,9.339
SAI,6.666666666666667,12.482
RUS,6.666666666666667,3.226
BOT,6.666666666666667,14.291
PIA,6.666666666666667,7.987
VER,7.0,0.0
GAS,7.0,3.711
PER,7.0,12.398
ALO,7.0,12.845
LEC,7.0,1.873
STR,7.0,11.504
SAR,7.0,5.165
MAG,7.0,6.393
TSU,7.0,8.567
ALB,7.0,4.284
ZHO,7.0,9.825
HUL,7.0,7.402
RIC,7.0,11.117
OCO,7.0,6.852
HAM,7.0,8.69
SAI,7.0,13.092
RUS,7.0,2.877
BOT,7.0,14.489
PIA,7.0,7.655
VER,7.333333333333333,0.0
GAS,7.333333333333333,4.107
PER,7.333333333333333,12.897
ALO,7.333333333333333,13.519
LEC,7.333333333333333,2.018
STR,7.333333333333333,12.599
SAR,7.333333333333333,5.547
MAG,7.333333333333333,6.889
TSU,7.333333333333333,10.13
ALB,7.333333333333333,4.691
ZHO,7.333333333333333,10.9
HUL,7.333333333333333,8.645
RIC,7.333333333333333,12.132
OCO,7.333333333333333,7.334
HAM,7.333333333333333,9.425
SAI,7.333333333333333,13.879
RUS,7.333333333333333,3.245
BOT,7.333333333333333,15.294
PIA,7.333333333333333,8.166
VER,7.666666666666667,0.0
GAS,7.666666666666667,4.295
PER,7.666666666666667,13.768
ALO,7.666666666666667,14.263
LEC,7.666666666666667,2.251
STR,7.666666666666667,13.277
SAR,7.666666666666667,6.008
MAG,7.666666666666667,7.728
TSU,7.666666666666667,11.064
ALB,7.666666666666667,5.09
ZHO,7.666666666666667,11.787
HUL,7.666666666666667,9.452
RIC,7.666666666666667,12.775
OCO,7.666666666666667,8.233
HAM,7.666666666666667,10.199
SAI,7.666666666666667,14.669
RUS,7.666666666666667,3.6310000000000002
BOT,7.666666666666667,16.383
PIA,7.666666666666667,8.812
VER,8.0,0.0
GAS,8.0,4.129
PER,8.0,13.651
ALO,8.0,13.95
LEC,8.0,2.124
STR,8.0,13.13
SAR,8.0,5.84
MAG,8.0,7.63
TSU,8.0,10.728
ALB,8.0,4.824
ZHO,8.0,11.679
HUL,8.0,9.27
RIC,8.0,12.608
OCO,8.0,7.723
HAM,8.0,9.752
SAI,8.0,14.654
RUS,8.0,3.422
BOT,8.0,16.506
PIA,8.0,8.437
VER,8.333333333333334,0.0
GAS,8.333333333333334,4.476
PER,8.333333333333334,14.258
ALO,8.333333333333334,14.807
LEC,8.333333333333334,2.288
STR,8.333333333333334,13.931000000000001
