Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber
2023-11-19 05:57:18,Drs,DRS DISABLED,DISABLED,,,,
2023-11-19 06:04:05,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-11-19 06:04:18,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,
2023-11-19 06:04:23,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,
2023-11-19 06:04:31,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,
2023-11-19 06:04:40,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,
2023-11-19 06:04:53,Other,LAP 1 TURN 1 NOTED,,,,,
2023-11-19 06:05:49,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED,,,,
2023-11-19 06:07:46,SafetyCar,VIRTUAL SAFETY CAR ENDING,ENDING,,,,
2023-11-19 06:07:58,Flag,TRACK CLEAR,,CLEAR,Track,,
2023-11-19 06:08:40,Drs,DRS ENABLED,ENABLED,,,,
2023-11-19 06:09:05,Other,FIA STEWARDS: LAP 1 TURN 1 UNDER INVESTIGATION,,,,,
2023-11-19 06:09:18,Flag,DOUBLE YELLOW IN TRACK SECTOR 14,,DOUBLE YELLOW,Sector,14.0,
2023-11-19 06:09:27,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,
2023-11-19 06:13:40,Other,CAR 11 (PER) TIME 2:45.405 DELETED - TRACK LIMITS AT TURN 8 LAP 4 22:11:21,,,,,
2023-11-19 06:14:26,Other,CAR 77 (BOT) TIME 2:27.981 DELETED - TRACK LIMITS AT TURN 8 LAP 2 22:07:56,,,,,
2023-11-19 06:15:43,Flag,CLEAR IN TRACK SECTOR 14,,CLEAR,Sector,14.0,
2023-11-19 06:16:28,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,
2023-11-19 06:17:57,Flag,TRACK CLEAR,,CLEAR,Track,,
2023-11-19 06:20:32,Other,FIA STEWARDS: LAP 1 TURN 1 INCIDENT 5 SECOND TIME PENALTY FOR CAR 1 (VER) - FORCING ANOTHER DRIVER OFF THE TRACK,,,,,
2023-11-19 06:21:44,Drs,DRS ENABLED,ENABLED,,,,
2023-11-19 06:24:00,Other,CAR 31 (OCO) TIME 1:41.013 DELETED - TRACK LIMITS AT TURN 17 LAP 8 22:21:56,,,,,
