Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2023-11-24 12:45:16,Other,RISK OF RAIN FOR F1 SECOND PRACTICE SESSION IS 0%,,,,,,
2023-11-24 13:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2023-11-24 13:08:22,Flag,RED FLAG,,RED,Track,,,
2023-11-24 13:28:56,Other,SESSION WILL RESUME AT 17:35,,,,,,
2023-11-24 13:30:02,Flag,TRACK CLEAR,,CLEAR,Track,,,
2023-11-24 13:30:04,Drs,DRS ENABLED,ENABLED,,,,,
2023-11-24 13:35:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2023-11-24 13:37:17,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,,
2023-11-24 13:37:19,Flag,DOUBLE YELLOW IN TRACK SECTOR 2,,DOUBLE YELLOW,Sector,2.0,,
2023-11-24 13:37:19,Flag,DOUBLE YELLOW IN TRACK SECTOR 3,,DOUBLE YELLOW,Sector,3.0,,
2023-11-24 13:37:34,Flag,RED FLAG,,RED,Track,,,
2023-11-24 13:37:34,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,
2023-11-24 13:37:34,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,
2023-11-24 13:42:30,Other,SESSION WILL RESUME AT 17:44,,,,,,
2023-11-24 13:42:40,Flag,TRACK CLEAR,,CLEAR,Track,,,
2023-11-24 13:42:42,Drs,DRS ENABLED,ENABLED,,,,,
2023-11-24 13:44:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2023-11-24 14:00:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2023-11-24 14:00:46,Other,FIRST CAR TO TAKE THE FLAG - CAR 3 (RIC),,,,,,
