Driver,LapNumber,LapTime,Compound
RUS,2.0,84.929,SOFT
RUS,3.0,116.942,SOFT
RUS,5.0,84.337,SOFT
RUS,6.0,119.138,SOFT
RUS,8.0,84.46,SOFT
RUS,9.0,109.712,SOFT
RUS,11.0,84.013,SOFT
RUS,12.0,118.743,SOFT
RUS,14.0,84.152,SOFT
RUS,15.0,101.723,SOFT
RUS,17.0,83.788,SOFT
RUS,18.0,122.047,SOFT
NOR,2.0,84.368,SOFT
NOR,3.0,105.7,SOFT
NOR,5.0,106.467,SOFT
NOR,7.0,83.92,SOFT
NOR,8.0,103.757,SOFT
NOR,10.0,109.828,SOFT
NOR,12.0,83.816,SOFT
NOR,13.0,101.38,SOFT
NOR,15.0,83.952,SOFT
NOR,16.0,110.757,SOFT
PIA,2.0,85.067,SOFT
PIA,3.0,108.392,SOFT
PIA,5.0,84.487,SOFT
PIA,6.0,110.533,SOFT
PIA,8.0,84.278,SOFT
PIA,9.0,105.112,SOFT
PIA,11.0,95.479,SOFT
PIA,13.0,83.949,SOFT
PIA,14.0,103.503,SOFT
PIA,16.0,83.782,SOFT
PIA,17.0,118.631,SOFT
ALB,2.0,84.58,SOFT
ALB,3.0,110.916,SOFT
ALB,5.0,84.298,SOFT
ALB,6.0,104.499,SOFT
ALB,8.0,84.965,SOFT
ALB,9.0,106.622,SOFT
ALB,11.0,84.439,SOFT
ALB,12.0,112.116,SOFT
LEC,2.0,84.556,SOFT
LEC,3.0,111.302,SOFT
LEC,5.0,84.459,SOFT
LEC,6.0,111.685,SOFT
LEC,8.0,84.555,SOFT
LEC,9.0,101.258,SOFT
LEC,11.0,83.969,SOFT
LEC,12.0,107.692,SOFT
LEC,14.0,84.496,SOFT
LEC,15.0,105.021,SOFT
LEC,17.0,83.584,SOFT
LEC,18.0,111.506,SOFT
VER,2.0,84.16,SOFT
VER,3.0,115.663,SOFT
VER,5.0,84.554,SOFT
VER,6.0,106.259,SOFT
VER,8.0,83.74,SOFT
VER,9.0,110.588,SOFT
VER,11.0,83.445,SOFT
VER,12.0,102.65,SOFT
VER,14.0,83.55,SOFT
VER,15.0,115.411,SOFT
OCO,2.0,85.099,SOFT
OCO,3.0,108.835,SOFT
OCO,5.0,84.565,SOFT
OCO,6.0,112.5,SOFT
OCO,8.0,85.058,SOFT
OCO,9.0,108.292,SOFT
OCO,11.0,84.391,SOFT
OCO,12.0,113.669,SOFT
SAR,2.0,84.722,SOFT
SAR,3.0,114.335,SOFT
SAR,5.0,84.532,SOFT
SAR,6.0,106.738,SOFT
TSU,2.0,84.672,SOFT
TSU,3.0,111.992,SOFT
TSU,5.0,84.286,SOFT
TSU,6.0,113.746,SOFT
TSU,8.0,84.551,SOFT
TSU,9.0,104.792,SOFT
TSU,11.0,84.207,SOFT
TSU,12.0,110.01,SOFT
TSU,14.0,84.27,SOFT
TSU,15.0,102.005,SOFT
TSU,17.0,83.968,SOFT
TSU,18.0,112.17,SOFT
ZHO,2.0,85.114,SOFT
ZHO,3.0,106.755,SOFT
ZHO,5.0,85.159,SOFT
ZHO,6.0,114.559,SOFT
PER,2.0,84.74,SOFT
PER,3.0,108.342,SOFT
PER,5.0,84.209,SOFT
PER,6.0,112.379,SOFT
PER,8.0,84.116,SOFT
PER,9.0,104.664,SOFT
PER,11.0,108.88,SOFT
PER,13.0,84.171,SOFT
PER,14.0,103.144,SOFT
PER,16.0,83.868,SOFT
PER,17.0,118.504,SOFT
HAM,2.0,85.158,SOFT
HAM,3.0,102.801,SOFT
HAM,5.0,84.437,SOFT
HAM,6.0,113.412,SOFT
HAM,8.0,84.826,SOFT
HAM,9.0,105.711,SOFT
HAM,11.0,84.359,SOFT
HAM,12.0,113.93,SOFT
GAS,2.0,85.395,SOFT
GAS,3.0,107.142,SOFT
GAS,5.0,84.6,SOFT
GAS,6.0,113.85,SOFT
GAS,8.0,84.958,SOFT
GAS,9.0,105.027,SOFT
GAS,11.0,84.078,SOFT
GAS,12.0,113.588,SOFT
GAS,14.0,84.548,SOFT
GAS,15.0,105.004,SOFT
GAS,17.0,84.533,SOFT
ALO,2.0,85.207,SOFT
ALO,3.0,111.394,SOFT
ALO,5.0,84.501,SOFT
ALO,6.0,118.481,SOFT
ALO,8.0,84.698,SOFT
ALO,9.0,106.092,SOFT
ALO,11.0,84.131,SOFT
ALO,12.0,114.399,SOFT
ALO,14.0,84.438,SOFT
ALO,15.0,102.291,SOFT
ALO,17.0,84.084,SOFT
ALO,18.0,116.323,SOFT
STR,2.0,85.201,SOFT
STR,3.0,109.729,SOFT
STR,5.0,84.405,SOFT
STR,6.0,110.295,SOFT
STR,8.0,84.817,SOFT
STR,9.0,112.361,SOFT
STR,11.0,84.422,SOFT
STR,12.0,111.778,SOFT
BOT,2.0,84.973,SOFT
BOT,3.0,106.966,SOFT
BOT,5.0,84.788,SOFT
BOT,6.0,113.943,SOFT
HUL,2.0,85.054,SOFT
HUL,3.0,108.788,SOFT
HUL,5.0,84.425,SOFT
HUL,6.0,94.889,SOFT
HUL,8.0,85.003,SOFT
HUL,9.0,97.021,SOFT
HUL,11.0,84.213,SOFT
HUL,12.0,108.083,SOFT
HUL,14.0,84.435,SOFT
HUL,15.0,102.323,SOFT
HUL,17.0,84.108,SOFT
HUL,18.0,115.105,SOFT
RIC,2.0,84.84,SOFT
RIC,3.0,113.775,SOFT
RIC,5.0,84.461,SOFT
RIC,6.0,115.196,SOFT
RIC,8.0,84.929,SOFT
RIC,9.0,103.149,SOFT
RIC,11.0,84.442,SOFT
RIC,12.0,114.641,SOFT
MAG,2.0,85.653,SOFT
MAG,3.0,100.684,SOFT
MAG,5.0,84.764,SOFT
MAG,6.0,102.574,SOFT
SAI,2.0,84.818,SOFT
SAI,3.0,110.028,SOFT
SAI,5.0,84.738,SOFT
SAI,6.0,114.325,SOFT
