Driver,LapNumber,LapTime,Compound
VER,1,,MEDIUM
VER,2,95.429,MEDIUM
VER,3,,MEDIUM
VER,4,,MEDIUM
VER,5,113.662,MEDIUM
VER,6,,SOFT
VER,7,93.375,SOFT
VER,8,128.682,SOFT
VER,9,,SOFT
VER,10,97.9,SOFT
VER,11,97.98,SOFT
VER,12,98.171,SOFT
VER,13,98.574,SOFT
VER,14,98.474,SOFT
VER,15,98.338,SOFT
VER,16,98.842,SOFT
VER,17,98.561,SOFT
VER,18,98.623,SOFT
VER,19,99.25,SOFT
VER,20,,SOFT
VER,21,132.826,SOFT
PER,1,,MEDIUM
PER,2,95.069,MEDIUM
PER,3,131.463,MEDIUM
PER,4,,MEDIUM
PER,5,94.343,MEDIUM
PER,6,125.588,MEDIUM
PER,7,,SOFT
PER,8,92.758,SOFT
PER,9,111.758,SOFT
PER,10,,SOFT
PER,11,97.679,SOFT
PER,12,98.037,SOFT
PER,13,98.999,SOFT
PER,14,99.527,SOFT
PER,15,99.87,SOFT
PER,16,98.647,SOFT
PER,17,98.597,SOFT
PER,18,102.775,SOFT
PER,19,97.834,SOFT
PER,20,,SOFT
PER,21,146.21,SOFT
LEC,1,,MEDIUM
LEC,2,97.694,MEDIUM
LEC,3,,MEDIUM
LEC,4,96.335,MEDIUM
LEC,5,,MEDIUM
LEC,6,,MEDIUM
LEC,7,95.991,MEDIUM
LEC,8,130.861,MEDIUM
LEC,9,,MEDIUM
LEC,10,94.257,MEDIUM
LEC,11,149.76,MEDIUM
LEC,12,,MEDIUM
LEC,13,100.966,MEDIUM
LEC,14,,MEDIUM
LEC,15,99.07,MEDIUM
LEC,16,114.756,MEDIUM
LEC,17,,MEDIUM
SAI,1,,MEDIUM
SAI,2,97.28,MEDIUM
SAI,3,,MEDIUM
SAI,4,131.476,MEDIUM
SAI,5,96.182,MEDIUM
SAI,6,121.729,MEDIUM
SAI,7,,MEDIUM
SAI,8,96.072,MEDIUM
SAI,9,119.848,MEDIUM
SAI,10,,MEDIUM
SAI,11,125.203,MEDIUM
SAI,12,,MEDIUM
SAI,13,100.027,MEDIUM
SAI,14,100.146,MEDIUM
SAI,15,100.092,MEDIUM
SAI,16,100.294,MEDIUM
SAI,17,100.486,MEDIUM
SAI,18,100.358,MEDIUM
SAI,19,100.583,MEDIUM
SAI,20,133.734,MEDIUM
SAI,21,143.184,MEDIUM
HAM,1,,UNKNOWN
HAM,2,95.462,UNKNOWN
HAM,3,,UNKNOWN
HAM,4,,MEDIUM
HAM,5,95.164,MEDIUM
HAM,6,149.001,MEDIUM
HAM,7,,MEDIUM
HAM,8,95.014,MEDIUM
HAM,9,113.757,MEDIUM
HAM,10,,MEDIUM
HAM,11,114.903,MEDIUM
HAM,12,94.917,MEDIUM
HAM,13,114.515,MEDIUM
RUS,1,,MEDIUM
RUS,2,96.083,MEDIUM
RUS,3,139.683,MEDIUM
RUS,4,95.999,MEDIUM
RUS,5,101.911,MEDIUM
RUS,6,97.724,MEDIUM
RUS,7,97.773,MEDIUM
RUS,8,100.185,MEDIUM
RUS,9,121.24,MEDIUM
RUS,10,,MEDIUM
RUS,11,95.05,MEDIUM
RUS,12,131.713,MEDIUM
RUS,13,,MEDIUM
RUS,14,94.966,MEDIUM
RUS,15,130.149,MEDIUM
RUS,16,95.412,MEDIUM
RUS,17,96.987,MEDIUM
RUS,18,97.517,MEDIUM
RUS,19,140.854,MEDIUM
RUS,20,141.439,MEDIUM
GAS,1,,MEDIUM
GAS,2,95.84,MEDIUM
GAS,3,147.464,MEDIUM
GAS,4,96.145,MEDIUM
GAS,5,145.271,MEDIUM
GAS,6,95.671,MEDIUM
GAS,7,125.497,MEDIUM
GAS,8,,MEDIUM
GAS,9,96.12,MEDIUM
GAS,10,139.275,MEDIUM
GAS,11,96.421,MEDIUM
GAS,12,141.284,MEDIUM
GAS,13,96.39,MEDIUM
GAS,14,110.732,MEDIUM
GAS,15,,MEDIUM
GAS,16,95.455,MEDIUM
GAS,17,136.139,MEDIUM
GAS,18,96.364,MEDIUM
GAS,19,,MEDIUM
GAS,20,96.474,MEDIUM
GAS,21,134.42,MEDIUM
GAS,22,139.696,MEDIUM
OCO,1,,MEDIUM
OCO,2,,MEDIUM
OCO,3,96.057,MEDIUM
OCO,4,137.748,MEDIUM
OCO,5,96.212,MEDIUM
OCO,6,,MEDIUM
OCO,7,96.151,MEDIUM
OCO,8,146.586,MEDIUM
OCO,9,96.18,MEDIUM
OCO,10,115.449,MEDIUM
OCO,11,,MEDIUM
OCO,12,95.105,MEDIUM
OCO,13,144.832,MEDIUM
OCO,14,116.437,MEDIUM
OCO,15,139.6,MEDIUM
OCO,16,95.739,MEDIUM
