Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber
2023-03-03 11:15:08,Other,RISK OF RAIN FOR F1 FIRST PRACTICE SESSION IS 0%,,,,,
2023-03-03 11:15:58,Other,PINK HEAD PADDING MATERIAL MUST BE USED,,,,,
2023-03-03 11:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-03-03 11:59:07,CarEvent,CAR 14 (ALO) OFF TRACK AND CONTINUED AT TURN 4,,,,,14
2023-03-03 12:06:51,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,
2023-03-03 12:06:52,Other,DRS DISABLED IN ZONE 3,,,,,
2023-03-03 12:06:54,Other,DRS ENABLED IN ZONE 3,,,,,
2023-03-03 12:06:54,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,
2023-03-03 12:07:11,CarEvent,CAR 4 (NOR) OFF TRACK AND CONTINUED AT TURN 1,,,,,4
2023-03-03 12:09:21,CarEvent,CAR 55 (SAI) SPUN AND CONTINUED AT TURN 9,,,,,55
2023-03-03 12:27:27,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,
2023-03-03 12:27:28,Other,DRS DISABLED IN ZONE 3,,,,,
2023-03-03 12:27:29,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,
2023-03-03 12:27:29,Other,DRS ENABLED IN ZONE 3,,,,,
2023-03-03 12:30:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-03-03 12:30:09,Other,FIRST CAR TO TAKE THE FLAG - CAR 24 (ZHO),,,,,
2023-03-03 12:45:17,Other,RISK OF RAIN FOR F3 QUALIFYING SESSION IS 0%,,,,,
