Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber
2023-03-04 14:45:11,Other,RISK OF RAIN FOR F1 QUALIFYING SESSION IS 0%,,,,,
2023-03-04 15:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-03-04 15:04:38,Flag,RED FLAG,,RED,Track,,
2023-03-04 15:08:36,Flag,TRACK CLEAR,,CLEAR,Track,,
2023-03-04 15:08:38,Other,SESSION WILL RESUME AT 18:12,,,,,
2023-03-04 15:08:44,Drs,DRS ENABLED,ENABLED,,,,
2023-03-04 15:12:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-03-04 15:12:29,Other,CAR 55 (SAI) TIME 1:32.408 DELETED - TRACK LIMITS AT TURN 8 LAP 3 18:03:06,,,,,
2023-03-04 15:17:08,Other,CAR 18 (STR) TIME 1:31.617 DELETED - TRACK LIMITS AT TURN 13 LAP 3 18:15:32,,,,,
2023-03-04 15:25:23,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-03-04 15:25:41,Other,FIRST CAR TO TAKE THE FLAG - CAR 21 (DEV),,,,,
2023-03-04 15:27:01,Other,Q2 WILL START AT 18:33,,,,,
2023-03-04 15:28:31,Other,CAR 10 (GAS) TIME 1:31.818 DELETED - TRACK LIMITS AT TURN 15 LAP 6 18:25:44,,,,,
2023-03-04 15:33:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-03-04 15:48:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-03-04 15:48:22,Other,FIRST CAR TO TAKE THE FLAG - CAR 27 (HUL),,,,,
2023-03-04 15:51:08,Other,Q3 WILL START AT 18:56,,,,,
2023-03-04 15:56:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-03-04 16:05:08,Other,CAR 27 (HUL) TIME 1:31.055 DELETED - TRACK LIMITS AT TURN 4 LAP 17 19:04:00,,,,,
2023-03-04 16:08:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-03-04 16:08:22,Other,FIRST CAR TO TAKE THE FLAG - CAR 18 (STR),,,,,
