Driver,Time,GapToLeader
1,0 days 01:02:43.746000,0.0
1,0 days 01:02:43.902000,0.0
1,0 days 01:02:43.980000,0.0
1,0 days 01:02:44.324000,0.0
1,0 days 01:02:44.355000,0.0
1,0 days 01:02:44.464000,0.0
1,0 days 01:02:44.730000,0.0
1,0 days 01:02:44.855000,0.0
1,0 days 01:04:15.900000,0.0
1,0 days 01:05:53.914000,0.0
1,0 days 01:07:31.912000,0.0
1,0 days 01:09:09.879000,0.0
1,0 days 01:10:47.877000,0.0
1,0 days 01:12:25.907000,0.0
1,0 days 01:14:03.890000,0.0
1,0 days 01:15:42.060000,0.0
1,0 days 01:17:20.386000,0.0
1,0 days 01:18:58.697000,0.0
1,0 days 01:20:37.179000,0.0
1,0 days 01:22:15.787000,0.0
1,0 days 01:23:54.301000,0.0
1,0 days 01:25:35.533000,0.0
1,0 days 01:25:48.939000,0.0
1,0 days 01:26:01.814000,11.311
1,0 days 01:26:04.345000,11.742
1,0 days 01:26:09.314000,11.867
1,0 days 01:26:13.470000,11.873
1,0 days 01:26:16.486000,11.884
1,0 days 01:26:19.236000,11.942
1,0 days 01:26:23.704000,11.959
1,0 days 01:26:26.954000,11.946
1,0 days 01:26:31.267000,12.128
1,0 days 01:26:34.735000,12.155
1,0 days 01:26:40.985000,11.866
1,0 days 01:26:44.251000,11.841
1,0 days 01:26:50.126000,11.673
1,0 days 01:26:53.969000,11.63
1,0 days 01:26:56.766000,11.636
1,0 days 01:26:59.344000,11.667
1,0 days 01:27:03.829000,11.641
1,0 days 01:27:07,11.597
1,0 days 01:27:09.625000,11.666
1,0 days 01:27:15.203000,11.569
1,0 days 01:27:17.859000,11.521
1,0 days 01:27:20.547000,11.516
1,0 days 01:27:23.266000,11.544
1,0 days 01:27:27.547000,11.411
1,0 days 01:27:32.564000,11.312
1,0 days 01:27:33.984000,11.308
1,0 days 01:27:38.875000,11.313
1,0 days 01:27:40.468000,11.325
1,0 days 01:27:42.593000,11.398
1,0 days 01:27:47.265000,11.243
1,0 days 01:27:51.343000,11.093
1,0 days 01:27:54.265000,11.07
1,0 days 01:27:56.906000,11.097
1,0 days 01:28:01.452000,11.111
1,0 days 01:28:04.687000,11.046
1,0 days 01:28:08.765000,11.077
1,0 days 01:28:12.374000,11.16
1,0 days 01:28:18.671000,10.805
1,0 days 01:28:21.921000,10.778
1,0 days 01:28:27.905000,10.673
1,0 days 01:28:31.734000,10.578
1,0 days 01:28:34.483000,10.57
1,0 days 01:28:37.108000,10.623
1,0 days 01:28:41.624000,10.622
1,0 days 01:28:44.795000,10.596
1,0 days 01:28:47.452000,10.712
1,0 days 01:28:53.045000,10.599
1,0 days 01:28:55.655000,10.53
1,0 days 01:28:58.389000,10.515
1,0 days 01:29:01.061000,10.541
1,0 days 01:29:05.358000,10.431
1,0 days 01:29:10.295000,10.344
1,0 days 01:29:11.732000,10.339
1,0 days 01:29:14.249000,10.335
1,0 days 01:29:16.654000,10.336
1,0 days 01:29:18.248000,10.335
1,0 days 01:29:20.326000,10.41
1,0 days 01:29:24.967000,10.177
1,0 days 01:29:29.123000,10.028
1,0 days 01:29:31.982000,10.004
1,0 days 01:29:34.638000,10.029
1,0 days 01:29:39.263000,10.076
1,0 days 01:29:42.451000,9.993
1,0 days 01:29:46.669000,10.12
1,0 days 01:29:50.232000,10.227
1,0 days 01:29:56.450000,9.846
1,0 days 01:29:59.732000,9.804
1,0 days 01:30:05.669000,9.542
1,0 days 01:30:09.497000,9.455
1,0 days 01:30:12.231000,9.447
1,0 days 01:30:14.809000,9.491
1,0 days 01:30:19.294000,9.456
1,0 days 01:30:22.450000,9.438
1,0 days 01:30:25.106000,9.57
1,0 days 01:30:30.747000,9.456
1,0 days 01:30:33.325000,9.39
1,0 days 01:30:36.012000,9.375
1,0 days 01:30:38.684000,9.419
1,0 days 01:30:42.996000,9.277
