Driver,LapNumber,GapTime
1,0.6666666666666666,0.0
11,0.6666666666666666,1.8439999999999999
16,0.6666666666666666,0.985
55,0.6666666666666666,2.328
14,0.6666666666666666,3.922
63,0.6666666666666666,3.375
44,0.6666666666666666,2.8129999999999997
18,0.6666666666666666,4.922
31,0.6666666666666666,6.11
27,0.6666666666666666,7.438
4,0.6666666666666666,5.656
77,0.6666666666666666,4.453
24,0.6666666666666666,8.61
22,0.6666666666666666,7.719
23,0.6666666666666666,6.578
2,0.6666666666666666,7.0
20,0.6666666666666666,9.172
81,0.6666666666666666,8.125
21,0.6666666666666666,9.641
10,0.6666666666666666,9.375
1,1.0,0.0
11,1.0,2.01
16,1.0,1.201
55,1.0,2.6470000000000002
14,1.0,4.591
63,1.0,3.598
44,1.0,3.25
18,1.0,5.649
31,1.0,6.921
27,1.0,8.336
4,1.0,6.286
77,1.0,5.12
24,1.0,9.421
22,1.0,8.741
23,1.0,7.432
2,1.0,7.781
20,1.0,10.282
81,1.0,9.173
21,1.0,10.93
10,1.0,10.58
1,1.3333333333333333,0.0
11,1.3333333333333333,2.2
16,1.3333333333333333,1.266
55,1.3333333333333333,2.7560000000000002
14,1.3333333333333333,4.992
63,1.3333333333333333,3.965
44,1.3333333333333333,3.316
18,1.3333333333333333,5.992
31,1.3333333333333333,7.362
27,1.3333333333333333,8.774000000000001
4,1.3333333333333333,6.811
77,1.3333333333333333,5.5
24,1.3333333333333333,10.311
22,1.3333333333333333,9.375
23,1.3333333333333333,7.855
2,1.3333333333333333,8.234
20,1.3333333333333333,11.36
81,1.3333333333333333,10.016
21,1.3333333333333333,11.724
10,1.3333333333333333,10.975999999999999
1,1.6666666666666665,0.0
11,1.6666666666666665,2.8120000000000003
16,1.6666666666666665,1.889
55,1.6666666666666665,3.416
14,1.6666666666666665,6.114
63,1.6666666666666665,4.929
44,1.6666666666666665,4.164
18,1.6666666666666665,7.068
31,1.6666666666666665,8.754
27,1.6666666666666665,10.461
4,1.6666666666666665,8.137
77,1.6666666666666665,6.491
24,1.6666666666666665,11.832
22,1.6666666666666665,10.858
23,1.6666666666666665,9.26
2,1.6666666666666665,9.686
20,1.6666666666666665,13.211
81,1.6666666666666665,11.489
21,1.6666666666666665,13.524000000000001
10,1.6666666666666665,12.41
1,2.0,0.0
11,2.0,2.898
16,2.0,1.9769999999999999
55,2.0,3.606
14,2.0,6.409
63,2.0,5.214
44,2.0,4.442
18,2.0,7.567
31,2.0,9.355
27,2.0,11.082
4,2.0,8.745
77,2.0,7.102
24,2.0,12.538
22,2.0,11.604
23,2.0,9.888
2,2.0,10.274000000000001
20,2.0,13.829
81,2.0,12.029
21,2.0,14.245
10,2.0,13.044
1,2.3333333333333335,0.0
11,2.3333333333333335,2.907
16,2.3333333333333335,1.827
55,2.3333333333333335,3.592
14,2.3333333333333335,6.562
63,2.3333333333333335,5.044
44,2.3333333333333335,4.352
18,2.3333333333333335,7.68
31,2.3333333333333335,9.514
27,2.3333333333333335,11.365
4,2.3333333333333335,8.984
77,2.3333333333333335,7.142
24,2.3333333333333335,12.88
22,2.3333333333333335,11.915
23,2.3333333333333335,10.16
2,2.3333333333333335,10.632
20,2.3333333333333335,14.262
81,2.3333333333333335,12.518
21,2.3333333333333335,14.618
10,2.3333333333333335,13.456
1,2.6666666666666665,0.0
11,2.6666666666666665,3.584
16,2.6666666666666665,2.461
55,2.6666666666666665,4.38
14,2.6666666666666665,7.369
63,2.6666666666666665,5.991
44,2.6666666666666665,5.382
18,2.6666666666666665,8.682
31,2.6666666666666665,10.707
27,2.6666666666666665,12.697
4,2.6666666666666665,9.963
77,2.6666666666666665,8.051
24,2.6666666666666665,14.444
22,2.6666666666666665,13.182
23,2.6666666666666665,11.473
2,2.6666666666666665,11.963
20,2.6666666666666665,16.802
81,2.6666666666666665,14.035
21,2.6666666666666665,16.517
10,2.6666666666666665,15.07
1,3.0,0.0
11,3.0,3.722
16,3.0,2.629
55,3.0,4.642
14,3.0,7.503
63,3.0,6.301
44,3.0,5.656
18,3.0,9.186
31,3.0,11.297
27,3.0,13.56
4,3.0,10.516
77,3.0,8.493
24,3.0,15.128
22,3.0,13.841
23,3.0,12.025
2,3.0,12.617
20,3.0,17.801
81,3.0,14.714
21,3.0,17.153
10,3.0,15.681000000000001
1,3.3333333333333335,0.0
11,3.3333333333333335,3.855
16,3.3333333333333335,2.76
55,3.3333333333333335,4.563
14,3.3333333333333335,7.955
63,3.3333333333333335,6.297
44,3.3333333333333335,5.7
18,3.3333333333333335,9.189
31,3.3333333333333335,11.375
27,3.3333333333333335,14.514
4,3.3333333333333335,12.192
77,3.3333333333333335,8.79
24,3.3333333333333335,15.314
22,3.3333333333333335,13.829
23,3.3333333333333335,11.98
2,3.3333333333333335,12.767
20,3.3333333333333335,18.285
81,3.3333333333333335,15.274000000000001
21,3.3333333333333335,17.493
10,3.3333333333333335,15.924
1,3.6666666666666665,0.0
11,3.6666666666666665,4.321
