Driver,LapNumber,LapTime,Compound
VER,1,,SOFT
VER,2,97.974,SOFT
VER,3,98.006,SOFT
VER,4,97.976,SOFT
VER,5,98.035,SOFT
VER,6,97.986,SOFT
VER,7,98.021,SOFT
VER,8,98.154,SOFT
VER,9,98.278,SOFT
VER,10,98.369,SOFT
VER,11,98.483,SOFT
VER,12,98.591,SOFT
VER,13,98.482,SOFT
VER,14,101.295,SOFT
VER,15,118.378,SOFT
VER,16,97.801,SOFT
VER,17,97.648,SOFT
VER,18,97.614,SOFT
VER,19,97.712,SOFT
VER,20,97.788,SOFT
VER,21,97.582,SOFT
VER,22,97.651,SOFT
VER,23,97.552,SOFT
VER,24,97.387,SOFT
VER,25,97.372,SOFT
VER,26,97.682,SOFT
VER,27,97.379,SOFT
VER,28,97.651,SOFT
VER,29,97.571,SOFT
VER,30,97.549,SOFT
VER,31,97.431,SOFT
VER,32,97.691,SOFT
VER,33,97.686,SOFT
VER,34,97.839,SOFT
VER,35,97.85,SOFT
VER,36,100.964,SOFT
VER,37,118.49,HARD
VER,38,96.297,HARD
VER,39,96.446,HARD
VER,40,96.942,HARD
VER,41,120.495,HARD
VER,42,104.824,HARD
VER,43,96.89,HARD
VER,44,96.236,HARD
VER,45,97.015,HARD
VER,46,96.701,HARD
VER,47,97.009,HARD
VER,48,96.918,HARD
VER,49,96.962,HARD
VER,50,97.25,HARD
VER,51,97.427,HARD
VER,52,96.919,HARD
VER,53,96.89,HARD
VER,54,96.678,HARD
VER,55,96.322,HARD
VER,56,97.205,HARD
VER,57,96.373,HARD
PER,1,,SOFT
PER,2,98.862,SOFT
PER,3,98.83,SOFT
PER,4,98.758,SOFT
PER,5,98.404,SOFT
PER,6,98.718,SOFT
PER,7,98.804,SOFT
PER,8,99.172,SOFT
PER,9,98.914,SOFT
PER,10,99.085,SOFT
PER,11,99.249,SOFT
PER,12,99.197,SOFT
PER,13,99.336,SOFT
PER,14,98.739,SOFT
PER,15,98.608,SOFT
PER,16,98.77,SOFT
PER,17,101.36,SOFT
PER,18,118.797,SOFT
PER,19,97.659,SOFT
PER,20,97.448,SOFT
PER,21,97.24,SOFT
PER,22,97.169,SOFT
PER,23,97.304,SOFT
PER,24,97.352,SOFT
PER,25,98.418,SOFT
PER,26,97.454,SOFT
PER,27,97.387,SOFT
PER,28,97.211,SOFT
PER,29,97.733,SOFT
PER,30,97.4,SOFT
PER,31,97.919,SOFT
PER,32,97.722,SOFT
PER,33,97.869,SOFT
PER,34,100.686,SOFT
PER,35,118.785,HARD
PER,36,96.82,HARD
PER,37,96.344,HARD
PER,38,96.431,HARD
PER,39,96.429,HARD
PER,40,97.114,HARD
PER,41,123.522,HARD
PER,42,99.657,HARD
PER,43,96.554,HARD
PER,44,96.978,HARD
PER,45,96.928,HARD
PER,46,97.257,HARD
PER,47,96.661,HARD
PER,48,96.859,HARD
PER,49,97.049,HARD
PER,50,97.731,HARD
PER,51,97.049,HARD
PER,52,97.062,HARD
PER,53,97.345,HARD
PER,54,97.296,HARD
PER,55,97.092,HARD
PER,56,96.565,HARD
PER,57,96.558,HARD
ALO,1,,SOFT
ALO,2,99.792,SOFT
ALO,3,99.1,SOFT
ALO,4,99.548,SOFT
ALO,5,99.662,SOFT
ALO,6,99.674,SOFT
ALO,7,99.729,SOFT
ALO,8,99.959,SOFT
ALO,9,100.275,SOFT
ALO,10,100.203,SOFT
ALO,11,101.147,SOFT
ALO,12,100.934,SOFT
ALO,13,100.341,SOFT
ALO,14,102.212,SOFT
ALO,15,119.692,HARD
ALO,16,97.542,HARD
ALO,17,98.139,HARD
ALO,18,98.124,HARD
ALO,19,98.361,HARD
ALO,20,98.318,HARD
ALO,21,98.407,HARD
ALO,22,98.2,HARD
ALO,23,97.853,HARD
ALO,24,97.878,HARD
ALO,25,98.139,HARD
ALO,26,98.127,HARD
ALO,27,98.612,HARD
ALO,28,98.199,HARD
ALO,29,98.585,HARD
ALO,30,98.282,HARD
ALO,31,98.009,HARD
ALO,32,97.871,HARD
ALO,33,97.769,HARD
ALO,34,100.353,HARD
ALO,35,117.389,HARD
ALO,36,96.156,HARD
ALO,37,97.431,HARD
ALO,38,97.002,HARD
ALO,39,97.243,HARD
ALO,40,97.208,HARD
ALO,41,126.713,HARD
ALO,42,96.334,HARD
ALO,43,96.911,HARD
ALO,44,97.022,HARD
ALO,45,97.931,HARD
ALO,46,97.087,HARD
ALO,47,97.326,HARD
ALO,48,96.783,HARD
ALO,49,96.726,HARD
ALO,50,96.331,HARD
ALO,51,96.96,HARD
ALO,52,97.01,HARD
ALO,53,,HARD
ALO,54,97.599,HARD
ALO,55,97.662,HARD
ALO,56,97.473,HARD
ALO,57,97.422,HARD
SAI,1,,SOFT
SAI,2,98.933,SOFT
SAI,3,99.042,SOFT
SAI,4,98.985,SOFT
SAI,5,99.128,SOFT
SAI,6,99.474,SOFT
SAI,7,99.502,SOFT
SAI,8,99.779,SOFT
SAI,9,99.744,SOFT
SAI,10,100.102,SOFT
SAI,11,100.507,SOFT
SAI,12,100.52,SOFT
SAI,13,103.31,SOFT
SAI,14,119.006,HARD
SAI,15,97.985,HARD
SAI,16,98.433,HARD
SAI,17,98.161,HARD
SAI,18,98.287,HARD
SAI,19,98.21,HARD
SAI,20,98.096,HARD
SAI,21,98.24,HARD
SAI,22,98.453,HARD
SAI,23,98.597,HARD
SAI,24,98.314,HARD
SAI,25,98.571,HARD
SAI,26,98.331,HARD
SAI,27,98.423,HARD
SAI,28,98.474,HARD
SAI,29,98.55,HARD
SAI,30,98.601,HARD
SAI,31,101.274,HARD
SAI,32,118.492,HARD
SAI,33,97.548,HARD
SAI,34,97.475,HARD
SAI,35,97.441,HARD
SAI,36,97.706,HARD
SAI,37,97.13,HARD
SAI,38,97.444,HARD
SAI,39,97.403,HARD
SAI,40,97.587,HARD
SAI,41,126.436,HARD
SAI,42,97.375,HARD
SAI,43,97.294,HARD
SAI,44,97.389,HARD
SAI,45,99.561,HARD
