Driver,LapNumber,LapTime,Compound
VER,1,,MEDIUM
VER,2,114.755,MEDIUM
VER,3,90.801,MEDIUM
VER,4,146.366,MEDIUM
VER,5,90.058,MEDIUM
VER,6,,MEDIUM
VER,7,89.952,MEDIUM
VER,8,101.862,MEDIUM
VER,9,,SOFT
VER,10,127.691,SOFT
VER,11,123.149,SOFT
VER,12,89.603,SOFT
VER,13,103.043,SOFT
VER,14,,SOFT
VER,15,95.42,SOFT
VER,16,95.134,SOFT
VER,17,95.049,SOFT
VER,18,95.226,SOFT
VER,19,95.027,SOFT
VER,20,95.198,SOFT
VER,21,98.264,SOFT
VER,22,95.024,SOFT
VER,23,95.41,SOFT
VER,24,95.669,SOFT
VER,25,95.205,SOFT
VER,26,95.024,SOFT
VER,27,95.212,SOFT
VER,28,,SOFT
VER,29,,SOFT
PER,1,,MEDIUM
PER,2,136.608,MEDIUM
PER,3,90.428,MEDIUM
PER,4,134.419,MEDIUM
PER,5,111.819,MEDIUM
PER,6,,SOFT
PER,7,89.902,SOFT
PER,8,,SOFT
PER,9,,SOFT
PER,10,122.515,SOFT
PER,11,104.401,SOFT
PER,12,,MEDIUM
PER,13,95.182,MEDIUM
PER,14,95.475,MEDIUM
PER,15,95.285,MEDIUM
PER,16,95.339,MEDIUM
PER,17,95.453,MEDIUM
PER,18,95.157,MEDIUM
PER,19,94.977,MEDIUM
PER,20,94.888,MEDIUM
PER,21,94.856,MEDIUM
PER,22,94.708,MEDIUM
PER,23,94.648,MEDIUM
PER,24,95.184,MEDIUM
PER,25,,MEDIUM
PER,26,,MEDIUM
LEC,1,,MEDIUM
LEC,2,131.063,MEDIUM
LEC,3,91.266,MEDIUM
LEC,4,126.393,MEDIUM
LEC,5,90.916,MEDIUM
LEC,6,126.248,MEDIUM
LEC,7,,SOFT
LEC,8,132.091,SOFT
LEC,9,114.794,SOFT
LEC,10,90.473,SOFT
LEC,11,134.035,SOFT
LEC,12,90.341,SOFT
LEC,13,122.499,SOFT
LEC,14,,MEDIUM
LEC,15,95.13,MEDIUM
LEC,16,95.269,MEDIUM
LEC,17,95.529,MEDIUM
LEC,18,95.092,MEDIUM
LEC,19,95.255,MEDIUM
LEC,20,95.63,MEDIUM
LEC,21,95.581,MEDIUM
LEC,22,97.914,MEDIUM
LEC,23,95.258,MEDIUM
LEC,24,95.39,MEDIUM
LEC,25,95.727,MEDIUM
LEC,26,96.108,MEDIUM
LEC,27,,MEDIUM
LEC,28,,MEDIUM
SAI,1,,MEDIUM
SAI,2,91.08,MEDIUM
SAI,3,148.251,MEDIUM
SAI,4,91.217,MEDIUM
SAI,5,139.517,MEDIUM
SAI,6,123.861,MEDIUM
SAI,7,94.476,MEDIUM
SAI,8,,SOFT
SAI,9,134.623,SOFT
SAI,10,91.013,SOFT
SAI,11,,SOFT
SAI,12,122.549,SOFT
SAI,13,90.592,SOFT
SAI,14,128.902,SOFT
SAI,15,,SOFT
SAI,16,94.964,SOFT
SAI,17,95.214,SOFT
SAI,18,95.09,SOFT
SAI,19,95.038,SOFT
SAI,20,95.537,SOFT
SAI,21,95.599,SOFT
SAI,22,95.555,SOFT
SAI,23,98.192,SOFT
SAI,24,113.15,MEDIUM
SAI,25,94.718,MEDIUM
SAI,26,95.158,MEDIUM
SAI,27,95.892,MEDIUM
SAI,28,142.916,MEDIUM
SAI,29,,MEDIUM
HAM,1,,MEDIUM
HAM,2,116.562,MEDIUM
HAM,3,91.645,MEDIUM
HAM,4,,MEDIUM
HAM,5,107.101,MEDIUM
HAM,6,91.007,MEDIUM
HAM,7,107.407,MEDIUM
HAM,8,,SOFT
HAM,9,119.862,SOFT
HAM,10,130.65,SOFT
HAM,11,90.599,SOFT
HAM,12,,SOFT
HAM,13,90.77,SOFT
HAM,14,98.797,SOFT
HAM,15,,SOFT
HAM,16,95.33,SOFT
HAM,17,95.474,SOFT
HAM,18,95.892,SOFT
HAM,19,99.741,SOFT
HAM,20,120.882,MEDIUM
HAM,21,95.589,MEDIUM
HAM,22,95.229,MEDIUM
HAM,23,94.966,MEDIUM
HAM,24,96.155,MEDIUM
HAM,25,94.991,MEDIUM
HAM,26,139.506,MEDIUM
HAM,27,,MEDIUM
RUS,1,,MEDIUM
RUS,2,133.4,MEDIUM
RUS,3,92.568,MEDIUM
RUS,4,135.68,MEDIUM
RUS,5,91.377,MEDIUM
RUS,6,119.318,MEDIUM
RUS,7,,SOFT
RUS,8,90.756,SOFT
RUS,9,,SOFT
RUS,10,128.888,SOFT
RUS,11,117.844,SOFT
RUS,12,90.07,SOFT
RUS,13,112.783,SOFT
RUS,14,,SOFT
RUS,15,131.503,MEDIUM
RUS,16,95.292,MEDIUM
RUS,17,95.489,MEDIUM
RUS,18,95.542,MEDIUM
RUS,19,95.252,MEDIUM
RUS,20,95.271,MEDIUM
RUS,21,95.351,MEDIUM
RUS,22,98.767,MEDIUM
RUS,23,95.47,MEDIUM
RUS,24,95.722,MEDIUM
RUS,25,95.65,MEDIUM
RUS,26,,MEDIUM
RUS,27,,MEDIUM
GAS,1,,MEDIUM
GAS,2,113.228,MEDIUM
GAS,3,91.433,MEDIUM
GAS,4,119.703,MEDIUM
GAS,5,90.962,MEDIUM
GAS,6,127.673,MEDIUM
GAS,7,90.628,MEDIUM
GAS,8,115.019,MEDIUM
GAS,9,,SOFT
GAS,10,123.557,SOFT
GAS,11,90.29,SOFT
GAS,12,132.553,SOFT
GAS,13,90.147,SOFT
GAS,14,133.76,SOFT
GAS,15,90.1,SOFT
GAS,16,109.15,SOFT
GAS,17,,SOFT
GAS,18,95.778,SOFT
GAS,19,95.496,SOFT
GAS,20,94.804,SOFT
GAS,21,95.513,SOFT
GAS,22,95.331,SOFT
GAS,23,95.116,SOFT
GAS,24,94.817,SOFT
GAS,25,95.545,SOFT
GAS,26,95.44,SOFT
GAS,27,,SOFT
GAS,28,,SOFT
OCO,1,,MEDIUM
OCO,2,92.367,MEDIUM
OCO,3,122.21,MEDIUM
OCO,4,91.494,MEDIUM
OCO,5,128.656,MEDIUM
OCO,6,90.737,MEDIUM
OCO,7,120.826,MEDIUM
OCO,8,,SOFT
OCO,9,90.516,SOFT
