Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber
2023-03-18 13:15:11,Other,RISK OF RAIN FOR F1 THIRD PRACTICE SESSION IS 0%,,,,,
2023-03-18 13:22:02,Other,PINK HEAD PADDING MATERIAL MUST BE USED,,,,,
2023-03-18 13:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-03-18 13:54:40,CarEvent,CAR 44 (HAM) MISSED THE APEX OF TURN 15,,,,,44
2023-03-18 14:18:55,Other,TURN 8 INCIDENT INVOLVING CARS 4 (NOR) AND 1 (VER) NOTED - IMPEDING,,,,,
2023-03-18 14:20:00,Other,FIA STEWARDS: TURN 8 INCIDENT INVOLVING CARS 4 (NOR) AND 1 (VER) REVIEWED NO FURTHER INVESTIGATION - IMPEDING,,,,,
2023-03-18 14:21:35,Flag,BLACK AND WHITE FLAG FOR CAR 14 (ALO) - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS,,BLACK AND WHITE,Driver,,14
2023-03-18 14:30:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-03-18 14:30:22,Other,FIRST CAR TO TAKE THE FLAG - CAR 27 (HUL),,,,,
2023-03-18 14:32:09,Flag,BLACK AND WHITE FLAG FOR CAR 22 (TSU) - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS,,BLACK AND WHITE,Driver,,22
2023-03-18 14:38:40,Flag,DOUBLE YELLOW IN TRACK SECTOR 17,,DOUBLE YELLOW,Sector,17.0,
2023-03-18 14:38:41,Other,DRS DISABLED IN ZONE 2,,,,,
2023-03-18 14:38:50,Flag,DOUBLE YELLOW IN TRACK SECTOR 6,,DOUBLE YELLOW,Sector,6.0,
2023-03-18 14:39:05,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,
2023-03-18 14:39:12,Other,DRS ENABLED IN ZONE 2,,,,,
2023-03-18 14:39:12,Flag,CLEAR IN TRACK SECTOR 17,,CLEAR,Sector,17.0,
