Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber
2023-03-18 16:45:27,Other,RISK OF RAIN FOR F1 QUALIFYING SESSION IS 0%,,,,,
2023-03-18 16:46:18,Other,PINK HEAD PADDING MATERIAL MUST BE USED,,,,,
2023-03-18 16:48:22,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,
2023-03-18 16:57:03,Flag,DOUBLE YELLOW IN TRACK SECTOR 8,,DOUBLE YELLOW,Sector,8.0,
2023-03-18 16:57:25,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,
2023-03-18 17:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-03-18 17:02:47,CarEvent,CAR 21 (DEV) SPUN AND CONTINUED AT TURN 1,,,,,21
2023-03-18 17:05:02,Other,CAR 2 (SAR) TIME 1:29.721 DELETED - TRACK LIMITS AT TURN 27 LAP 3 20:03:27,,,,,
2023-03-18 17:10:00,CarEvent,CAR 14 (ALO) SPUN AND CONTINUED AT TURN 2,,,,,14
2023-03-18 17:13:38,Flag,DOUBLE YELLOW IN TRACK SECTOR 16,,DOUBLE YELLOW,Sector,16.0,
2023-03-18 17:13:53,Flag,YELLOW IN TRACK SECTOR 15,,YELLOW,Sector,15.0,
2023-03-18 17:13:54,Other,DRS DISABLED IN ZONE 1,,,,,
2023-03-18 17:14:05,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,
2023-03-18 17:14:05,Other,DRS ENABLED IN ZONE 1,,,,,
2023-03-18 17:14:08,Flag,CLEAR IN TRACK SECTOR 16,,CLEAR,Sector,16.0,
2023-03-18 17:15:12,CarEvent,CAR 2 (SAR) SPUN AND CONTINUED AT TURN 23,,,,,2
2023-03-18 17:15:43,Other,CAR 31 (OCO) TIME 1:45.294 DELETED - DOUBLE YELLOW AT TURN 23,,,,,
2023-03-18 17:15:48,Other,CAR 10 (GAS) TIME 1:49.001 DELETED - DOUBLE YELLOW AT TURN 23,,,,,
2023-03-18 17:15:57,Other,CAR 16 (LEC) TIME 2:12.848 DELETED - DOUBLE YELLOW AT TURN 23,,,,,
2023-03-18 17:16:29,Other,CAR 27 (HUL) TIME 1:40.050 DELETED - DOUBLE YELLOW AT TURN 23,,,,,
2023-03-18 17:16:50,Other,CAR 55 (SAI) TIME 1:49.972 DELETED - DOUBLE YELLOW AT TURN 23,,,,,
2023-03-18 17:18:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-03-18 17:18:12,Other,FIRST CAR TO TAKE THE FLAG - CAR 14 (ALO),,,,,
2023-03-18 17:19:42,Flag,DOUBLE YELLOW IN TRACK SECTOR 7,,DOUBLE YELLOW,Sector,7.0,
2023-03-18 17:21:18,Flag,CLEAR IN TRACK SECTOR 7,,CLEAR,Sector,7.0,
2023-03-18 17:25:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-03-18 17:31:26,Flag,YELLOW IN TRACK SECTOR 11,,YELLOW,Sector,11.0,
2023-03-18 17:31:29,Flag,CLEAR IN TRACK SECTOR 11,,CLEAR,Sector,11.0,
2023-03-18 17:32:31,Other,CAR 27 (HUL) TIME 1:29.468 DELETED - TRACK LIMITS AT TURN 27 LAP 14 20:30:16,,,,,
2023-03-18 17:40:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-03-18 17:40:13,Other,FIRST CAR TO TAKE THE FLAG - CAR 24 (ZHO),,,,,
2023-03-18 17:44:49,Other,CAR 20 (MAG) TIME 1:29.517 DELETED - TRACK LIMITS AT TURN 27 LAP 17 20:40:48,,,,,
2023-03-18 17:48:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-03-18 18:00:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-03-18 18:00:06,Other,FIRST CAR TO TAKE THE FLAG - CAR 81 (PIA),,,,,
2023-03-18 18:02:48,Other,CAR 44 (HAM) TIME 1:29.248 DELETED - TRACK LIMITS AT TURN 27 LAP 21 21:00:36,,,,,
2023-03-18 18:04:42,Flag,DOUBLE YELLOW IN TRACK SECTOR 4,,DOUBLE YELLOW,Sector,4.0,
2023-03-18 18:05:31,Flag,YELLOW IN TRACK SECTOR 15,,YELLOW,Sector,15.0,
2023-03-18 18:05:32,Other,DRS DISABLED IN ZONE 1,,,,,
2023-03-18 18:06:03,Flag,DOUBLE YELLOW IN TRACK SECTOR 16,,DOUBLE YELLOW,Sector,16.0,
2023-03-18 18:09:09,Flag,CLEAR IN TRACK SECTOR 4,,CLEAR,Sector,4.0,
2023-03-18 18:09:37,Flag,CLEAR IN TRACK SECTOR 16,,CLEAR,Sector,16.0,
