Driver,LapNumber,GapTime
11,0.6666666666666666,0.781
14,0.6666666666666666,0.0
63,0.6666666666666666,2.219
55,0.6666666666666666,2.765
18,0.6666666666666666,2.547
31,0.6666666666666666,3.5
44,0.6666666666666666,4.156
81,0.6666666666666666,6.718
10,0.6666666666666666,5.531
27,0.6666666666666666,7.187
24,0.6666666666666666,6.953
16,0.6666666666666666,6.703
20,0.6666666666666666,7.172
77,0.6666666666666666,7.422
1,0.6666666666666666,7.859
22,0.6666666666666666,8.359
23,0.6666666666666666,8.531
21,0.6666666666666666,9.25
4,0.6666666666666666,8.859
2,0.6666666666666666,9.453
11,1.0,0.406
14,1.0,0.0
63,1.0,1.804
55,1.0,2.539
18,1.0,2.204
31,1.0,3.366
44,1.0,4.154
81,1.0,10.354
10,1.0,5.258
27,1.0,7.8629999999999995
24,1.0,7.694
16,1.0,6.404
20,1.0,7.788
77,1.0,8.752
1,1.0,8.334
22,1.0,8.685
23,1.0,9.092
21,1.0,9.847
4,1.0,9.445
2,1.0,10.368
11,1.3333333333333333,0.736
14,1.3333333333333333,0.0
63,1.3333333333333333,2.194
55,1.3333333333333333,3.336
18,1.3333333333333333,2.803
31,1.3333333333333333,4.086
44,1.3333333333333333,5.174
81,1.3333333333333333,38.914
10,1.3333333333333333,5.82
27,1.3333333333333333,9.128
24,1.3333333333333333,8.122
16,1.3333333333333333,6.8870000000000005
20,1.3333333333333333,8.684
77,1.3333333333333333,10.582
1,1.3333333333333333,9.474
22,1.3333333333333333,10.112
23,1.3333333333333333,10.866
21,1.3333333333333333,12.174
4,1.3333333333333333,12.114
2,1.3333333333333333,12.585
11,1.6666666666666665,0.716
14,1.6666666666666665,0.0
63,1.6666666666666665,2.26
55,1.6666666666666665,3.635
18,1.6666666666666665,2.947
31,1.6666666666666665,4.605
44,1.6666666666666665,5.516
81,1.6666666666666665,39.307
10,1.6666666666666665,6.535
27,1.6666666666666665,9.695
24,1.6666666666666665,8.479
16,1.6666666666666665,7.553
20,1.6666666666666665,9.312
77,1.6666666666666665,11.46
1,1.6666666666666665,10.205
22,1.6666666666666665,11.01
23,1.6666666666666665,11.697
21,1.6666666666666665,14.45
4,1.6666666666666665,13.32
2,1.6666666666666665,13.671
11,2.0,0.745
14,2.0,0.0
63,2.0,2.351
55,2.0,3.555
18,2.0,2.961
31,2.0,4.805
44,2.0,5.775
81,2.0,39.592
10,2.0,6.747
27,2.0,9.966
24,2.0,8.742
16,2.0,7.744
20,2.0,9.44
77,2.0,11.948
1,2.0,10.447
22,2.0,11.289
23,2.0,12.441
21,2.0,15.028
4,2.0,16.948
2,2.0,14.227
11,2.3333333333333335,0.961
14,2.3333333333333335,0.0
63,2.3333333333333335,2.535
55,2.3333333333333335,4.114
18,2.3333333333333335,3.422
31,2.3333333333333335,5.292
44,2.3333333333333335,6.754
81,2.3333333333333335,39.516
10,2.3333333333333335,7.524
27,2.3333333333333335,10.958
24,2.3333333333333335,9.24
16,2.3333333333333335,8.268
20,2.3333333333333335,10.312
77,2.3333333333333335,12.811
1,2.3333333333333335,11.343
22,2.3333333333333335,12.313
23,2.3333333333333335,13.609
21,2.3333333333333335,16.08
4,2.3333333333333335,43.713
2,2.3333333333333335,15.298
11,2.6666666666666665,0.955
14,2.6666666666666665,0.0
63,2.6666666666666665,2.741
55,2.6666666666666665,4.245
18,2.6666666666666665,3.394
31,2.6666666666666665,5.671
44,2.6666666666666665,7.128
81,2.6666666666666665,39.767
10,2.6666666666666665,7.814
27,2.6666666666666665,11.32
24,2.6666666666666665,9.753
16,2.6666666666666665,8.642
20,2.6666666666666665,10.859
77,2.6666666666666665,13.586
1,2.6666666666666665,11.929
22,2.6666666666666665,13.018
23,2.6666666666666665,14.151
21,2.6666666666666665,16.654
4,2.6666666666666665,44.696
2,2.6666666666666665,15.824
11,3.0,0.434
14,3.0,0.0
63,3.0,2.511
55,3.0,3.769
18,3.0,3.06
31,3.0,5.731
44,3.0,7.263
81,3.0,40.086
10,3.0,7.651
27,3.0,11.364
24,3.0,9.862
16,3.0,8.429
20,3.0,11.096
77,3.0,13.764
1,3.0,11.833
22,3.0,13.299
23,3.0,14.366
21,3.0,16.833
4,3.0,45.342
2,3.0,16.084
11,3.3333333333333335,0.0
14,3.3333333333333335,0.655
63,3.3333333333333335,2.044
55,3.3333333333333335,3.413
18,3.3333333333333335,2.771
31,3.3333333333333335,4.986
44,3.3333333333333335,7.195
81,3.3333333333333335,39.256
10,3.3333333333333335,7.693
