Driver,LapNumber,LapTime,Compound
VER,1,,MEDIUM
VER,2,97.68,MEDIUM
VER,3,96.526,MEDIUM
VER,4,96.503,MEDIUM
VER,5,95.359,MEDIUM
VER,6,95.84,MEDIUM
VER,7,95.687,MEDIUM
VER,8,95.129,MEDIUM
VER,9,95.561,MEDIUM
VER,10,95.443,MEDIUM
VER,11,95.306,MEDIUM
VER,12,94.848,MEDIUM
VER,13,95.183,MEDIUM
VER,14,94.2,MEDIUM
VER,15,94.499,MEDIUM
VER,16,94.443,MEDIUM
VER,17,93.79,MEDIUM
VER,18,134.348,MEDIUM
VER,19,,HARD
VER,20,,HARD
VER,21,96.946,HARD
VER,22,94.973,HARD
VER,23,94.115,HARD
VER,24,94.146,HARD
VER,25,92.933,HARD
VER,26,92.94,HARD
VER,27,92.838,HARD
VER,28,92.869,HARD
VER,29,92.67,HARD
VER,30,92.877,HARD
VER,31,92.382,HARD
VER,32,92.4,HARD
VER,33,92.387,HARD
VER,34,92.341,HARD
VER,35,92.249,HARD
VER,36,92.384,HARD
VER,37,92.496,HARD
VER,38,93.123,HARD
VER,39,92.432,HARD
VER,40,92.606,HARD
VER,41,92.638,HARD
VER,42,92.274,HARD
VER,43,92.343,HARD
VER,44,92.848,HARD
VER,45,92.968,HARD
VER,46,93.148,HARD
VER,47,93.238,HARD
VER,48,93.607,HARD
VER,49,93.835,HARD
VER,50,91.906,HARD
GAS,1,,MEDIUM
GAS,2,97.056,MEDIUM
GAS,3,96.044,MEDIUM
GAS,4,96.291,MEDIUM
GAS,5,95.973,MEDIUM
GAS,6,95.837,MEDIUM
GAS,7,97.137,MEDIUM
GAS,8,96.645,MEDIUM
GAS,9,96.549,MEDIUM
GAS,10,96.262,MEDIUM
GAS,11,96.022,MEDIUM
GAS,12,96.128,MEDIUM
GAS,13,96.17,MEDIUM
GAS,14,98.551,MEDIUM
GAS,15,113.128,HARD
GAS,16,95.536,HARD
GAS,17,107.735,HARD
GAS,18,135.212,HARD
GAS,19,132.712,HARD
GAS,20,,HARD
GAS,21,98.374,HARD
GAS,22,96.576,HARD
GAS,23,95.918,HARD
GAS,24,95.322,HARD
GAS,25,95.27,HARD
GAS,26,95.105,HARD
GAS,27,95.0,HARD
GAS,28,94.65,HARD
GAS,29,94.601,HARD
GAS,30,94.869,HARD
GAS,31,94.735,HARD
GAS,32,94.626,HARD
GAS,33,94.516,HARD
GAS,34,94.394,HARD
GAS,35,94.5,HARD
GAS,36,94.436,HARD
GAS,37,94.289,HARD
GAS,38,94.355,HARD
GAS,39,93.929,HARD
GAS,40,94.11,HARD
GAS,41,93.829,HARD
GAS,42,93.96,HARD
GAS,43,94.026,HARD
GAS,44,94.131,HARD
GAS,45,93.82,HARD
GAS,46,94.068,HARD
GAS,47,93.81,HARD
GAS,48,93.624,HARD
GAS,49,93.614,HARD
GAS,50,93.392,HARD
PER,1,,MEDIUM
PER,2,95.906,MEDIUM
PER,3,94.829,MEDIUM
PER,4,95.651,MEDIUM
PER,5,94.873,MEDIUM
PER,6,94.621,MEDIUM
PER,7,94.277,MEDIUM
PER,8,94.477,MEDIUM
PER,9,94.255,MEDIUM
PER,10,94.106,MEDIUM
PER,11,94.075,MEDIUM
PER,12,94.16,MEDIUM
PER,13,94.263,MEDIUM
PER,14,94.409,MEDIUM
PER,15,94.392,MEDIUM
PER,16,94.19,MEDIUM
PER,17,93.961,MEDIUM
PER,18,127.357,MEDIUM
PER,19,,HARD
PER,20,,HARD
PER,21,94.557,HARD
PER,22,93.895,HARD
PER,23,93.464,HARD
PER,24,93.44,HARD
PER,25,93.426,HARD
PER,26,93.072,HARD
PER,27,92.891,HARD
PER,28,93.025,HARD
PER,29,92.726,HARD
PER,30,,HARD
PER,31,92.554,HARD
PER,32,92.498,HARD
PER,33,92.55,HARD
PER,34,92.294,HARD
PER,35,92.68,HARD
PER,36,92.292,HARD
PER,37,92.638,HARD
PER,38,92.188,HARD
PER,39,93.19,HARD
PER,40,92.83,HARD
PER,41,92.637,HARD
PER,42,92.235,HARD
PER,43,92.308,HARD
PER,44,92.267,HARD
PER,45,92.419,HARD
PER,46,92.933,HARD
PER,47,92.895,HARD
PER,48,93.075,HARD
PER,49,93.306,HARD
PER,50,93.691,HARD
ALO,1,,MEDIUM
ALO,2,95.567,MEDIUM
ALO,3,95.14,MEDIUM
ALO,4,96.664,MEDIUM
ALO,5,94.92,MEDIUM
ALO,6,94.658,MEDIUM
ALO,7,94.422,MEDIUM
ALO,8,94.398,MEDIUM
ALO,9,94.4,MEDIUM
ALO,10,94.835,MEDIUM
ALO,11,94.982,MEDIUM
ALO,12,94.927,MEDIUM
ALO,13,94.918,MEDIUM
ALO,14,94.837,MEDIUM
ALO,15,94.717,MEDIUM
ALO,16,94.842,MEDIUM
ALO,17,94.595,MEDIUM
ALO,18,129.623,MEDIUM
ALO,19,,HARD
ALO,20,,HARD
ALO,21,96.033,HARD
ALO,22,94.738,HARD
ALO,23,94.771,HARD
ALO,24,94.836,HARD
ALO,25,94.136,HARD
ALO,26,94.119,HARD
ALO,27,94.246,HARD
ALO,28,94.062,HARD
ALO,29,93.988,HARD
ALO,30,93.654,HARD
ALO,31,93.605,HARD
ALO,32,93.401,HARD
ALO,33,93.337,HARD
ALO,34,93.22,HARD
ALO,35,93.514,HARD
ALO,36,93.323,HARD
ALO,37,93.175,HARD
ALO,38,93.174,HARD
ALO,39,93.249,HARD
ALO,40,92.768,HARD
ALO,41,93.127,HARD
ALO,42,93.156,HARD
ALO,43,93.207,HARD
ALO,44,93.189,HARD
ALO,45,93.075,HARD
ALO,46,92.979,HARD
ALO,47,92.887,HARD
ALO,48,92.802,HARD
ALO,49,92.815,HARD
ALO,50,92.24,HARD
LEC,1,,SOFT
LEC,2,96.907,SOFT
LEC,3,95.825,SOFT
LEC,4,95.871,SOFT
LEC,5,96.275,SOFT
LEC,6,95.347,SOFT
LEC,7,96.117,SOFT
LEC,8,95.858,SOFT
LEC,9,95.364,SOFT
LEC,10,95.612,SOFT
LEC,11,95.125,SOFT
LEC,12,95.438,SOFT
LEC,13,95.226,SOFT
LEC,14,94.609,SOFT
LEC,15,95.071,SOFT
LEC,16,97.681,SOFT
LEC,17,119.434,HARD
LEC,18,134.267,HARD
LEC,19,143.866,HARD
LEC,20,,HARD
LEC,21,98.031,HARD
LEC,22,95.7,HARD
LEC,23,94.853,HARD
LEC,24,95.403,HARD
LEC,25,94.742,HARD
LEC,26,94.432,HARD
LEC,27,94.681,HARD
LEC,28,94.886,HARD
LEC,29,94.321,HARD
LEC,30,94.334,HARD
LEC,31,94.082,HARD
LEC,32,94.701,HARD
LEC,33,93.787,HARD
LEC,34,93.716,HARD
LEC,35,94.341,HARD
LEC,36,93.749,HARD
LEC,37,93.839,HARD
LEC,38,93.713,HARD
LEC,39,93.479,HARD
LEC,40,93.569,HARD
LEC,41,93.155,HARD
LEC,42,93.384,HARD
LEC,43,93.447,HARD
LEC,44,93.322,HARD
LEC,45,93.238,HARD
LEC,46,93.419,HARD
LEC,47,93.056,HARD
LEC,48,94.119,HARD
LEC,49,93.942,HARD
LEC,50,96.267,HARD
STR,1,,MEDIUM
STR,2,96.324,MEDIUM
STR,3,95.239,MEDIUM
STR,4,95.56,MEDIUM
STR,5,95.471,MEDIUM
STR,6,95.551,MEDIUM
STR,7,95.14,MEDIUM
STR,8,95.616,MEDIUM
STR,9,96.118,MEDIUM
STR,10,95.443,MEDIUM
STR,11,95.512,MEDIUM
STR,12,96.522,MEDIUM
STR,13,98.543,MEDIUM
STR,14,114.305,HARD
STR,15,96.262,HARD
STR,16,96.485,HARD
STR,17,,HARD
SAR,1,,HARD
SAR,2,99.426,HARD
SAR,3,96.997,HARD
SAR,4,96.844,HARD
SAR,5,96.881,HARD
SAR,6,97.043,HARD
SAR,7,97.282,HARD
SAR,8,98.259,HARD
SAR,9,97.159,HARD
SAR,10,96.757,HARD
SAR,11,96.735,HARD
SAR,12,96.645,HARD
SAR,13,96.126,HARD
SAR,14,96.434,HARD
SAR,15,96.19,HARD
SAR,16,96.154,HARD
SAR,17,107.279,HARD
SAR,18,136.225,HARD
SAR,19,142.638,MEDIUM
SAR,20,144.92,MEDIUM
SAR,21,98.699,MEDIUM
SAR,22,97.11,MEDIUM
SAR,23,95.822,MEDIUM
SAR,24,95.557,MEDIUM
SAR,25,95.738,MEDIUM
SAR,26,96.912,MEDIUM
SAR,27,95.604,MEDIUM
SAR,28,95.208,MEDIUM
SAR,29,94.738,MEDIUM
SAR,30,96.407,MEDIUM
SAR,31,95.039,MEDIUM
SAR,32,95.314,MEDIUM
SAR,33,95.325,MEDIUM
SAR,34,95.069,MEDIUM
SAR,35,95.523,MEDIUM
SAR,36,95.534,MEDIUM
SAR,37,95.437,MEDIUM
SAR,38,96.144,MEDIUM
SAR,39,95.718,MEDIUM
SAR,40,95.18,MEDIUM
SAR,41,95.974,MEDIUM
SAR,42,95.92,MEDIUM
SAR,43,95.229,MEDIUM
SAR,44,94.905,MEDIUM
SAR,45,95.13,MEDIUM
SAR,46,94.569,MEDIUM
SAR,47,94.896,MEDIUM
SAR,48,94.584,MEDIUM
SAR,49,94.469,MEDIUM
SAR,50,96.175,MEDIUM
MAG,1,,MEDIUM
MAG,2,97.219,MEDIUM
MAG,3,96.796,MEDIUM
MAG,4,97.098,MEDIUM
MAG,5,97.298,MEDIUM
MAG,6,97.01,MEDIUM
MAG,7,96.304,MEDIUM
MAG,8,99.187,MEDIUM
MAG,9,112.964,HARD
MAG,10,95.834,HARD
MAG,11,95.756,HARD
MAG,12,95.805,HARD
MAG,13,95.552,HARD
MAG,14,95.199,HARD
MAG,15,95.179,HARD
MAG,16,95.561,HARD
MAG,17,108.27,HARD
MAG,18,136.205,HARD
MAG,19,131.086,HARD
MAG,20,149.075,HARD
MAG,21,98.649,HARD
MAG,22,96.88,HARD
MAG,23,95.702,HARD
MAG,24,95.279,HARD
MAG,25,96.317,HARD
MAG,26,95.544,HARD
MAG,27,95.501,HARD
MAG,28,95.564,HARD
MAG,29,95.001,HARD
MAG,30,95.139,HARD
MAG,31,95.057,HARD
MAG,32,94.959,HARD
MAG,33,94.402,HARD
MAG,34,94.852,HARD
MAG,35,95.659,HARD
MAG,36,94.662,HARD
MAG,37,94.357,HARD
MAG,38,94.047,HARD
MAG,39,94.189,HARD
MAG,40,95.449,HARD
MAG,41,94.27,HARD
MAG,42,93.753,HARD
MAG,43,94.108,HARD
MAG,44,93.374,HARD
MAG,45,94.134,HARD
MAG,46,95.329,HARD
MAG,47,93.833,HARD
MAG,48,93.829,HARD
MAG,49,93.746,HARD
MAG,50,94.043,HARD
DEV,1,,MEDIUM
DEV,2,100.748,MEDIUM
DEV,3,96.945,MEDIUM
DEV,4,96.847,MEDIUM
DEV,5,96.992,MEDIUM
DEV,6,96.862,MEDIUM
DEV,7,97.087,MEDIUM
DEV,8,97.22,MEDIUM
DEV,9,97.249,MEDIUM
DEV,10,96.592,MEDIUM
DEV,11,96.52,MEDIUM
DEV,12,96.282,MEDIUM
DEV,13,96.014,MEDIUM
DEV,14,96.449,MEDIUM
DEV,15,96.017,MEDIUM
DEV,16,96.126,MEDIUM
DEV,17,109.322,MEDIUM
DEV,18,149.507,HARD
DEV,19,127.643,HARD
DEV,20,146.031,HARD
DEV,21,99.388,HARD
DEV,22,97.424,HARD
DEV,23,97.103,HARD
DEV,24,95.386,HARD
DEV,25,95.686,HARD
DEV,26,96.074,HARD
DEV,27,95.766,HARD
DEV,28,95.508,HARD
DEV,29,95.759,HARD
DEV,30,95.778,HARD
DEV,31,95.64,HARD
DEV,32,95.141,HARD
DEV,33,95.188,HARD
DEV,34,95.25,HARD
DEV,35,95.027,HARD
DEV,36,94.763,HARD
DEV,37,95.127,HARD
DEV,38,95.591,HARD
DEV,39,95.769,HARD
DEV,40,95.091,HARD
DEV,41,95.319,HARD
DEV,42,94.968,HARD
DEV,43,94.22,HARD
DEV,44,94.036,HARD
DEV,45,94.126,HARD
DEV,46,94.135,HARD
DEV,47,94.183,HARD
DEV,48,94.199,HARD
DEV,49,93.609,HARD
DEV,50,93.925,HARD
TSU,1,,MEDIUM
TSU,2,98.171,MEDIUM
TSU,3,97.15,MEDIUM
TSU,4,97.006,MEDIUM
TSU,5,96.705,MEDIUM
TSU,6,96.788,MEDIUM
TSU,7,96.655,MEDIUM
TSU,8,96.569,MEDIUM
TSU,9,96.285,MEDIUM
TSU,10,96.187,MEDIUM
TSU,11,96.2,MEDIUM
TSU,12,95.839,MEDIUM
TSU,13,96.087,MEDIUM
TSU,14,95.938,MEDIUM
TSU,15,95.616,MEDIUM
TSU,16,95.638,MEDIUM
TSU,17,102.41,MEDIUM
TSU,18,149.289,HARD
TSU,19,134.657,HARD
TSU,20,,HARD
TSU,21,98.152,HARD
TSU,22,96.197,HARD
TSU,23,95.717,HARD
TSU,24,96.425,HARD
TSU,25,96.833,HARD
TSU,26,95.513,HARD
TSU,27,95.392,HARD
TSU,28,95.155,HARD
TSU,29,94.791,HARD
TSU,30,95.113,HARD
TSU,31,94.929,HARD
TSU,32,95.246,HARD
TSU,33,94.797,HARD
TSU,34,94.925,HARD
TSU,35,94.878,HARD
TSU,36,94.61,HARD
TSU,37,94.715,HARD
TSU,38,94.488,HARD
TSU,39,94.353,HARD
TSU,40,94.373,HARD
TSU,41,94.316,HARD
TSU,42,94.056,HARD
TSU,43,93.989,HARD
TSU,44,94.189,HARD
TSU,45,94.599,HARD
TSU,46,97.002,HARD
TSU,47,94.282,HARD
TSU,48,94.125,HARD
TSU,49,94.117,HARD
TSU,50,93.931,HARD
ALB,1,,MEDIUM
ALB,2,98.916,MEDIUM
ALB,3,97.065,MEDIUM
ALB,4,96.913,MEDIUM
ALB,5,97.108,MEDIUM
ALB,6,97.004,MEDIUM
ALB,7,97.577,MEDIUM
ALB,8,97.053,MEDIUM
ALB,9,96.126,MEDIUM
ALB,10,96.311,MEDIUM
ALB,11,95.911,MEDIUM
ALB,12,96.066,MEDIUM
ALB,13,96.026,MEDIUM
ALB,14,96.878,MEDIUM
ALB,15,96.622,MEDIUM
ALB,16,96.83,MEDIUM
ALB,17,104.635,MEDIUM
ALB,18,,HARD
ALB,19,130.688,HARD
ALB,20,148.46,HARD
ALB,21,99.011,HARD
ALB,22,96.964,HARD
ALB,23,95.656,HARD
