Driver,LapNumber,LapTime,Compound
VER,1,105.631,SOFT
VER,2,81.272,SOFT
VER,3,105.001,SOFT
VER,4,79.332,SOFT
VER,5,134.604,SOFT
VER,6,125.415,SOFT
VER,7,98.775,SOFT
VER,8,79.278,SOFT
VER,9,113.777,SOFT
VER,10,78.79,SOFT
VER,11,,SOFT
VER,12,,SOFT
VER,13,148.586,SOFT
VER,14,85.339,SOFT
VER,15,121.56,SOFT
VER,16,104.299,SOFT
VER,17,,SOFT
PER,1,103.301,MEDIUM
PER,2,88.341,MEDIUM
PER,3,80.267,MEDIUM
PER,4,137.635,MEDIUM
PER,5,79.551,MEDIUM
PER,6,136.821,MEDIUM
PER,7,125.591,MEDIUM
PER,8,79.293,MEDIUM
PER,9,,MEDIUM
PER,10,98.589,SOFT
PER,11,139.865,SOFT
PER,12,106.139,SOFT
PER,13,,SOFT
PER,14,126.22,MEDIUM
PER,15,117.506,MEDIUM
PER,16,83.705,MEDIUM
PER,17,83.505,MEDIUM
PER,18,83.124,MEDIUM
PER,19,,MEDIUM
LEC,1,108.17,HARD
LEC,2,86.902,HARD
LEC,3,83.701,HARD
LEC,4,82.606,HARD
LEC,5,82.29,HARD
LEC,6,81.694,HARD
LEC,7,135.597,HARD
LEC,8,80.195,HARD
LEC,9,80.114,HARD
LEC,10,,HARD
LEC,11,105.602,SOFT
LEC,12,79.378,SOFT
LEC,13,145.895,SOFT
LEC,14,,SOFT
LEC,15,119.038,HARD
LEC,16,,HARD
SAI,1,109.825,HARD
SAI,2,85.314,HARD
SAI,3,83.377,HARD
SAI,4,82.769,HARD
SAI,5,89.121,HARD
SAI,6,81.755,HARD
SAI,7,80.935,HARD
SAI,8,107.687,HARD
SAI,9,80.093,HARD
SAI,10,,HARD
SAI,11,104.878,SOFT
SAI,12,79.687,SOFT
SAI,13,141.764,SOFT
SAI,14,109.962,SOFT
SAI,15,79.505,SOFT
SAI,16,,SOFT
SAI,17,105.386,HARD
SAI,18,83.062,HARD
SAI,19,87.436,HARD
SAI,20,,HARD
HAM,1,117.398,MEDIUM
HAM,2,82.063,MEDIUM
HAM,3,95.812,MEDIUM
HAM,4,80.297,MEDIUM
HAM,5,125.217,MEDIUM
HAM,6,80.09,MEDIUM
HAM,7,,MEDIUM
HAM,8,100.177,SOFT
HAM,9,88.425,SOFT
HAM,10,98.211,SOFT
HAM,11,121.417,SOFT
HAM,12,86.341,SOFT
HAM,13,,SOFT
HAM,14,100.621,SOFT
HAM,15,85.521,SOFT
HAM,16,86.711,SOFT
HAM,17,80.024,SOFT
HAM,18,109.196,SOFT
