Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber
2023-03-31 01:15:09,Other,RISK OF RAIN FOR F1 FIRST PRACTICE SESSION IS 10%,,,,,
2023-03-31 01:17:45,Other,PINK HEAD PADDING MATERIAL MUST BE USED,,,,,
2023-03-31 01:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-03-31 01:35:41,Flag,DOUBLE YELLOW IN TRACK SECTOR 5,,DOUBLE YELLOW,Sector,5.0,
2023-03-31 01:35:42,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,
2023-03-31 01:40:15,Flag,YELLOW IN TRACK SECTOR 5,,YELLOW,Sector,5.0,
2023-03-31 01:40:16,Other,DRS DISABLED IN ZONE 4,,,,,
2023-03-31 01:40:22,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,
2023-03-31 01:40:22,Other,DRS ENABLED IN ZONE 4,,,,,
2023-03-31 01:41:02,CarEvent,CAR 20 (MAG) OFF TRACK AND CONTINUED AT TURN 3,,,,,20
2023-03-31 01:48:14,CarEvent,CAR 27 (HUL) MISSED THE APEX OF TURN 11,,,,,27
2023-03-31 02:02:35,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,
2023-03-31 02:02:36,Other,DRS DISABLED IN ZONE 3,,,,,
2023-03-31 02:02:52,Other,DRS ENABLED IN ZONE 3,,,,,
2023-03-31 02:02:52,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,
2023-03-31 02:03:27,CarEvent,CAR 22 (TSU) OFF TRACK AND CONTINUED AT TURN 1,,,,,22
2023-03-31 02:06:04,Flag,RED FLAG,,RED,Track,,
2023-03-31 02:14:53,Other,SESSION WILL RESUME AT 13:16,,,,,
2023-03-31 02:14:55,Flag,TRACK CLEAR,,CLEAR,Track,,
2023-03-31 02:15:01,Drs,DRS ENABLED,ENABLED,,,,
2023-03-31 02:16:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-03-31 02:22:00,CarEvent,CAR 21 (DEV) OFF TRACK AND CONTINUED AT TURN 13,,,,,21
2023-03-31 02:23:09,Flag,YELLOW IN TRACK SECTOR 6,,YELLOW,Sector,6.0,
2023-03-31 02:23:11,Flag,YELLOW IN TRACK SECTOR 7,,YELLOW,Sector,7.0,
2023-03-31 02:23:24,Flag,DOUBLE YELLOW IN TRACK SECTOR 6,,DOUBLE YELLOW,Sector,6.0,
2023-03-31 02:23:27,Flag,CLEAR IN TRACK SECTOR 7,,CLEAR,Sector,7.0,
2023-03-31 02:23:35,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,
2023-03-31 02:24:03,CarEvent,CAR 1 (VER) SPUN AND CONTINUED AT TURN 4,,,,,1
2023-03-31 02:24:52,Flag,YELLOW IN TRACK SECTOR 17,,YELLOW,Sector,17.0,
2023-03-31 02:24:53,Other,DRS DISABLED IN ZONE 2,,,,,
2023-03-31 02:25:43,Flag,RED FLAG,,RED,Track,,
2023-03-31 02:25:43,Flag,CLEAR IN TRACK SECTOR 17,,CLEAR,Sector,17.0,
2023-03-31 02:26:36,Other,SESSION WILL NOT BE RESUMED,,,,,
2023-03-31 02:30:58,Flag,TRACK CLEAR,,CLEAR,Track,,
2023-03-31 02:31:02,Flag,YELLOW IN TRACK SECTOR 15,,YELLOW,Sector,15.0,
2023-03-31 02:31:05,Flag,DOUBLE YELLOW IN TRACK SECTOR 15,,DOUBLE YELLOW,Sector,15.0,
2023-03-31 02:31:14,Flag,DOUBLE YELLOW IN TRACK SECTOR 2,,DOUBLE YELLOW,Sector,2.0,
