Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber
2023-04-01 04:45:51,Other,RISK OF RAIN FOR F1 QUALIFYING SESSION IS 90%,,,,,
2023-04-01 04:43:52,Other,LIGHT BLUE HEAD PADDING MATERIAL MUST BE USED,,,,,
2023-04-01 04:45:51,Other,RISK OF RAIN FOR F1 QUALIFYING SESSION IS 90%,,,,,
2023-04-01 05:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-04-01 05:04:31,Flag,YELLOW IN TRACK SECTOR 19,,YELLOW,Sector,19.0,
2023-04-01 05:04:32,Flag,YELLOW IN TRACK SECTOR 20,,YELLOW,Sector,20.0,
2023-04-01 05:04:33,Other,DRS DISABLED IN ZONE 3,,,,,
2023-04-01 05:04:40,Flag,CLEAR IN TRACK SECTOR 20,,CLEAR,Sector,20.0,
2023-04-01 05:04:40,Other,DRS ENABLED IN ZONE 3,,,,,
2023-04-01 05:04:40,Flag,CLEAR IN TRACK SECTOR 19,,CLEAR,Sector,19.0,
2023-04-01 05:05:47,CarEvent,CAR 2 (SAR) SPUN AND CONTINUED AT TURN 13,,,,,2
2023-04-01 05:06:07,Flag,YELLOW IN TRACK SECTOR 5,,YELLOW,Sector,5.0,
2023-04-01 05:06:08,Other,DRS DISABLED IN ZONE 4,,,,,
2023-04-01 05:06:16,Flag,RED FLAG,,RED,Track,,
2023-04-01 05:06:17,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,
2023-04-01 05:10:30,Other,SESSION WILL RESUME AT 16:14,,,,,
2023-04-01 05:11:12,Flag,TRACK CLEAR,,CLEAR,Track,,
2023-04-01 05:11:13,Drs,DRS ENABLED,ENABLED,,,,
2023-04-01 05:14:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-04-01 05:22:38,Other,CAR 4 (NOR) TIME 1:37.388 DELETED - TRACK LIMITS AT TURN 6 LAP 10 16:21:25,,,,,
2023-04-01 05:23:58,Other,CAR 44 (HAM) TIME 1:51.797 DELETED - TRACK LIMITS AT TURN 9 LAP 8 16:21:49,,,,,
2023-04-01 05:25:44,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-04-01 05:25:59,Other,FIRST CAR TO TAKE THE FLAG - CAR 10 (GAS),,,,,
