Driver,LapNumber,GapTime
1,0.6666666666666666,2.016
63,0.6666666666666666,0.0
44,0.6666666666666666,1.453
14,0.6666666666666666,3.0
55,0.6666666666666666,2.438
18,0.6666666666666666,3.891
23,0.6666666666666666,3.11
10,0.6666666666666666,3.953
27,0.6666666666666666,4.531
31,0.6666666666666666,4.094
22,0.6666666666666666,5.094
4,0.6666666666666666,5.172
20,0.6666666666666666,5.547
21,0.6666666666666666,6.734
81,0.6666666666666666,6.219
24,0.6666666666666666,6.313
2,0.6666666666666666,6.703
77,0.6666666666666666,10.813
11,0.6666666666666666,9.203
1,1.0,3.732
63,1.0,0.0
44,1.0,2.394
14,1.0,7.677
55,1.0,6.041
18,1.0,10.2
23,1.0,8.524000000000001
10,1.0,12.451
27,1.0,13.549
31,1.0,24.472
22,1.0,15.924
4,1.0,18.705
20,1.0,20.136
21,1.0,22.047
81,1.0,21.065
24,1.0,32.091
2,1.0,33.611
77,1.0,39.298
11,1.0,34.196
1,1.3333333333333333,3.107
63,1.3333333333333333,0.0
44,1.3333333333333333,1.633
14,1.3333333333333333,5.548
55,1.3333333333333333,3.777
18,1.3333333333333333,8.367
23,1.3333333333333333,7.047
10,1.3333333333333333,9.887
27,1.3333333333333333,10.8
31,1.3333333333333333,18.671
22,1.3333333333333333,12.038
4,1.3333333333333333,14.185
20,1.3333333333333333,15.553
21,1.3333333333333333,17.661
81,1.3333333333333333,16.973
24,1.3333333333333333,22.707
2,1.3333333333333333,24.336
77,1.3333333333333333,32.359
11,1.3333333333333333,26.205
1,1.6666666666666665,2.763
63,1.6666666666666665,0.0
44,1.6666666666666665,1.479
14,1.6666666666666665,5.52
55,1.6666666666666665,3.616
18,1.6666666666666665,8.421
23,1.6666666666666665,6.593
10,1.6666666666666665,9.327
27,1.6666666666666665,10.353
31,1.6666666666666665,17.317
22,1.6666666666666665,13.038
4,1.6666666666666665,13.718
20,1.6666666666666665,14.721
21,1.6666666666666665,16.463
81,1.6666666666666665,15.743
24,1.6666666666666665,19.532
2,1.6666666666666665,20.921
77,1.6666666666666665,23.564
11,1.6666666666666665,21.428
1,2.0,2.539
63,2.0,0.0
44,2.0,1.383
14,2.0,5.107
55,2.0,4.154
18,2.0,8.044
23,2.0,6.024
10,2.0,10.475999999999999
27,2.0,11.567
31,2.0,17.46
22,2.0,12.827
4,2.0,13.22
20,2.0,14.435
