Driver,LapNumber,LapTime,Compound
VER,1,,MEDIUM
VER,2,132.105,MEDIUM
VER,3,130.657,MEDIUM
VER,4,83.391,MEDIUM
VER,5,83.104,MEDIUM
VER,6,82.843,MEDIUM
VER,7,95.07,MEDIUM
VER,8,,MEDIUM
VER,9,,HARD
VER,10,87.827,HARD
VER,11,83.46,HARD
VER,12,81.994,HARD
VER,13,83.286,HARD
VER,14,82.869,HARD
VER,15,82.817,HARD
VER,16,82.599,HARD
VER,17,82.595,HARD
VER,18,100.315,HARD
VER,19,103.75,HARD
VER,20,82.389,HARD
VER,21,82.11,HARD
VER,22,82.269,HARD
VER,23,82.193,HARD
VER,24,81.843,HARD
VER,25,82.104,HARD
VER,26,81.972,HARD
VER,27,81.924,HARD
VER,28,81.926,HARD
VER,29,81.772,HARD
VER,30,82.002,HARD
VER,31,82.024,HARD
VER,32,82.012,HARD
VER,33,81.819,HARD
VER,34,81.894,HARD
VER,35,81.681,HARD
VER,36,81.732,HARD
VER,37,81.403,HARD
VER,38,81.319,HARD
VER,39,81.578,HARD
VER,40,81.078,HARD
VER,41,80.986,HARD
VER,42,81.148,HARD
VER,43,81.166,HARD
VER,44,81.089,HARD
VER,45,80.807,HARD
VER,46,80.703,HARD
VER,47,84.107,HARD
VER,48,81.073,HARD
VER,49,80.342,HARD
VER,50,80.471,HARD
VER,51,80.632,HARD
VER,52,80.738,HARD
VER,53,80.671,HARD
VER,54,91.178,HARD
VER,55,,HARD
VER,56,,SOFT
VER,57,,SOFT
VER,58,,SOFT
GAS,1,,SOFT
GAS,2,131.323,SOFT
GAS,3,125.832,SOFT
GAS,4,84.671,SOFT
GAS,5,84.29,SOFT
GAS,6,83.529,SOFT
GAS,7,96.571,SOFT
GAS,8,,SOFT
GAS,9,,HARD
GAS,10,89.037,HARD
GAS,11,84.459,HARD
GAS,12,83.647,HARD
GAS,13,84.568,HARD
GAS,14,83.268,HARD
GAS,15,83.078,HARD
GAS,16,82.777,HARD
GAS,17,83.243,HARD
GAS,18,103.086,HARD
GAS,19,100.408,HARD
GAS,20,82.599,HARD
GAS,21,82.45,HARD
GAS,22,82.85,HARD
GAS,23,82.531,HARD
GAS,24,82.498,HARD
GAS,25,84.245,HARD
GAS,26,82.313,HARD
GAS,27,82.115,HARD
GAS,28,82.026,HARD
GAS,29,82.237,HARD
GAS,30,82.188,HARD
GAS,31,81.964,HARD
GAS,32,81.947,HARD
GAS,33,81.806,HARD
GAS,34,81.776,HARD
GAS,35,81.842,HARD
GAS,36,81.684,HARD
GAS,37,81.748,HARD
GAS,38,81.425,HARD
GAS,39,81.823,HARD
GAS,40,81.801,HARD
GAS,41,81.586,HARD
GAS,42,81.422,HARD
GAS,43,81.103,HARD
GAS,44,81.177,HARD
GAS,45,81.455,HARD
GAS,46,81.24,HARD
GAS,47,80.995,HARD
GAS,48,81.242,HARD
GAS,49,81.152,HARD
GAS,50,81.604,HARD
GAS,51,81.616,HARD
GAS,52,81.62,HARD
GAS,53,81.098,HARD
GAS,54,98.993,HARD
GAS,55,,HARD
GAS,56,,SOFT
GAS,57,,SOFT
PER,1,,HARD
PER,2,131.789,MEDIUM
PER,3,110.649,HARD
PER,4,85.108,HARD
PER,5,84.501,HARD
PER,6,83.584,HARD
PER,7,101.11,HARD
PER,8,,HARD
PER,9,,HARD
PER,10,93.436,HARD
PER,11,86.003,HARD
PER,12,83.982,HARD
PER,13,83.052,HARD
PER,14,83.33,HARD
PER,15,84.167,HARD
PER,16,84.299,HARD
PER,17,82.345,HARD
PER,18,108.483,HARD
PER,19,96.565,HARD
PER,20,82.757,HARD
PER,21,83.537,HARD
PER,22,82.737,HARD
PER,23,82.186,HARD
PER,24,82.678,HARD
PER,25,82.064,HARD
PER,26,82.224,HARD
PER,27,82.07,HARD
PER,28,82.244,HARD
PER,29,81.908,HARD
PER,30,81.918,HARD
PER,31,81.812,HARD
PER,32,81.456,HARD
PER,33,81.807,HARD
PER,34,81.907,HARD
PER,35,82.236,HARD
PER,36,82.059,HARD
PER,37,81.814,HARD
PER,38,81.701,HARD
PER,39,81.718,HARD
PER,40,81.602,HARD
PER,41,81.744,HARD
PER,42,80.979,HARD
PER,43,80.697,HARD
PER,44,81.232,HARD
PER,45,81.147,HARD
PER,46,81.004,HARD
PER,47,80.643,HARD
PER,48,80.732,HARD
PER,49,80.747,HARD
PER,50,81.019,HARD
PER,51,81.31,HARD
PER,52,80.855,HARD
PER,53,80.235,HARD
PER,54,100.5,HARD
PER,55,,HARD
PER,56,,SOFT
PER,57,,SOFT
PER,58,,SOFT
ALO,1,,MEDIUM
ALO,2,130.728,MEDIUM
ALO,3,129.502,MEDIUM
ALO,4,84.293,MEDIUM
ALO,5,83.29,MEDIUM
ALO,6,82.603,MEDIUM
ALO,7,95.355,MEDIUM
ALO,8,,MEDIUM
ALO,9,,HARD
ALO,10,88.668,HARD
ALO,11,84.644,HARD
ALO,12,83.321,HARD
ALO,13,83.634,HARD
ALO,14,83.424,HARD
ALO,15,83.008,HARD
ALO,16,82.26,HARD
ALO,17,82.261,HARD
ALO,18,101.221,HARD
ALO,19,102.386,HARD
ALO,20,82.913,HARD
ALO,21,82.921,HARD
