Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2024-02-29 11:15:04,Other,RISK OF RAIN FOR F1 FIRST PRACTICE SESSION IS 0%,,,,,,
2024-02-29 11:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-02-29 12:21:24,Flag,YELLOW IN TRACK SECTOR 13,,YELLOW,Sector,13.0,,
2024-02-29 12:21:25,Flag,CLEAR IN TRACK SECTOR 13,,CLEAR,Sector,13.0,,
2024-02-29 12:30:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2024-02-29 12:30:09,Other,FIRST CAR TO TAKE THE FLAG - CAR 2 (SAR),,,,,,
2024-02-29 12:37:59,Flag,DOUBLE YELLOW IN TRACK SECTOR 2,,DOUBLE YELLOW,Sector,2.0,,
2024-02-29 12:38:01,Other,DRS DISABLED IN ZONE 3,,,,,,
2024-02-29 12:38:02,Other,DRS ENABLED IN ZONE 3,,,,,,
2024-02-29 12:38:02,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,
2024-02-29 12:45:10,Other,RISK OF RAIN FOR F3 QUALIFYING SESSION IS 0%,,,,,,
