Driver,LapNumber,LapTime,Compound
VER,2.0,90.031,SOFT
VER,3.0,128.726,SOFT
VER,5.0,90.16,SOFT
VER,6.0,102.855,SOFT
VER,8.0,89.374,SOFT
VER,9.0,116.873,SOFT
VER,11.0,97.787,SOFT
VER,13.0,89.421,SOFT
VER,14.0,112.745,SOFT
VER,16.0,89.179,SOFT
VER,17.0,119.683,SOFT
LEC,2.0,91.26,MEDIUM
LEC,3.0,111.926,MEDIUM
LEC,5.0,90.243,SOFT
LEC,6.0,108.538,SOFT
LEC,9.0,90.094,SOFT
LEC,10.0,107.23,SOFT
LEC,12.0,89.165,SOFT
LEC,13.0,122.605,SOFT
LEC,15.0,89.48,SOFT
LEC,16.0,111.69,SOFT
LEC,18.0,89.407,SOFT
LEC,19.0,121.348,SOFT
RUS,2.0,90.35,SOFT
RUS,3.0,124.72,SOFT
RUS,5.0,129.967,SOFT
RUS,7.0,90.698,SOFT
RUS,8.0,107.025,SOFT
RUS,10.0,89.922,SOFT
RUS,11.0,126.521,SOFT
RUS,13.0,89.603,SOFT
RUS,14.0,125.43,SOFT
RUS,16.0,89.485,SOFT
RUS,17.0,129.274,SOFT
SAI,2.0,91.208,MEDIUM
SAI,3.0,119.562,MEDIUM
SAI,5.0,89.909,SOFT
SAI,6.0,108.457,SOFT
SAI,8.0,90.425,SOFT
SAI,9.0,108.846,SOFT
SAI,11.0,89.573,SOFT
SAI,12.0,112.447,SOFT
SAI,14.0,89.608,SOFT
SAI,15.0,115.236,SOFT
SAI,17.0,89.507,SOFT
PER,2.0,90.221,SOFT
PER,3.0,122.063,SOFT
PER,5.0,90.5,SOFT
PER,6.0,113.606,SOFT
PER,8.0,89.932,SOFT
PER,9.0,112.254,SOFT
PER,11.0,127.938,SOFT
PER,13.0,90.03,SOFT
PER,14.0,107.564,SOFT
PER,16.0,89.537,SOFT
ALO,2.0,90.179,SOFT
ALO,3.0,124.55,SOFT
ALO,5.0,113.925,SOFT
ALO,7.0,90.136,SOFT
ALO,8.0,119.624,SOFT
ALO,10.0,89.801,SOFT
ALO,11.0,121.157,SOFT
ALO,13.0,89.542,SOFT
ALO,14.0,127.513,SOFT
NOR,2.0,90.143,SOFT
NOR,3.0,115.89,SOFT
NOR,6.0,89.941,SOFT
NOR,7.0,114.087,SOFT
NOR,9.0,116.053,SOFT
NOR,11.0,89.679,SOFT
NOR,12.0,106.285,SOFT
NOR,14.0,89.614,SOFT
PIA,2.0,90.692,SOFT
PIA,3.0,116.38,SOFT
PIA,5.0,90.531,SOFT
PIA,6.0,117.365,SOFT
PIA,8.0,90.624,SOFT
PIA,9.0,112.289,SOFT
PIA,11.0,90.122,SOFT
PIA,12.0,117.278,SOFT
PIA,14.0,90.651,SOFT
PIA,15.0,108.367,SOFT
PIA,17.0,89.683,SOFT
HAM,2.0,90.806,SOFT
HAM,3.0,115.826,SOFT
HAM,5.0,90.451,SOFT
HAM,6.0,115.724,SOFT
HAM,8.0,90.363,SOFT
HAM,9.0,104.321,SOFT
HAM,11.0,89.718,SOFT
HAM,12.0,119.366,SOFT
HAM,14.0,90.445,SOFT
HAM,15.0,107.151,SOFT
HAM,17.0,89.71,SOFT
HUL,2.0,90.623,SOFT
HUL,3.0,115.586,SOFT
