Driver,LapNumber,GapTime
VER,0.6666666666666666,0.0
PER,0.6666666666666666,2.556
SAI,0.6666666666666666,3.22
LEC,0.6666666666666666,1.062
RUS,0.6666666666666666,1.912
NOR,0.6666666666666666,4.229
HAM,0.6666666666666666,5.055
PIA,0.6666666666666666,4.699
ALO,0.6666666666666666,3.778
STR,0.6666666666666666,12.315
ZHO,0.6666666666666666,6.765
MAG,0.6666666666666666,6.3629999999999995
RIC,0.6666666666666666,7.471
TSU,0.6666666666666666,5.496
ALB,0.6666666666666666,5.871
HUL,0.6666666666666666,12.283
OCO,0.6666666666666666,8.525
GAS,0.6666666666666666,9.143
BOT,0.6666666666666666,10.763
SAR,0.6666666666666666,8.094
VER,1.0,0.0
PER,1.0,2.778
SAI,1.0,3.275
LEC,1.0,0.92
RUS,1.0,1.923
NOR,1.0,4.837
HAM,1.0,5.693
PIA,1.0,5.201
ALO,1.0,4.299
STR,1.0,12.778
ZHO,1.0,7.454
MAG,1.0,7.092
RIC,1.0,8.419
TSU,1.0,6.089
ALB,1.0,6.487
HUL,1.0,16.17
OCO,1.0,9.324
GAS,1.0,9.921
BOT,1.0,11.094
SAR,1.0,8.638
VER,1.3333333333333333,0.0
PER,1.3333333333333333,2.532
SAI,1.3333333333333333,3.424
LEC,1.3333333333333333,1.216
RUS,1.3333333333333333,1.861
NOR,1.3333333333333333,5.323
HAM,1.3333333333333333,6.223
PIA,1.3333333333333333,5.763
ALO,1.3333333333333333,4.6850000000000005
STR,1.3333333333333333,13.338
ZHO,1.3333333333333333,8.051
MAG,1.3333333333333333,7.723
RIC,1.3333333333333333,9.13
TSU,1.3333333333333333,6.963
ALB,1.3333333333333333,7.1
HUL,1.3333333333333333,49.452
OCO,1.3333333333333333,10.441
GAS,1.3333333333333333,10.89
BOT,1.3333333333333333,11.682
SAR,1.3333333333333333,8.82
VER,1.6666666666666665,0.0
PER,1.6666666666666665,2.738
SAI,1.6666666666666665,4.129
LEC,1.6666666666666665,1.419
RUS,1.6666666666666665,2.238
NOR,1.6666666666666665,6.28
HAM,1.6666666666666665,7.455
PIA,1.6666666666666665,6.891
ALO,1.6666666666666665,5.92
STR,1.6666666666666665,14.33
ZHO,1.6666666666666665,9.525
MAG,1.6666666666666665,9.137
RIC,1.6666666666666665,10.822
TSU,1.6666666666666665,8.019
ALB,1.6666666666666665,8.545
HUL,1.6666666666666665,50.629
OCO,1.6666666666666665,11.499
GAS,1.6666666666666665,11.972
BOT,1.6666666666666665,12.684
SAR,1.6666666666666665,10.164
VER,2.0,0.0
PER,2.0,3.015
SAI,2.0,4.306
LEC,2.0,1.532
RUS,2.0,2.287
NOR,2.0,6.6
HAM,2.0,7.829
PIA,2.0,7.336
ALO,2.0,6.122
STR,2.0,14.626
ZHO,2.0,10.139
MAG,2.0,9.663
RIC,2.0,11.597
TSU,2.0,8.597
ALB,2.0,9.127
HUL,2.0,50.891
OCO,2.0,12.15
GAS,2.0,12.709
BOT,2.0,13.21
SAR,2.0,10.825
VER,2.3333333333333335,0.0
PER,2.3333333333333335,2.612
SAI,2.3333333333333335,4.356
LEC,2.3333333333333335,1.756
RUS,2.3333333333333335,1.655
NOR,2.3333333333333335,6.713
HAM,2.3333333333333335,7.892
PIA,2.3333333333333335,7.484
ALO,2.3333333333333335,7.191
STR,2.3333333333333335,14.906
ZHO,2.3333333333333335,10.184
MAG,2.3333333333333335,9.633
RIC,2.3333333333333335,11.563
TSU,2.3333333333333335,8.587
ALB,2.3333333333333335,9.13
HUL,2.3333333333333335,50.862
OCO,2.3333333333333335,12.406
GAS,2.3333333333333335,12.964
BOT,2.3333333333333335,13.33
SAR,2.3333333333333335,10.931000000000001
VER,2.6666666666666665,0.0
PER,2.6666666666666665,3.124
SAI,2.6666666666666665,4.569
LEC,2.6666666666666665,2.646
RUS,2.6666666666666665,1.891
NOR,2.6666666666666665,7.223
HAM,2.6666666666666665,9.025
PIA,2.6666666666666665,8.511
ALO,2.6666666666666665,7.944
STR,2.6666666666666665,15.73
ZHO,2.6666666666666665,11.302
MAG,2.6666666666666665,10.785
RIC,2.6666666666666665,12.917
TSU,2.6666666666666665,9.693999999999999
ALB,2.6666666666666665,10.245
HUL,2.6666666666666665,51.33
