Driver,LapNumber,LapTime,Compound
VER,2.0,96.296,SOFT
VER,3.0,96.753,SOFT
VER,4.0,96.647,SOFT
VER,5.0,97.173,SOFT
VER,6.0,97.092,SOFT
VER,7.0,97.038,SOFT
VER,8.0,97.024,SOFT
VER,9.0,97.229,SOFT
VER,10.0,96.96,SOFT
VER,11.0,97.085,SOFT
VER,12.0,97.045,SOFT
VER,13.0,97.03,SOFT
VER,14.0,97.028,SOFT
VER,15.0,97.011,SOFT
VER,16.0,97.168,SOFT
VER,17.0,99.896,SOFT
VER,18.0,117.854,HARD
VER,19.0,95.283,HARD
VER,20.0,95.16,HARD
VER,21.0,95.316,HARD
VER,22.0,95.204,HARD
VER,23.0,95.216,HARD
VER,24.0,95.289,HARD
VER,25.0,95.342,HARD
VER,26.0,95.223,HARD
VER,27.0,95.581,HARD
VER,28.0,95.477,HARD
VER,29.0,95.793,HARD
VER,30.0,95.771,HARD
VER,31.0,95.679,HARD
VER,32.0,95.886,HARD
VER,33.0,95.863,HARD
VER,34.0,96.133,HARD
VER,35.0,96.018,HARD
VER,36.0,96.205,HARD
VER,37.0,99.234,HARD
VER,38.0,116.445,SOFT
VER,39.0,92.608,SOFT
VER,40.0,96.589,SOFT
VER,41.0,95.29,SOFT
VER,42.0,94.667,SOFT
VER,43.0,94.151,SOFT
VER,44.0,94.531,SOFT
VER,45.0,94.249,SOFT
VER,46.0,94.193,SOFT
VER,47.0,94.239,SOFT
VER,48.0,94.35,SOFT
VER,49.0,94.403,SOFT
VER,50.0,94.783,SOFT
VER,51.0,94.34,SOFT
VER,52.0,94.906,SOFT
VER,53.0,95.6,SOFT
VER,54.0,95.334,SOFT
VER,55.0,95.184,SOFT
VER,56.0,94.671,SOFT
VER,57.0,94.923,SOFT
PER,2.0,96.541,SOFT
PER,3.0,97.297,SOFT
PER,4.0,97.722,SOFT
PER,5.0,98.044,SOFT
PER,6.0,97.823,SOFT
PER,7.0,97.821,SOFT
PER,8.0,97.838,SOFT
PER,9.0,97.596,SOFT
PER,10.0,97.63,SOFT
PER,11.0,97.836,SOFT
PER,12.0,100.277,SOFT
