Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2024-03-07 16:45:06,Other,RISK OF RAIN FOR F1 SECOND PRACTICE SESSION IS 0%,,,,,,
2024-03-07 16:55:41,Other,DELAYED START,,,,,,
2024-03-07 17:04:59,Other,FREE PRACTICE 2 WILL START AT 20:10,,,,,,
2024-03-07 17:10:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-03-07 17:22:45,Other,TURN 10 INCIDENT INVOLVING CARS 44 (HAM) AND 2 (SAR) NOTED - IMPEDING,,,,,,
2024-03-07 17:27:43,Other,FIA STEWARDS: TURN 10 INCIDENT INVOLVING CARS 44 (HAM) AND 2 (SAR) WILL BE INVESTIGATED AFTER THE SESSION - IMPEDING,,,,,,
2024-03-07 18:03:27,Flag,BLACK AND WHITE FLAG FOR CAR 18 (STR) - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – TRACK LIMITS,,BLACK AND WHITE,Driver,,18,
2024-03-07 18:10:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2024-03-07 18:10:08,Other,FIRST CAR TO TAKE THE FLAG - CAR 63 (RUS),,,,,,
2024-03-07 18:22:58,Other,DELAYED START,,,,,,
