Driver,LapNumber,LapTime,Compound
VER,2.0,88.491,SOFT
VER,3.0,125.837,SOFT
VER,5.0,88.171,SOFT
VER,6.0,109.554,SOFT
VER,8.0,88.078,SOFT
VER,9.0,109.937,SOFT
VER,11.0,88.033,SOFT
VER,12.0,115.55,SOFT
VER,14.0,87.472,SOFT
VER,15.0,106.594,SOFT
VER,17.0,87.684,SOFT
VER,18.0,122.162,SOFT
LEC,2.0,89.004,SOFT
LEC,3.0,121.948,SOFT
LEC,4.0,88.668,SOFT
LEC,5.0,117.042,SOFT
LEC,6.0,117.251,SOFT
LEC,7.0,88.318,SOFT
LEC,8.0,124.577,SOFT
LEC,12.0,88.179,SOFT
LEC,13.0,103.979,SOFT
LEC,15.0,88.112,SOFT
LEC,16.0,111.955,SOFT
LEC,18.0,118.606,SOFT
LEC,19.0,88.272,SOFT
LEC,20.0,104.863,SOFT
LEC,22.0,87.791,SOFT
LEC,23.0,119.409,SOFT
PER,2.0,88.761,SOFT
PER,3.0,123.98,SOFT
PER,5.0,88.638,SOFT
PER,6.0,117.447,SOFT
PER,9.0,88.539,SOFT
PER,10.0,120.6,SOFT
PER,12.0,88.467,SOFT
PER,13.0,114.052,SOFT
PER,15.0,87.807,SOFT
PER,16.0,115.062,SOFT
PER,18.0,87.832,SOFT
PER,19.0,132.524,SOFT
RUS,2.0,89.411,MEDIUM
RUS,3.0,104.419,MEDIUM
RUS,5.0,88.749,SOFT
RUS,6.0,125.988,SOFT
RUS,7.0,122.315,SOFT
RUS,8.0,116.844,SOFT
RUS,10.0,88.608,SOFT
RUS,13.0,88.635,SOFT
RUS,14.0,117.071,SOFT
RUS,16.0,88.448,SOFT
RUS,17.0,124.573,SOFT
RUS,19.0,88.316,SOFT
RUS,20.0,117.103,SOFT
RUS,22.0,124.374,SOFT
NOR,2.0,89.241,SOFT
NOR,3.0,115.052,SOFT
NOR,4.0,88.805,SOFT
NOR,5.0,119.68,SOFT
NOR,7.0,98.606,SOFT
NOR,8.0,124.97,SOFT
NOR,10.0,88.643,SOFT
NOR,13.0,88.479,SOFT
NOR,14.0,116.578,SOFT
NOR,15.0,88.582,SOFT
NOR,16.0,112.8,SOFT
NOR,18.0,88.622,SOFT
NOR,19.0,110.666,SOFT
NOR,21.0,88.132,SOFT
NOR,22.0,121.979,SOFT
ALO,2.0,88.876,SOFT
ALO,3.0,115.058,SOFT
ALO,4.0,109.102,SOFT
ALO,5.0,88.706,SOFT
ALO,6.0,116.114,SOFT
ALO,8.0,119.835,SOFT
ALO,10.0,88.122,SOFT
ALO,11.0,114.23,SOFT
ALO,13.0,87.988,SOFT
ALO,14.0,115.264,SOFT
ALO,16.0,87.846,SOFT
ALO,17.0,125.809,SOFT
STR,2.0,89.13,SOFT
STR,3.0,123.598,SOFT
STR,4.0,110.327,SOFT
STR,5.0,96.234,SOFT
STR,7.0,88.25,SOFT
STR,8.0,120.658,SOFT
STR,10.0,88.578,SOFT
STR,11.0,113.044,SOFT
STR,13.0,97.837,SOFT
STR,15.0,88.788,SOFT
STR,16.0,119.722,SOFT
STR,18.0,88.572,SOFT
STR,19.0,121.043,SOFT
PIA,2.0,89.21,SOFT
PIA,3.0,117.018,SOFT
PIA,4.0,88.755,SOFT
PIA,5.0,112.094,SOFT
PIA,7.0,89.458,SOFT
PIA,8.0,119.84,SOFT
PIA,10.0,88.918,SOFT
PIA,13.0,88.483,SOFT
PIA,14.0,110.959,SOFT
PIA,15.0,88.343,SOFT
PIA,16.0,107.215,SOFT
PIA,18.0,88.325,SOFT
PIA,19.0,110.7,SOFT
PIA,21.0,88.089,SOFT
PIA,22.0,117.842,SOFT
HAM,2.0,89.362,MEDIUM
HAM,3.0,102.766,MEDIUM
HAM,5.0,88.994,SOFT
HAM,6.0,120.119,SOFT
HAM,7.0,127.936,SOFT
HAM,8.0,89.156,SOFT
HAM,9.0,119.969,SOFT
HAM,11.0,88.68,SOFT
HAM,14.0,88.946,SOFT
HAM,15.0,102.132,SOFT
HAM,17.0,88.606,SOFT
HAM,18.0,113.101,SOFT
HAM,20.0,88.807,SOFT
HAM,21.0,106.933,SOFT
HAM,23.0,88.46,SOFT
HAM,24.0,128.362,SOFT
BEA,2.0,90.136,SOFT
