Driver,LapNumber,GapTime
VER,0.6666666666666666,0.0
GAS,0.6666666666666666,15.788
PER,0.6666666666666666,1.788
ALO,0.6666666666666666,2.555
LEC,0.6666666666666666,1.2469999999999999
STR,0.6666666666666666,5.922
SAR,0.6666666666666666,9.041
MAG,0.6666666666666666,6.71
TSU,0.6666666666666666,5.922
ALB,0.6666666666666666,7.044
ZHO,0.6666666666666666,9.319
HUL,0.6666666666666666,7.474
RIC,0.6666666666666666,7.9399999999999995
OCO,0.6666666666666666,8.226
BEA,0.6666666666666666,6.515
NOR,0.6666666666666666,4.106
HAM,0.6666666666666666,4.9719999999999995
RUS,0.6666666666666666,4.3870000000000005
BOT,0.6666666666666666,8.6
PIA,0.6666666666666666,2.834
VER,1.0,0.0
GAS,1.0,26.086
PER,1.0,1.826
ALO,1.0,3.058
LEC,1.0,1.227
STR,1.0,7.048
SAR,1.0,9.988
MAG,1.0,7.832
TSU,1.0,7.205
ALB,1.0,8.225
ZHO,1.0,10.49
HUL,1.0,8.406
RIC,1.0,9.059
OCO,1.0,9.059
BEA,1.0,7.275
NOR,1.0,4.57
HAM,1.0,5.48
RUS,1.0,4.983
BOT,1.0,9.375
PIA,1.0,3.248
VER,1.3333333333333333,0.0
PER,1.3333333333333333,2.07
ALO,1.3333333333333333,4.237
LEC,1.3333333333333333,1.216
STR,1.3333333333333333,7.958
SAR,1.3333333333333333,12.548
MAG,1.3333333333333333,10.366
TSU,1.3333333333333333,8.88
ALB,1.3333333333333333,10.67
ZHO,1.3333333333333333,12.897
HUL,1.3333333333333333,11.112
RIC,1.3333333333333333,11.517
OCO,1.3333333333333333,11.895
BEA,1.3333333333333333,10.001
NOR,1.3333333333333333,5.072
HAM,1.3333333333333333,6.807
RUS,1.3333333333333333,5.983
BOT,1.3333333333333333,12.098
PIA,1.3333333333333333,3.456
VER,1.6666666666666665,0.0
PER,1.6666666666666665,2.223
ALO,1.6666666666666665,4.314
LEC,1.6666666666666665,1.191
STR,1.6666666666666665,8.49
SAR,1.6666666666666665,13.642
MAG,1.6666666666666665,10.876
TSU,1.6666666666666665,9.488
ALB,1.6666666666666665,11.216
ZHO,1.6666666666666665,14.215
HUL,1.6666666666666665,11.885
RIC,1.6666666666666665,12.356
OCO,1.6666666666666665,12.926
BEA,1.6666666666666665,10.31
NOR,1.6666666666666665,5.4030000000000005
HAM,1.6666666666666665,6.98
RUS,1.6666666666666665,6.001
BOT,1.6666666666666665,13.15
PIA,1.6666666666666665,3.777
VER,2.0,0.0
PER,2.0,2.03
ALO,2.0,4.531
LEC,2.0,1.153
STR,2.0,8.796
SAR,2.0,14.178
MAG,2.0,10.984
TSU,2.0,9.658
ALB,2.0,11.468
ZHO,2.0,14.622
HUL,2.0,11.904
RIC,2.0,12.647
OCO,2.0,13.183
BEA,2.0,10.297
NOR,2.0,5.478
HAM,2.0,6.781
RUS,2.0,5.882
BOT,2.0,13.594
PIA,2.0,4.088
VER,2.3333333333333335,0.0
PER,2.3333333333333335,2.299
ALO,2.3333333333333335,5.215
LEC,2.3333333333333335,1.474
STR,2.3333333333333335,9.719
SAR,2.3333333333333335,15.974
MAG,2.3333333333333335,12.269
TSU,2.3333333333333335,10.721
ALB,2.3333333333333335,12.677
ZHO,2.3333333333333335,16.392
HUL,2.3333333333333335,13.52
RIC,2.3333333333333335,14.557
OCO,2.3333333333333335,14.973
BEA,2.3333333333333335,11.495
NOR,2.3333333333333335,6.106
HAM,2.3333333333333335,7.871
RUS,2.3333333333333335,7.089
BOT,2.3333333333333335,15.286
PIA,2.3333333333333335,4.144
VER,2.6666666666666665,0.0
PER,2.6666666666666665,2.281
ALO,2.6666666666666665,5.037
LEC,2.6666666666666665,1.709
STR,2.6666666666666665,10.246
SAR,2.6666666666666665,16.694
MAG,2.6666666666666665,12.751
TSU,2.6666666666666665,11.27
ALB,2.6666666666666665,13.085
ZHO,2.6666666666666665,17.327
HUL,2.6666666666666665,14.184
RIC,2.6666666666666665,15.239
OCO,2.6666666666666665,15.779
BEA,2.6666666666666665,11.936
NOR,2.6666666666666665,6.252
HAM,2.6666666666666665,8.068
RUS,2.6666666666666665,7.195
BOT,2.6666666666666665,16.185
PIA,2.6666666666666665,4.249
VER,3.0,0.0
PER,3.0,2.042
ALO,3.0,4.927
LEC,3.0,1.659
STR,3.0,10.543
SAR,3.0,17.006
MAG,3.0,12.791
TSU,3.0,11.318
ALB,3.0,13.411
ZHO,3.0,17.811
HUL,3.0,14.243
RIC,3.0,15.37
OCO,3.0,16.06
BEA,3.0,11.769
NOR,3.0,6.514
HAM,3.0,7.922
RUS,3.0,7.058
BOT,3.0,16.517
PIA,3.0,4.424
VER,3.3333333333333335,0.0
PER,3.3333333333333335,2.377
ALO,3.3333333333333335,5.824
LEC,3.3333333333333335,3.17
STR,3.3333333333333335,11.428
SAR,3.3333333333333335,18.743
MAG,3.3333333333333335,13.912
TSU,3.3333333333333335,12.472
ALB,3.3333333333333335,14.71
ZHO,3.3333333333333335,19.396
HUL,3.3333333333333335,15.613
RIC,3.3333333333333335,16.688
OCO,3.3333333333333335,17.519
BEA,3.3333333333333335,13.215
NOR,3.3333333333333335,7.152
HAM,3.3333333333333335,9.128
RUS,3.3333333333333335,8.164
BOT,3.3333333333333335,18.011
PIA,3.3333333333333335,4.818
VER,3.6666666666666665,0.0
PER,3.6666666666666665,2.406
ALO,3.6666666666666665,5.823
LEC,3.6666666666666665,3.2640000000000002
STR,3.6666666666666665,12.134
SAR,3.6666666666666665,19.493
MAG,3.6666666666666665,14.327
