Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2024-03-23 04:45:13,Other,RISK OF RAIN FOR F1 QUALIFYING SESSION IS 0 %,,,,,,
2024-03-23 04:48:45,Other,DRS ENABLED IN ZONE 2,,,,,,
2024-03-23 05:00:01,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-03-23 05:03:21,Other,CAR 23 (ALB) TIME 1:18.709 DELETED - TRACK LIMITS AT TURN 10 LAP 3 16:02:35,,,,,,
2024-03-23 05:04:37,Other,TURN 13 INCIDENT INVOLVING CARS 11 (PER) AND 27 (HUL) NOTED - IMPEDING,,,,,,
2024-03-23 05:05:40,Other,FIA STEWARDS: TURN 13 INCIDENT INVOLVING CARS 11 (PER) AND 27 (HUL) WILL BE INVESTIGATED AFTER THE SESSION - IMPEDING,,,,,,
2024-03-23 05:11:01,Other,INCIDENT INVOLVING CAR 10 (GAS) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – CROSSING THE LINE AT PIT EXIT,,,,,,
2024-03-23 05:12:14,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 10 (GAS) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – CROSSING THE LINE AT PIT EXIT,,,,,,
2024-03-23 05:18:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2024-03-23 05:18:07,Other,FIRST CAR TO TAKE THE FLAG - CAR 24 (ZHO),,,,,,
2024-03-23 05:18:34,Other,CAR 3 (RIC) TIME 1:17.466 DELETED - TRACK LIMITS AT TURN 5 LAP 6 16:16:44,,,,,,
2024-03-23 05:22:40,Other,"FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 23 (ALB), 20 (MAG), 24 (ZHO), 11 (PER), 31 (OCO) AND 63 (RUS) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2024-03-23 05:23:20,Other,"FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 23 (ALB), 20 (MAG), 24 (ZHO), 11 (PER), 31 (OCO) AND 63 (RUS) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2024-03-23 05:25:01,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-03-23 05:40:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2024-03-23 05:40:08,Other,FIRST CAR TO TAKE THE FLAG - CAR 22 (TSU),,,,,,
2024-03-23 05:48:01,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-03-23 05:51:03,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 9,,,,,,
2024-03-23 05:51:28,CarEvent,CAR 14 (ALO) OFF TRACK AND CONTINUED AT TURN 6,,,,,14,
2024-03-23 05:51:35,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,,
2024-03-23 06:00:01,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2024-03-23 06:00:20,Other,FIRST CAR TO TAKE THE FLAG - CAR 63 (RUS),,,,,,
2024-03-23 06:02:43,Other,"FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 23 (ALB), 20 (MAG), 24 (ZHO), 11 (PER), 31 (OCO) AND 63 (RUS) NO FURTHER ACTION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2024-03-23 06:03:17,Flag,DOUBLE YELLOW IN TRACK SECTOR 7,,DOUBLE YELLOW,Sector,7.0,,
2024-03-23 06:03:29,Flag,YELLOW IN TRACK SECTOR 9,,YELLOW,Sector,9.0,,
2024-03-23 06:03:44,Flag,YELLOW IN TRACK SECTOR 14,,YELLOW,Sector,14.0,,
2024-03-23 06:03:45,Other,DRS DISABLED IN ZONE 1,,,,,,
2024-03-23 06:03:48,Flag,DOUBLE YELLOW IN TRACK SECTOR 6,,DOUBLE YELLOW,Sector,6.0,,
2024-03-23 06:04:02,Flag,YELLOW IN TRACK SECTOR 15,,YELLOW,Sector,15.0,,
2024-03-23 06:04:03,Other,DRS DISABLED IN ZONE 2,,,,,,
2024-03-23 06:04:36,Flag,YELLOW IN TRACK SECTOR 16,,YELLOW,Sector,16.0,,
2024-03-23 06:06:01,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,
2024-03-23 06:06:54,Flag,CLEAR IN TRACK SECTOR 7,,CLEAR,Sector,7.0,,
2024-03-23 06:07:00,Flag,CLEAR IN TRACK SECTOR 16,,CLEAR,Sector,16.0,,
2024-03-23 06:07:41,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,
2024-03-23 06:07:46,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 15,,,,,,
2024-03-23 06:07:49,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,
2024-03-23 06:07:50,Flag,YELLOW IN TRACK SECTOR 15,,YELLOW,Sector,15.0,,
2024-03-23 06:07:55,Flag,CLEAR IN TRACK SECTOR 14,,CLEAR,Sector,14.0,,
2024-03-23 06:08:02,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,
2024-03-23 06:09:39,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,,
