Driver,LapNumber,GapTime
VER,0.6666666666666666,0.0
GAS,0.6666666666666666,6.89
PER,0.6666666666666666,3.321
ALO,0.6666666666666666,5.449
LEC,0.6666666666666666,2.321
STR,0.6666666666666666,3.856
MAG,0.6666666666666666,5.771
TSU,0.6666666666666666,4.263
ALB,0.6666666666666666,5.771
ZHO,0.6666666666666666,10.127
HUL,0.6666666666666666,6.54
RIC,0.6666666666666666,6.901
OCO,0.6666666666666666,6.231
NOR,0.6666666666666666,1.8319999999999999
HAM,0.6666666666666666,4.728
SAI,0.6666666666666666,0.937
RUS,0.6666666666666666,3.225
BOT,0.6666666666666666,5.051
PIA,0.6666666666666666,2.537
VER,1.0,0.0
GAS,1.0,9.79
PER,1.0,5.051
ALO,1.0,6.985
LEC,1.0,3.07
STR,1.0,5.378
MAG,1.0,7.978
TSU,1.0,5.855
ALB,1.0,8.311
ZHO,1.0,11.249
HUL,1.0,9.474
RIC,1.0,10.161
OCO,1.0,8.783
NOR,1.0,2.351
HAM,1.0,6.2
SAI,1.0,0.781
RUS,1.0,4.372
BOT,1.0,7.275
PIA,1.0,3.5789999999999997
VER,1.3333333333333333,0.0
GAS,1.3333333333333333,10.09
PER,1.3333333333333333,4.627
ALO,1.3333333333333333,6.953
LEC,1.3333333333333333,2.145
STR,1.3333333333333333,5.224
MAG,1.3333333333333333,8.229
TSU,1.3333333333333333,5.894
ALB,1.3333333333333333,8.637
ZHO,1.3333333333333333,11.123
HUL,1.3333333333333333,9.803
RIC,1.3333333333333333,10.511
OCO,1.3333333333333333,9.213
NOR,1.3333333333333333,1.4689999999999999
HAM,1.3333333333333333,6.539
SAI,1.3333333333333333,0.271
RUS,1.3333333333333333,3.838
BOT,1.3333333333333333,7.589
PIA,1.3333333333333333,3.148
VER,1.6666666666666665,0.078
GAS,1.6666666666666665,10.034
PER,1.6666666666666665,4.233
ALO,1.6666666666666665,7.075
LEC,1.6666666666666665,1.83
STR,1.6666666666666665,5.044
MAG,1.6666666666666665,7.984
TSU,1.6666666666666665,5.6129999999999995
ALB,1.6666666666666665,8.475
ZHO,1.6666666666666665,10.974
HUL,1.6666666666666665,9.473
RIC,1.6666666666666665,10.321
OCO,1.6666666666666665,9.055
NOR,1.6666666666666665,1.491
HAM,1.6666666666666665,6.27
SAI,1.6666666666666665,0.0
RUS,1.6666666666666665,3.64
BOT,1.6666666666666665,7.612
PIA,1.6666666666666665,3.117
VER,2.0,0.611
GAS,2.0,10.969
PER,2.0,4.773
ALO,2.0,7.782
LEC,2.0,2.5629999999999997
STR,2.0,5.4030000000000005
MAG,2.0,8.756
TSU,2.0,6.127
ALB,2.0,9.287
ZHO,2.0,12.082
HUL,2.0,10.658
RIC,2.0,11.485
OCO,2.0,9.979
NOR,2.0,1.9729999999999999
HAM,2.0,6.758
SAI,2.0,0.0
RUS,2.0,4.25
BOT,2.0,8.12
PIA,2.0,3.314
VER,2.3333333333333335,0.402
GAS,2.3333333333333335,11.346
PER,2.3333333333333335,4.776
ALO,2.3333333333333335,7.645
LEC,2.3333333333333335,2.314
STR,2.3333333333333335,5.416
MAG,2.3333333333333335,9.009
TSU,2.3333333333333335,6.134
ALB,2.3333333333333335,9.592
ZHO,2.3333333333333335,12.546
HUL,2.3333333333333335,10.867
