Driver,LapNumber,LapTime,Compound
VER,2.0,84.099,MEDIUM
VER,3.0,83.115,MEDIUM
GAS,2.0,84.649,MEDIUM
GAS,3.0,83.851,MEDIUM
GAS,4.0,83.7,MEDIUM
GAS,5.0,84.526,MEDIUM
GAS,6.0,83.912,MEDIUM
GAS,7.0,83.445,MEDIUM
GAS,8.0,83.879,MEDIUM
GAS,9.0,83.829,MEDIUM
GAS,10.0,83.856,MEDIUM
GAS,11.0,85.397,MEDIUM
GAS,12.0,84.625,MEDIUM
GAS,13.0,84.049,MEDIUM
GAS,14.0,84.104,MEDIUM
GAS,15.0,84.1,MEDIUM
GAS,16.0,85.367,MEDIUM
GAS,17.0,117.788,MEDIUM
GAS,18.0,89.888,HARD
GAS,19.0,83.922,HARD
GAS,20.0,83.662,HARD
GAS,21.0,83.241,HARD
GAS,22.0,83.045,HARD
GAS,23.0,82.929,HARD
GAS,24.0,83.001,HARD
GAS,25.0,82.933,HARD
GAS,26.0,83.015,HARD
GAS,27.0,82.904,HARD
GAS,28.0,82.674,HARD
GAS,29.0,82.708,HARD
GAS,30.0,82.99,HARD
GAS,31.0,82.727,HARD
GAS,32.0,83.245,HARD
GAS,33.0,83.215,HARD
GAS,34.0,83.036,HARD
GAS,35.0,83.225,HARD
GAS,36.0,82.84,HARD
GAS,37.0,83.326,HARD
GAS,38.0,85.109,HARD
GAS,39.0,83.016,HARD
GAS,40.0,85.02,HARD
GAS,41.0,104.594,HARD
GAS,42.0,88.171,HARD
GAS,43.0,84.419,HARD
GAS,44.0,81.447,HARD
GAS,45.0,82.079,HARD
GAS,46.0,81.22,HARD
GAS,47.0,81.275,HARD
GAS,48.0,81.211,HARD
GAS,49.0,81.34,HARD
GAS,50.0,81.222,HARD
GAS,51.0,81.09,HARD
GAS,52.0,81.161,HARD
GAS,53.0,81.324,HARD
GAS,54.0,83.034,HARD
GAS,55.0,81.427,HARD
GAS,56.0,86.911,HARD
GAS,57.0,120.819,HARD
PER,2.0,83.381,MEDIUM
PER,3.0,83.165,MEDIUM
PER,4.0,83.398,MEDIUM
PER,5.0,83.364,MEDIUM
PER,6.0,83.024,MEDIUM
PER,7.0,82.804,MEDIUM
PER,8.0,83.048,MEDIUM
PER,9.0,82.97,MEDIUM
PER,10.0,82.68,MEDIUM
PER,11.0,82.921,MEDIUM
PER,12.0,83.704,MEDIUM
PER,13.0,83.664,MEDIUM
PER,14.0,98.693,MEDIUM
PER,15.0,87.909,HARD
PER,16.0,84.122,HARD
PER,17.0,103.836,HARD
PER,18.0,84.269,HARD
PER,19.0,81.84,HARD
PER,20.0,81.711,HARD
PER,21.0,82.051,HARD
PER,22.0,81.869,HARD
PER,23.0,81.849,HARD
PER,24.0,81.527,HARD
PER,25.0,81.495,HARD
PER,26.0,82.246,HARD
PER,27.0,81.557,HARD
PER,28.0,82.152,HARD
PER,29.0,82.126,HARD
PER,30.0,82.18,HARD
PER,31.0,82.359,HARD
PER,32.0,82.441,HARD
PER,33.0,82.566,HARD
PER,34.0,82.962,HARD
PER,35.0,99.44,HARD
PER,36.0,87.672,HARD
PER,37.0,81.218,HARD
PER,38.0,81.245,HARD
PER,39.0,81.448,HARD
