Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2024-04-06 06:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-04-06 06:05:52,Other,INCIDENT INVOLVING CARS 63 (RUS) AND 81 (PIA) NOTED - UNSAFE RELEASE,,,,,,
2024-04-06 06:06:01,Other,FIA STEWARDS: INCIDENT INVOLVING CARS 63 (RUS) AND 81 (PIA) WILL BE INVESTIGATED AFTER THE SESSION - UNSAFE RELEASE,,,,,,
2024-04-06 06:18:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2024-04-06 06:18:16,Other,FIRST CAR TO TAKE THE FLAG - CAR 20 (MAG),,,,,,
2024-04-06 06:21:22,Other,FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 23 (ALB) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,,,,,,
2024-04-06 06:21:35,Other,FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 23 (ALB) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,,,,,,
2024-04-06 06:25:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-04-06 06:32:16,Other,CAR 27 (HUL) TIME 1:30.658 DELETED - TRACK LIMITS AT TURN 13 LAP 9 15:29:31,,,,,,
2024-04-06 06:40:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2024-04-06 06:40:18,Other,FIRST CAR TO TAKE THE FLAG - CAR 31 (OCO),,,,,,
2024-04-06 06:48:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-04-06 07:00:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2024-04-06 07:00:17,Other,FIRST CAR TO TAKE THE FLAG - CAR 22 (TSU),,,,,,
2024-04-06 07:03:22,Other,FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 23 (ALB) NO FURTHER ACTION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,,,,,,
