Driver,LapNumber,LapTime,Compound
VER,4.0,96.472,MEDIUM
VER,5.0,96.437,MEDIUM
VER,6.0,96.855,MEDIUM
VER,7.0,96.97,MEDIUM
VER,8.0,97.329,MEDIUM
VER,9.0,97.178,MEDIUM
VER,10.0,97.59,MEDIUM
VER,11.0,97.774,MEDIUM
VER,12.0,97.753,MEDIUM
VER,13.0,97.727,MEDIUM
VER,14.0,97.91,MEDIUM
VER,15.0,97.854,MEDIUM
VER,16.0,100.272,MEDIUM
VER,17.0,116.478,MEDIUM
VER,18.0,96.822,MEDIUM
VER,19.0,96.252,MEDIUM
VER,20.0,96.402,MEDIUM
VER,21.0,95.617,MEDIUM
VER,22.0,96.384,MEDIUM
VER,23.0,96.205,MEDIUM
VER,24.0,96.532,MEDIUM
VER,25.0,96.337,MEDIUM
VER,26.0,96.437,MEDIUM
VER,27.0,96.654,MEDIUM
VER,28.0,96.496,MEDIUM
VER,29.0,96.655,MEDIUM
VER,30.0,96.849,MEDIUM
VER,31.0,96.761,MEDIUM
VER,32.0,96.92,MEDIUM
VER,33.0,97.048,MEDIUM
VER,34.0,99.226,MEDIUM
VER,35.0,115.503,HARD
VER,36.0,94.619,HARD
VER,37.0,94.97,HARD
VER,38.0,94.986,HARD
VER,39.0,94.494,HARD
VER,40.0,94.343,HARD
VER,41.0,94.273,HARD
VER,42.0,94.965,HARD
VER,43.0,94.303,HARD
VER,44.0,94.455,HARD
VER,45.0,94.606,HARD
VER,46.0,94.61,HARD
VER,47.0,95.113,HARD
VER,48.0,95.75,HARD
VER,49.0,94.885,HARD
VER,50.0,93.706,HARD
VER,51.0,94.768,HARD
VER,52.0,94.97,HARD
VER,53.0,95.263,HARD
PER,4.0,96.573,MEDIUM
PER,5.0,96.568,MEDIUM
PER,6.0,97.693,MEDIUM
PER,7.0,97.308,MEDIUM
PER,8.0,97.22,MEDIUM
PER,9.0,97.838,MEDIUM
PER,10.0,97.926,MEDIUM
