Driver,LapNumber,LapTime,Compound
VER,2.0,100.103,MEDIUM
VER,3.0,100.494,MEDIUM
VER,4.0,100.573,MEDIUM
VER,5.0,100.919,MEDIUM
VER,6.0,101.147,MEDIUM
VER,7.0,101.118,MEDIUM
VER,8.0,101.11,MEDIUM
VER,9.0,101.155,MEDIUM
VER,10.0,101.424,MEDIUM
VER,11.0,101.401,MEDIUM
VER,12.0,101.318,MEDIUM
VER,13.0,106.526,MEDIUM
VER,14.0,119.074,HARD
VER,15.0,99.591,HARD
VER,16.0,99.985,HARD
VER,17.0,99.519,HARD
VER,18.0,100.07,HARD
VER,19.0,100.139,HARD
VER,20.0,100.081,HARD
VER,21.0,100.49,HARD
VER,22.0,134.296,HARD
VER,23.0,137.938,HARD
VER,25.0,145.05,HARD
VER,27.0,107.123,HARD
VER,29.0,146.57,HARD
VER,30.0,140.118,HARD
VER,31.0,148.77,HARD
VER,32.0,98.604,HARD
VER,33.0,98.406,HARD
VER,34.0,98.426,HARD
VER,35.0,98.765,HARD
VER,36.0,98.825,HARD
VER,37.0,98.801,HARD
VER,38.0,98.855,HARD
VER,39.0,98.742,HARD
VER,40.0,98.956,HARD
VER,41.0,99.067,HARD
VER,42.0,99.227,HARD
VER,43.0,99.224,HARD
VER,44.0,99.305,HARD
VER,45.0,99.216,HARD
VER,46.0,99.433,HARD
VER,47.0,99.422,HARD
VER,48.0,99.325,HARD
VER,49.0,99.35,HARD
VER,50.0,99.445,HARD
VER,51.0,99.276,HARD
VER,52.0,99.694,HARD
VER,53.0,99.654,HARD
VER,54.0,99.773,HARD
VER,55.0,99.805,HARD
VER,56.0,100.253,HARD
GAS,2.0,103.179,MEDIUM
GAS,3.0,103.012,MEDIUM
GAS,4.0,102.847,MEDIUM
GAS,5.0,103.552,MEDIUM
GAS,6.0,103.494,MEDIUM
GAS,7.0,103.352,MEDIUM
GAS,8.0,103.871,MEDIUM
GAS,9.0,103.691,MEDIUM
GAS,10.0,103.435,MEDIUM
GAS,11.0,108.722,MEDIUM
GAS,12.0,137.655,HARD
GAS,13.0,101.071,HARD
GAS,14.0,101.893,HARD
GAS,15.0,101.679,HARD
GAS,16.0,102.107,HARD
GAS,17.0,101.956,HARD
GAS,18.0,101.812,HARD
GAS,19.0,102.136,HARD
GAS,20.0,102.229,HARD
GAS,21.0,123.25,HARD
GAS,22.0,134.094,HARD
GAS,23.0,138.481,HARD
GAS,24.0,149.898,HARD
GAS,25.0,109.465,HARD
GAS,26.0,132.45,HARD
GAS,27.0,118.826,HARD
GAS,28.0,146.862,HARD
GAS,29.0,146.365,HARD
GAS,30.0,140.888,HARD
GAS,31.0,139.27,HARD
GAS,32.0,101.886,HARD
GAS,33.0,102.047,HARD
GAS,34.0,101.522,HARD
GAS,35.0,101.078,HARD
GAS,36.0,101.311,HARD
GAS,37.0,101.071,HARD
GAS,38.0,106.348,HARD
GAS,39.0,118.239,MEDIUM
GAS,40.0,99.198,MEDIUM
GAS,41.0,99.758,MEDIUM
GAS,42.0,100.024,MEDIUM
GAS,43.0,100.029,MEDIUM
GAS,44.0,99.906,MEDIUM
GAS,45.0,100.065,MEDIUM
GAS,46.0,100.25,MEDIUM
GAS,47.0,100.397,MEDIUM
GAS,48.0,101.551,MEDIUM
GAS,49.0,100.305,MEDIUM
GAS,50.0,100.138,MEDIUM
GAS,51.0,100.497,MEDIUM
GAS,52.0,101.052,MEDIUM
GAS,53.0,101.373,MEDIUM
GAS,54.0,100.727,MEDIUM
GAS,55.0,100.737,MEDIUM
GAS,56.0,100.819,MEDIUM
PER,2.0,100.881,MEDIUM
PER,3.0,100.973,MEDIUM
PER,4.0,101.604,MEDIUM
PER,5.0,101.625,MEDIUM
PER,6.0,101.656,MEDIUM
PER,7.0,101.583,MEDIUM
PER,8.0,101.713,MEDIUM
PER,9.0,101.768,MEDIUM
PER,10.0,101.84,MEDIUM
PER,11.0,101.767,MEDIUM
PER,12.0,102.266,MEDIUM
PER,13.0,106.866,MEDIUM
PER,14.0,118.255,HARD
PER,15.0,100.038,HARD
PER,16.0,100.556,HARD
PER,17.0,102.103,HARD
PER,18.0,100.199,HARD
PER,19.0,100.313,HARD
PER,20.0,100.522,HARD
PER,21.0,107.126,HARD
PER,22.0,133.674,HARD
PER,23.0,137.492,HARD
PER,25.0,144.356,HARD
PER,27.0,109.072,HARD
PER,29.0,145.947,HARD
PER,30.0,141.644,HARD
PER,31.0,145.856,HARD
PER,32.0,99.731,HARD
PER,33.0,99.388,HARD
PER,34.0,99.512,HARD
PER,35.0,99.698,HARD
PER,36.0,99.68,HARD
PER,37.0,100.005,HARD
PER,38.0,100.068,HARD
PER,39.0,99.409,HARD
PER,40.0,99.687,HARD
PER,41.0,99.599,HARD
PER,42.0,99.521,HARD
PER,43.0,99.607,HARD
PER,44.0,99.722,HARD
PER,45.0,99.849,HARD
PER,46.0,99.966,HARD
PER,47.0,99.955,HARD
PER,48.0,99.961,HARD
PER,49.0,99.903,HARD
PER,50.0,100.052,HARD
PER,51.0,99.906,HARD
PER,52.0,100.123,HARD
PER,53.0,100.196,HARD
PER,54.0,100.228,HARD
PER,55.0,100.593,HARD
PER,56.0,100.65,HARD
ALO,2.0,101.128,MEDIUM
ALO,3.0,100.988,MEDIUM
ALO,4.0,101.579,MEDIUM
ALO,5.0,103.06,MEDIUM
ALO,6.0,102.363,MEDIUM
ALO,7.0,103.817,MEDIUM
ALO,8.0,103.132,MEDIUM
ALO,9.0,102.946,MEDIUM
ALO,10.0,103.083,MEDIUM
ALO,11.0,108.048,MEDIUM
ALO,12.0,120.05,HARD
ALO,13.0,102.256,HARD
ALO,14.0,100.944,HARD
ALO,15.0,100.983,HARD
ALO,16.0,101.274,HARD
ALO,17.0,101.251,HARD
ALO,18.0,101.229,HARD
ALO,19.0,101.459,HARD
ALO,20.0,101.64,HARD
ALO,21.0,110.904,HARD
ALO,22.0,133.864,HARD
ALO,23.0,137.153,HARD
ALO,24.0,148.542,SOFT
ALO,25.0,135.201,SOFT
ALO,27.0,110.392,SOFT
ALO,29.0,145.818,SOFT
ALO,30.0,142.1,SOFT
ALO,31.0,144.857,SOFT
ALO,32.0,100.19,SOFT
ALO,33.0,99.48,SOFT
ALO,34.0,99.452,SOFT
