Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2024-04-19 07:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-04-19 07:42:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2024-04-19 07:42:23,Other,FIRST CAR TO TAKE THE FLAG - CAR 23 (ALB),,,,,,
2024-04-19 07:44:15,Flag,YELLOW IN TRACK SECTOR 8,,YELLOW,Sector,8.0,,
2024-04-19 07:44:30,Flag,DOUBLE YELLOW IN TRACK SECTOR 6,,DOUBLE YELLOW,Sector,6.0,,
2024-04-19 07:44:33,Flag,DOUBLE YELLOW IN TRACK SECTOR 8,,DOUBLE YELLOW,Sector,8.0,,
2024-04-19 07:44:40,Flag,DOUBLE YELLOW IN TRACK SECTOR 7,,DOUBLE YELLOW,Sector,7.0,,
2024-04-19 07:44:42,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,
2024-04-19 07:45:34,Other,START OF SQ2 WILL BE DELAYED,,,,,,
2024-04-19 07:46:01,Flag,CLEAR IN TRACK SECTOR 7,,CLEAR,Sector,7.0,,
2024-04-19 07:46:02,Flag,YELLOW IN TRACK SECTOR 8,,YELLOW,Sector,8.0,,
2024-04-19 07:46:09,Other,"FIA STEWARDS: SQ1 INCIDENT INVOLVING CARS 55 (SAI), 18 (STR), 22 (TSU), 63 (RUS), 44 (HAM) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2024-04-19 07:46:25,Other,"FIA STEWARDS: SQ1 INCIDENT INVOLVING CARS 55 (SAI), 18 (STR), 22 (TSU), 63 (RUS), 44 (HAM) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2024-04-19 07:49:48,Other,SQ2 WILL START AT 15:54,,,,,,
2024-04-19 07:50:17,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,
2024-04-19 07:54:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-04-19 07:57:25,Other,CAR 27 (HUL) TIME 12:06.908 DELETED - TRACK LIMITS AT TURN 6 LAP 8 15:55:29,,,,,,
2024-04-19 08:01:28,Other,WET TRACK,,,,,,
2024-04-19 08:01:32,Other,CHANGE IN CLIMATIC CONDITIONS,,,,,,
2024-04-19 08:01:45,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 17,,,,,,
2024-04-19 08:01:51,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 19,,,,,,
2024-04-19 08:01:57,Flag,CLEAR IN TRACK SECTOR 17,,CLEAR,Sector,17.0,,
2024-04-19 08:02:02,Flag,CLEAR IN TRACK SECTOR 19,,CLEAR,Sector,19.0,,
2024-04-19 08:02:03,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 6,,,,,,
2024-04-19 08:02:12,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 5,,,,,,
2024-04-19 08:02:15,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 17,,,,,,
2024-04-19 08:02:16,Flag,YELLOW IN TRACK SECTOR 13,,YELLOW,Sector,13.0,,
2024-04-19 08:02:17,Flag,CLEAR IN TRACK SECTOR 13,,CLEAR,Sector,13.0,,
2024-04-19 08:02:33,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,,
2024-04-19 08:02:36,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,
2024-04-19 08:02:38,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 6,,,,,,
2024-04-19 08:02:39,Flag,CLEAR IN TRACK SECTOR 17,,CLEAR,Sector,17.0,,
2024-04-19 08:02:49,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,
2024-04-19 08:03:00,Other,LOW GRIP CONDITIONS,,,,,,
2024-04-19 08:04:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2024-04-19 08:04:38,Other,"FIA STEWARDS: SQ2 INCIDENT INVOLVING CARS 20 (MAG), 27 (HUL) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2024-04-19 08:04:48,Other,"FIA STEWARDS: SQ2 INCIDENT INVOLVING CARS 20 (MAG), 27 (HUL) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2024-04-19 08:05:31,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 20,,,,,,
2024-04-19 08:07:42,Other,SQ3 WILL START AT 16:11,,,,,,
2024-04-19 08:07:45,Flag,CLEAR IN TRACK SECTOR 20,,CLEAR,Sector,20.0,,
2024-04-19 08:08:59,Drs,DRS DISABLED,DISABLED,,,,,
2024-04-19 08:11:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
