Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2024-04-20 02:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
2024-04-20 02:35:00,Other,PIT EXIT CLOSED,,,,,,1
2024-04-20 02:45:11,Other,RISK OF RAIN FOR F1 SPRINT IS 0%,,,,,,1
2024-04-20 02:57:03,Drs,DRS DISABLED,DISABLED,,,,,1
2024-04-20 03:04:03,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
2024-04-20 03:05:56,Drs,DRS ENABLED,ENABLED,,,,,2
2024-04-20 03:07:12,Other,TURN 9 INCIDENT INVOLVING CARS 27 (HUL) AND 18 (STR) NOTED - FORCING ANOTHER DRIVER OFF THE TRACK,,,,,,2
2024-04-20 03:07:24,Other,CAR 18 (STR) LAP DELETED - TRACK LIMITS AT TURN 9 LAP 1 11:05:01,,,,,,2
2024-04-20 03:09:56,Other,TURN 6 INCIDENT INVOLVING CARS 24 (ZHO) AND 77 (BOT) NOTED - LEAVING THE TRACK AND GAINING AN ADVANTAGE,,,,,,4
2024-04-20 03:11:14,Other,FIA STEWARDS: TURN 9 INCIDENT INVOLVING CARS 27 (HUL) AND 18 (STR) REVIEWED NO FURTHER INVESTIGATION - FORCING ANOTHER DRIVER OFF THE TRACK,,,,,,5
2024-04-20 03:13:55,Other,FIA STEWARDS: TURN 6 INCIDENT INVOLVING CARS 24 (ZHO) AND 77 (BOT) REVIEWED NO FURTHER INVESTIGATION - LEAVING THE TRACK AND GAINING AN ADVANTAGE,,,,,,6
2024-04-20 03:19:29,Other,CAR 18 (STR) TIME 1:43.430 DELETED - TRACK LIMITS AT TURN 14 LAP 8 11:17:40,,,,,,10
2024-04-20 03:31:59,Other,CAR 3 (RIC) TIME 1:43.517 DELETED - TRACK LIMITS AT TURN 14 LAP 15 11:29:39,,,,,,17
2024-04-20 03:32:44,Other,TURN 7 INCIDENT INVOLVING CARS 14 (ALO) AND 55 (SAI) NOTED,,,,,,17
2024-04-20 03:34:43,Other,TURN 14 INCIDENT INVOLVING CARS 55 (SAI) AND 16 (LEC) NOTED,,,,,,19
2024-04-20 03:34:46,Other,CAR 16 (LEC) TIME 1:44.448 DELETED - TRACK LIMITS AT TURN 14 LAP 16 11:31:08,,,,,,19
2024-04-20 03:36:07,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,19
2024-04-20 03:42:34,Other,FIA STEWARDS: TURN 7 INCIDENT INVOLVING CARS 14 (ALO) AND 55 (SAI) WILL BE INVESTIGATED AFTER THE SPRINT,,,,,,19
2024-04-20 03:44:57,Other,FIA STEWARDS: TURN 14 INCIDENT INVOLVING CARS 55 (SAI) AND 16 (LEC) REVIEWED NO FURTHER INVESTIGATION,,,,,,19
