Driver,LapNumber,LapTime,Compound
VER,2.0,88.023,SOFT
VER,5.0,87.689,SOFT
VER,6.0,119.875,SOFT
VER,8.0,87.972,SOFT
VER,9.0,103.537,SOFT
VER,11.0,87.566,SOFT
VER,12.0,110.093,SOFT
VER,14.0,87.241,SOFT
VER,15.0,105.978,SOFT
VER,17.0,87.43,SOFT
LEC,2.0,88.183,SOFT
LEC,3.0,105.898,SOFT
LEC,5.0,88.097,SOFT
LEC,6.0,123.963,SOFT
LEC,7.0,134.392,SOFT
LEC,8.0,88.081,SOFT
LEC,9.0,127.771,SOFT
LEC,11.0,87.533,SOFT
LEC,12.0,112.571,SOFT
LEC,14.0,87.88,SOFT
LEC,15.0,115.414,SOFT
LEC,17.0,87.382,SOFT
LEC,18.0,109.632,SOFT
LEC,20.0,87.799,SOFT
SAI,2.0,88.159,SOFT
SAI,3.0,109.954,SOFT
SAI,5.0,87.937,SOFT
SAI,8.0,88.168,SOFT
SAI,9.0,122.677,SOFT
SAI,11.0,87.941,SOFT
SAI,12.0,114.046,SOFT
SAI,14.0,88.321,SOFT
SAI,15.0,121.826,SOFT
SAI,17.0,87.455,SOFT
SAI,18.0,112.518,SOFT
SAI,20.0,87.786,SOFT
PER,2.0,88.288,SOFT
PER,3.0,117.199,SOFT
PER,5.0,87.772,SOFT
PER,6.0,115.734,SOFT
PER,8.0,88.239,SOFT
PER,9.0,119.255,SOFT
PER,11.0,87.839,SOFT
PER,12.0,116.892,SOFT
PER,14.0,87.754,SOFT
PER,15.0,114.214,SOFT
PER,17.0,87.46,SOFT
NOR,2.0,88.624,SOFT
NOR,3.0,109.755,SOFT
NOR,5.0,88.017,SOFT
NOR,6.0,117.432,SOFT
NOR,7.0,119.714,SOFT
NOR,8.0,87.913,SOFT
NOR,9.0,116.795,SOFT
NOR,11.0,87.871,SOFT
NOR,12.0,116.36,SOFT
NOR,14.0,88.057,MEDIUM
NOR,15.0,108.821,MEDIUM
NOR,17.0,87.822,MEDIUM
NOR,18.0,113.742,MEDIUM
NOR,20.0,87.594,SOFT
PIA,2.0,88.569,SOFT
PIA,4.0,146.813,SOFT
PIA,5.0,88.032,SOFT
PIA,6.0,119.135,SOFT
PIA,8.0,119.647,SOFT
PIA,10.0,87.721,SOFT
PIA,11.0,120.36,SOFT
PIA,13.0,112.28,SOFT
PIA,15.0,87.675,SOFT
PIA,16.0,112.581,SOFT
PIA,18.0,87.752,SOFT
RUS,2.0,88.567,SOFT
RUS,3.0,102.677,SOFT
RUS,5.0,88.391,SOFT
RUS,6.0,110.399,SOFT
RUS,8.0,88.159,SOFT
RUS,9.0,125.913,SOFT
RUS,11.0,88.285,SOFT
RUS,12.0,116.795,SOFT
RUS,14.0,88.095,SOFT
RUS,15.0,121.709,SOFT
RUS,17.0,88.067,SOFT
RUS,18.0,118.16,SOFT
RUS,20.0,88.096,MEDIUM
HAM,2.0,88.817,SOFT
HAM,3.0,111.335,SOFT
HAM,5.0,88.167,SOFT
HAM,6.0,108.016,SOFT
