Driver,LapNumber,LapTime,Compound
VER,2.0,93.093,MEDIUM
VER,3.0,93.137,MEDIUM
VER,4.0,93.504,MEDIUM
VER,5.0,92.834,MEDIUM
VER,6.0,92.939,MEDIUM
VER,7.0,92.895,MEDIUM
VER,8.0,92.838,MEDIUM
VER,9.0,93.289,MEDIUM
VER,10.0,93.267,MEDIUM
VER,11.0,93.501,MEDIUM
VER,12.0,93.097,MEDIUM
VER,13.0,93.129,MEDIUM
VER,14.0,92.918,MEDIUM
VER,15.0,92.807,MEDIUM
VER,16.0,92.749,MEDIUM
VER,17.0,92.92,MEDIUM
VER,18.0,93.022,MEDIUM
VER,19.0,92.668,MEDIUM
VER,20.0,92.53,MEDIUM
VER,21.0,92.926,MEDIUM
VER,22.0,92.906,MEDIUM
VER,23.0,111.938,MEDIUM
VER,24.0,107.087,HARD
VER,25.0,92.298,HARD
VER,26.0,92.41,HARD
VER,27.0,92.515,HARD
VER,28.0,99.376,HARD
VER,29.0,146.519,HARD
VER,30.0,124.42,HARD
VER,31.0,101.077,HARD
VER,33.0,92.227,HARD
VER,34.0,91.611,HARD
VER,35.0,91.409,HARD
VER,36.0,91.456,HARD
VER,37.0,91.377,HARD
VER,38.0,91.526,HARD
VER,39.0,91.336,HARD
VER,40.0,91.487,HARD
VER,41.0,91.375,HARD
VER,42.0,91.455,HARD
VER,43.0,91.435,HARD
VER,44.0,91.452,HARD
VER,45.0,91.537,HARD
VER,46.0,91.788,HARD
VER,47.0,91.513,HARD
VER,48.0,91.261,HARD
VER,49.0,91.597,HARD
VER,50.0,91.338,HARD
VER,51.0,91.284,HARD
VER,52.0,91.428,HARD
VER,53.0,91.473,HARD
VER,54.0,91.546,HARD
VER,55.0,91.408,HARD
VER,56.0,91.49,HARD
VER,57.0,91.699,HARD
GAS,2.0,94.498,MEDIUM
GAS,3.0,93.789,MEDIUM
GAS,4.0,94.155,MEDIUM
GAS,5.0,94.19,MEDIUM
GAS,6.0,94.004,MEDIUM
GAS,7.0,94.291,MEDIUM
GAS,8.0,93.804,MEDIUM
GAS,9.0,93.953,MEDIUM
GAS,10.0,94.731,MEDIUM
GAS,11.0,94.743,MEDIUM
GAS,12.0,99.216,MEDIUM
GAS,13.0,108.014,HARD
GAS,14.0,93.375,HARD
GAS,15.0,92.994,HARD
GAS,16.0,93.554,HARD
GAS,17.0,93.53,HARD
GAS,18.0,93.807,HARD
GAS,19.0,93.174,HARD
GAS,20.0,93.639,HARD
GAS,21.0,93.691,HARD
GAS,22.0,101.221,HARD
GAS,23.0,101.202,HARD
GAS,24.0,93.983,HARD
GAS,25.0,93.969,HARD
GAS,26.0,94.44,HARD
GAS,27.0,93.614,HARD
GAS,28.0,111.06,HARD
GAS,29.0,129.131,HARD
GAS,30.0,115.163,HARD
GAS,31.0,109.074,HARD
GAS,32.0,130.975,HARD
GAS,33.0,94.561,HARD
GAS,34.0,93.201,HARD
GAS,35.0,92.863,HARD
GAS,36.0,92.878,HARD
GAS,37.0,92.785,HARD
GAS,38.0,92.989,HARD
GAS,39.0,93.007,HARD
GAS,40.0,92.786,HARD
GAS,41.0,93.001,HARD
GAS,42.0,92.627,HARD
GAS,43.0,92.504,HARD
GAS,44.0,92.855,HARD
GAS,45.0,92.981,HARD
GAS,46.0,94.341,HARD
GAS,47.0,92.767,HARD
GAS,48.0,92.628,HARD
GAS,49.0,92.72,HARD
GAS,50.0,92.492,HARD
GAS,51.0,92.522,HARD
GAS,52.0,92.643,HARD
GAS,53.0,92.256,HARD
GAS,54.0,92.285,HARD
GAS,55.0,92.326,HARD
GAS,56.0,92.055,HARD
GAS,57.0,92.42,HARD
PER,2.0,93.181,MEDIUM
PER,3.0,93.521,MEDIUM
PER,4.0,93.425,MEDIUM
PER,5.0,93.318,MEDIUM
PER,6.0,93.198,MEDIUM
PER,7.0,93.175,MEDIUM
PER,8.0,93.147,MEDIUM
PER,9.0,93.49,MEDIUM
PER,10.0,93.579,MEDIUM
PER,11.0,93.532,MEDIUM
PER,12.0,93.755,MEDIUM
PER,13.0,93.971,MEDIUM
PER,14.0,93.832,MEDIUM
PER,15.0,93.337,MEDIUM
PER,16.0,93.174,MEDIUM
PER,17.0,98.985,MEDIUM
PER,18.0,106.549,HARD
PER,19.0,93.159,HARD
PER,20.0,93.069,HARD
PER,21.0,92.753,HARD
PER,22.0,92.852,HARD
PER,23.0,107.989,HARD
PER,24.0,92.386,HARD
PER,25.0,92.763,HARD
PER,26.0,92.512,HARD
PER,27.0,92.161,HARD
PER,28.0,107.036,HARD
PER,29.0,138.07,MEDIUM
PER,30.0,120.593,MEDIUM
PER,31.0,102.695,MEDIUM
PER,32.0,147.689,MEDIUM
PER,33.0,93.589,MEDIUM
PER,34.0,92.188,MEDIUM
PER,35.0,91.589,MEDIUM
PER,36.0,92.184,MEDIUM
PER,37.0,92.553,MEDIUM
PER,38.0,91.664,MEDIUM
PER,39.0,92.195,MEDIUM
PER,40.0,92.645,MEDIUM
PER,41.0,92.137,MEDIUM
PER,42.0,91.513,MEDIUM
PER,43.0,91.405,MEDIUM
PER,44.0,91.509,MEDIUM
PER,45.0,91.532,MEDIUM
PER,46.0,91.681,MEDIUM
PER,47.0,91.369,MEDIUM
PER,48.0,91.549,MEDIUM
PER,49.0,91.396,MEDIUM
PER,50.0,91.735,MEDIUM
PER,51.0,91.519,MEDIUM
PER,52.0,91.53,MEDIUM
PER,53.0,91.316,MEDIUM
PER,54.0,91.178,MEDIUM
PER,55.0,90.855,MEDIUM
PER,56.0,91.294,MEDIUM
PER,57.0,91.223,MEDIUM
ALO,2.0,95.579,HARD
ALO,3.0,94.003,HARD
ALO,4.0,94.022,HARD
ALO,5.0,94.018,HARD
ALO,6.0,94.06,HARD
ALO,7.0,94.605,HARD
ALO,8.0,93.751,HARD
ALO,9.0,94.006,HARD
ALO,10.0,94.619,HARD
ALO,11.0,95.199,HARD
ALO,12.0,95.193,HARD
ALO,13.0,94.657,HARD
ALO,14.0,94.618,HARD
ALO,15.0,94.35,HARD
ALO,16.0,94.208,HARD
ALO,17.0,94.26,HARD
ALO,18.0,94.157,HARD
ALO,19.0,94.049,HARD
ALO,20.0,94.23,HARD
ALO,21.0,94.258,HARD
ALO,22.0,102.401,HARD
ALO,23.0,109.315,MEDIUM
ALO,24.0,93.447,MEDIUM
ALO,25.0,93.648,MEDIUM
ALO,26.0,93.462,MEDIUM
ALO,27.0,93.183,MEDIUM
ALO,28.0,110.113,MEDIUM
ALO,29.0,128.086,MEDIUM
ALO,30.0,118.134,MEDIUM
ALO,31.0,109.088,MEDIUM
ALO,32.0,131.634,MEDIUM
ALO,33.0,94.9,MEDIUM
ALO,34.0,93.068,MEDIUM
ALO,35.0,92.671,MEDIUM
ALO,36.0,92.311,MEDIUM
ALO,37.0,92.406,MEDIUM
ALO,38.0,92.221,MEDIUM
ALO,39.0,92.66,MEDIUM
ALO,40.0,92.482,MEDIUM
ALO,41.0,92.867,MEDIUM
ALO,42.0,92.18,MEDIUM
ALO,43.0,92.229,MEDIUM
ALO,44.0,92.264,MEDIUM
ALO,45.0,93.052,MEDIUM
ALO,46.0,93.592,MEDIUM
ALO,47.0,93.12,MEDIUM
ALO,48.0,93.044,MEDIUM
ALO,49.0,92.303,MEDIUM
ALO,50.0,92.07,MEDIUM
ALO,51.0,91.997,MEDIUM
ALO,52.0,91.885,MEDIUM
ALO,53.0,92.157,MEDIUM
ALO,54.0,91.733,MEDIUM
ALO,55.0,91.727,MEDIUM
ALO,56.0,92.131,MEDIUM
ALO,57.0,92.536,MEDIUM
LEC,2.0,93.317,MEDIUM
LEC,3.0,93.31,MEDIUM
LEC,4.0,93.774,MEDIUM
LEC,5.0,93.809,MEDIUM
LEC,6.0,92.94,MEDIUM
LEC,7.0,93.278,MEDIUM
LEC,8.0,93.113,MEDIUM
LEC,9.0,93.152,MEDIUM
LEC,10.0,93.478,MEDIUM
LEC,11.0,93.171,MEDIUM
LEC,12.0,93.123,MEDIUM
LEC,13.0,93.327,MEDIUM
LEC,14.0,92.965,MEDIUM
LEC,15.0,92.689,MEDIUM
LEC,16.0,93.026,MEDIUM
LEC,17.0,93.068,MEDIUM
LEC,18.0,92.829,MEDIUM
LEC,19.0,98.239,MEDIUM
LEC,20.0,106.412,HARD
LEC,21.0,92.113,HARD
LEC,22.0,92.641,HARD
LEC,23.0,107.724,HARD
LEC,24.0,92.395,HARD
LEC,25.0,92.279,HARD
LEC,26.0,92.392,HARD
LEC,27.0,92.057,HARD
LEC,28.0,98.903,HARD
LEC,29.0,145.594,HARD
LEC,30.0,125.271,HARD
LEC,31.0,102.14,HARD
LEC,33.0,92.787,HARD
LEC,34.0,91.499,HARD
LEC,35.0,91.449,HARD
LEC,36.0,91.864,HARD
LEC,37.0,91.841,HARD
LEC,38.0,91.753,HARD
LEC,39.0,91.561,HARD
LEC,40.0,91.652,HARD
LEC,41.0,91.346,HARD
LEC,42.0,91.5,HARD
LEC,43.0,91.632,HARD
LEC,44.0,91.554,HARD
LEC,45.0,91.378,HARD
LEC,46.0,91.537,HARD
LEC,47.0,91.627,HARD
LEC,48.0,91.227,HARD
LEC,49.0,91.318,HARD
LEC,50.0,91.936,HARD
LEC,51.0,91.223,HARD
LEC,52.0,91.779,HARD
LEC,53.0,91.455,HARD
LEC,54.0,91.592,HARD
LEC,55.0,91.281,HARD
LEC,56.0,91.084,HARD
LEC,57.0,91.629,HARD
STR,2.0,94.526,MEDIUM
STR,3.0,94.214,MEDIUM
STR,4.0,94.066,MEDIUM
STR,5.0,94.506,MEDIUM
STR,6.0,93.917,MEDIUM
STR,7.0,94.064,MEDIUM
STR,8.0,93.768,MEDIUM
STR,9.0,94.1,MEDIUM
STR,10.0,94.518,MEDIUM
STR,11.0,100.203,MEDIUM
STR,12.0,110.133,HARD
STR,13.0,93.936,HARD
STR,14.0,93.362,HARD
STR,15.0,93.479,HARD
STR,16.0,93.858,HARD
STR,17.0,93.473,HARD
STR,18.0,93.861,HARD
STR,19.0,93.635,HARD
STR,20.0,93.816,HARD
STR,21.0,93.727,HARD
STR,22.0,102.867,HARD
STR,23.0,99.557,HARD
STR,24.0,93.838,HARD
STR,25.0,93.711,HARD
STR,26.0,93.698,HARD
STR,27.0,93.861,HARD
STR,28.0,116.594,HARD
STR,29.0,137.277,MEDIUM
STR,30.0,107.776,MEDIUM
STR,31.0,111.157,MEDIUM
STR,32.0,124.501,MEDIUM
STR,33.0,93.033,MEDIUM
STR,34.0,93.559,MEDIUM
STR,35.0,92.95,MEDIUM
STR,36.0,93.354,MEDIUM
STR,37.0,93.145,MEDIUM
STR,38.0,92.789,MEDIUM
STR,39.0,92.919,MEDIUM
STR,40.0,94.389,MEDIUM
STR,41.0,92.16,MEDIUM
STR,42.0,92.584,MEDIUM
STR,43.0,92.958,MEDIUM
STR,44.0,92.524,MEDIUM
STR,45.0,92.836,MEDIUM
STR,46.0,92.451,MEDIUM
STR,47.0,92.442,MEDIUM
STR,48.0,92.935,MEDIUM
STR,49.0,92.342,MEDIUM
STR,50.0,91.991,MEDIUM
STR,51.0,93.951,MEDIUM
STR,52.0,93.206,MEDIUM
STR,53.0,91.973,MEDIUM
STR,54.0,91.742,MEDIUM
STR,55.0,91.632,MEDIUM
STR,56.0,91.593,MEDIUM
STR,57.0,91.588,MEDIUM
SAR,2.0,95.367,MEDIUM
SAR,3.0,94.646,MEDIUM
SAR,4.0,94.303,MEDIUM
SAR,5.0,93.833,MEDIUM
SAR,6.0,94.465,MEDIUM
SAR,7.0,94.641,MEDIUM
SAR,8.0,94.474,MEDIUM
SAR,9.0,94.275,MEDIUM
SAR,10.0,94.582,MEDIUM
SAR,11.0,99.392,MEDIUM
SAR,12.0,108.848,HARD
SAR,13.0,93.706,HARD
SAR,14.0,93.692,HARD
SAR,15.0,93.452,HARD
SAR,16.0,94.022,HARD
SAR,17.0,93.717,HARD
SAR,18.0,93.68,HARD
SAR,19.0,93.542,HARD
SAR,20.0,93.715,HARD
SAR,21.0,93.805,HARD
SAR,22.0,103.592,HARD
SAR,23.0,98.214,HARD
SAR,24.0,93.685,HARD
SAR,25.0,93.802,HARD
SAR,26.0,94.215,HARD
SAR,27.0,93.555,HARD
MAG,2.0,96.868,HARD
MAG,3.0,95.28,HARD
MAG,4.0,94.46,HARD
MAG,5.0,94.221,HARD
MAG,6.0,93.856,HARD
MAG,7.0,94.666,HARD
MAG,8.0,95.192,HARD
MAG,9.0,94.577,HARD
MAG,10.0,95.118,HARD
MAG,11.0,95.152,HARD
MAG,12.0,94.613,HARD
MAG,13.0,94.605,HARD
MAG,14.0,94.218,HARD
MAG,15.0,93.895,HARD
MAG,16.0,94.125,HARD
MAG,17.0,94.14,HARD
MAG,18.0,94.036,HARD
MAG,19.0,94.127,HARD
MAG,20.0,94.121,HARD
MAG,21.0,94.118,HARD
MAG,22.0,104.467,HARD
MAG,23.0,108.784,MEDIUM
MAG,24.0,93.148,MEDIUM
MAG,25.0,93.181,MEDIUM
MAG,26.0,94.371,MEDIUM
MAG,27.0,93.379,MEDIUM
MAG,28.0,146.123,MEDIUM
MAG,29.0,145.263,MEDIUM
MAG,30.0,103.269,MEDIUM
MAG,31.0,100.373,MEDIUM
MAG,32.0,115.086,MEDIUM
MAG,33.0,91.774,MEDIUM
MAG,34.0,92.23,MEDIUM
MAG,35.0,91.993,MEDIUM
MAG,36.0,92.206,MEDIUM
MAG,37.0,91.985,MEDIUM
MAG,38.0,92.074,MEDIUM
MAG,39.0,92.318,MEDIUM
MAG,40.0,92.462,MEDIUM
MAG,41.0,92.336,MEDIUM
MAG,42.0,92.3,MEDIUM
MAG,43.0,92.087,MEDIUM
MAG,44.0,92.287,MEDIUM
MAG,45.0,92.279,MEDIUM
MAG,46.0,93.068,MEDIUM
MAG,47.0,92.989,MEDIUM
MAG,48.0,92.384,MEDIUM
MAG,49.0,92.344,MEDIUM
MAG,50.0,92.395,MEDIUM
MAG,51.0,92.433,MEDIUM
MAG,52.0,93.125,MEDIUM
MAG,53.0,92.704,MEDIUM
MAG,54.0,92.755,MEDIUM
MAG,55.0,92.36,MEDIUM
MAG,56.0,92.781,MEDIUM
MAG,57.0,93.134,MEDIUM
TSU,2.0,94.337,MEDIUM
TSU,3.0,94.277,MEDIUM
TSU,4.0,93.892,MEDIUM
TSU,5.0,95.267,MEDIUM
TSU,6.0,93.902,MEDIUM
TSU,7.0,93.682,MEDIUM
TSU,8.0,94.022,MEDIUM
TSU,9.0,94.117,MEDIUM
TSU,10.0,94.916,MEDIUM
TSU,11.0,94.816,MEDIUM
TSU,12.0,94.631,MEDIUM
TSU,13.0,94.689,MEDIUM
TSU,14.0,93.975,MEDIUM
TSU,15.0,93.337,MEDIUM
TSU,16.0,93.683,MEDIUM
TSU,17.0,93.936,MEDIUM
TSU,18.0,93.745,MEDIUM
TSU,19.0,93.382,MEDIUM
TSU,20.0,93.447,MEDIUM
TSU,21.0,93.711,MEDIUM
TSU,22.0,93.715,MEDIUM
TSU,23.0,107.822,MEDIUM
TSU,24.0,94.405,MEDIUM
TSU,25.0,93.277,MEDIUM
TSU,26.0,93.08,MEDIUM
TSU,27.0,93.109,MEDIUM
TSU,28.0,107.67,MEDIUM
TSU,29.0,138.203,HARD
TSU,30.0,121.366,HARD
TSU,31.0,102.763,HARD
TSU,32.0,143.555,HARD
TSU,33.0,94.127,HARD
TSU,34.0,93.232,HARD
TSU,35.0,92.318,HARD
TSU,36.0,92.388,HARD
TSU,37.0,91.906,HARD
TSU,38.0,91.724,HARD
TSU,39.0,92.204,HARD
TSU,40.0,92.798,HARD
TSU,41.0,92.177,HARD
TSU,42.0,91.943,HARD
TSU,43.0,91.909,HARD
TSU,44.0,91.915,HARD
TSU,45.0,92.077,HARD
TSU,46.0,92.025,HARD
TSU,47.0,92.006,HARD
TSU,48.0,92.01,HARD
TSU,49.0,92.164,HARD
TSU,50.0,91.952,HARD
TSU,51.0,92.07,HARD
TSU,52.0,92.023,HARD
TSU,53.0,91.955,HARD
TSU,54.0,91.893,HARD
TSU,55.0,91.682,HARD
TSU,56.0,91.822,HARD
TSU,57.0,91.957,HARD
ALB,2.0,94.925,MEDIUM
ALB,3.0,94.309,MEDIUM
ALB,4.0,93.889,MEDIUM
ALB,5.0,94.174,MEDIUM
ALB,6.0,94.26,MEDIUM
ALB,7.0,94.475,MEDIUM
ALB,8.0,93.981,MEDIUM
ALB,9.0,94.249,MEDIUM
ALB,10.0,99.601,MEDIUM
ALB,11.0,107.913,HARD
ALB,12.0,94.419,HARD
ALB,13.0,94.49,HARD
ALB,14.0,93.929,HARD
ALB,15.0,93.447,HARD
ALB,16.0,94.178,HARD
ALB,17.0,93.683,HARD
ALB,18.0,93.692,HARD
ALB,19.0,93.671,HARD
ALB,20.0,93.584,HARD
ALB,21.0,93.607,HARD
ALB,22.0,103.665,HARD
ALB,23.0,98.596,HARD
ALB,24.0,93.96,HARD
ALB,25.0,93.429,HARD
ALB,26.0,93.474,HARD
ALB,27.0,93.78,HARD
ALB,28.0,113.226,HARD
ALB,29.0,127.113,HARD
ALB,30.0,113.02,HARD
ALB,31.0,111.085,HARD
ALB,32.0,129.454,HARD
ALB,33.0,93.921,HARD
ALB,34.0,93.497,HARD
ALB,35.0,92.855,HARD
ALB,36.0,93.157,HARD
ALB,37.0,93.054,HARD
ALB,38.0,92.997,HARD
ALB,39.0,93.499,HARD
ALB,40.0,92.765,HARD
ALB,41.0,93.642,HARD
ALB,42.0,92.947,HARD
ALB,43.0,92.681,HARD
ALB,44.0,92.778,HARD
ALB,45.0,92.565,HARD
ALB,46.0,92.801,HARD
ALB,47.0,92.66,HARD
ALB,48.0,92.552,HARD
ALB,49.0,92.646,HARD
ALB,50.0,92.755,HARD
ALB,51.0,94.142,HARD
ALB,52.0,95.038,HARD
ALB,53.0,106.697,HARD
ALB,54.0,106.898,SOFT
ALB,55.0,90.849,SOFT
ALB,56.0,92.063,SOFT
ALB,57.0,91.272,SOFT
ZHO,2.0,96.265,MEDIUM
ZHO,3.0,94.339,MEDIUM
ZHO,4.0,94.357,MEDIUM
ZHO,5.0,93.673,MEDIUM
ZHO,6.0,94.318,MEDIUM
ZHO,7.0,94.455,MEDIUM
ZHO,8.0,94.539,MEDIUM
ZHO,9.0,94.263,MEDIUM
ZHO,10.0,94.286,MEDIUM
ZHO,11.0,94.662,MEDIUM
ZHO,12.0,94.455,MEDIUM
ZHO,13.0,94.666,MEDIUM
ZHO,14.0,94.195,MEDIUM
ZHO,15.0,94.166,MEDIUM
ZHO,16.0,94.005,MEDIUM
ZHO,17.0,94.095,MEDIUM
ZHO,18.0,94.394,MEDIUM
ZHO,19.0,93.941,MEDIUM
ZHO,20.0,94.286,MEDIUM
ZHO,21.0,94.689,MEDIUM
ZHO,22.0,99.455,MEDIUM
ZHO,23.0,102.852,MEDIUM
ZHO,24.0,93.688,MEDIUM
ZHO,25.0,93.664,MEDIUM
ZHO,26.0,93.644,MEDIUM
ZHO,27.0,93.485,MEDIUM
ZHO,28.0,113.108,MEDIUM
ZHO,29.0,139.346,SOFT
ZHO,30.0,114.967,SOFT
ZHO,31.0,111.067,SOFT
ZHO,32.0,127.331,SOFT
ZHO,33.0,93.784,SOFT
ZHO,34.0,93.438,SOFT
ZHO,35.0,93.184,SOFT
ZHO,36.0,93.258,SOFT
ZHO,37.0,92.951,SOFT
ZHO,38.0,92.919,SOFT
ZHO,39.0,93.309,SOFT
ZHO,40.0,93.703,SOFT
ZHO,41.0,92.896,SOFT
ZHO,42.0,92.777,SOFT
ZHO,43.0,92.818,SOFT
ZHO,44.0,93.01,SOFT
ZHO,45.0,92.774,SOFT
ZHO,46.0,92.591,SOFT
ZHO,47.0,92.781,SOFT
ZHO,48.0,94.209,SOFT
ZHO,49.0,92.938,SOFT
ZHO,50.0,92.522,SOFT
ZHO,51.0,92.611,SOFT
ZHO,52.0,93.156,SOFT
ZHO,53.0,92.922,SOFT
ZHO,54.0,92.457,SOFT
ZHO,55.0,92.17,SOFT
ZHO,56.0,91.991,SOFT
ZHO,57.0,92.984,SOFT
HUL,2.0,93.938,MEDIUM
HUL,3.0,94.14,MEDIUM
HUL,4.0,93.818,MEDIUM
HUL,5.0,93.776,MEDIUM
HUL,6.0,93.561,MEDIUM
HUL,7.0,94.953,MEDIUM
HUL,8.0,94.304,MEDIUM
HUL,9.0,94.126,MEDIUM
HUL,10.0,95.543,MEDIUM
HUL,11.0,94.756,MEDIUM
HUL,12.0,100.42,MEDIUM
HUL,13.0,108.595,HARD
HUL,14.0,93.304,HARD
HUL,15.0,92.922,HARD
HUL,16.0,93.731,HARD
HUL,17.0,93.621,HARD
HUL,18.0,93.608,HARD
HUL,19.0,93.273,HARD
HUL,20.0,93.538,HARD
HUL,21.0,93.705,HARD
HUL,22.0,101.307,HARD
HUL,23.0,100.564,HARD
HUL,24.0,94.099,HARD
HUL,25.0,94.486,HARD
HUL,26.0,94.322,HARD
HUL,27.0,94.825,HARD
HUL,28.0,115.429,HARD
HUL,29.0,137.985,MEDIUM
HUL,30.0,108.63,MEDIUM
HUL,31.0,111.013,MEDIUM
HUL,32.0,124.299,MEDIUM
HUL,33.0,93.618,MEDIUM
HUL,34.0,93.078,MEDIUM
HUL,35.0,93.115,MEDIUM
HUL,36.0,93.291,MEDIUM
HUL,37.0,92.894,MEDIUM
HUL,38.0,92.953,MEDIUM
HUL,39.0,93.092,MEDIUM
HUL,40.0,92.346,MEDIUM
HUL,41.0,92.637,MEDIUM
HUL,42.0,92.214,MEDIUM
HUL,43.0,92.638,MEDIUM
HUL,44.0,92.457,MEDIUM
HUL,45.0,92.474,MEDIUM
HUL,46.0,92.667,MEDIUM
HUL,47.0,92.184,MEDIUM
HUL,48.0,92.298,MEDIUM
HUL,49.0,92.474,MEDIUM
HUL,50.0,92.144,MEDIUM
HUL,51.0,92.044,MEDIUM
HUL,52.0,92.403,MEDIUM
HUL,53.0,92.534,MEDIUM
HUL,54.0,92.187,MEDIUM
HUL,55.0,92.045,MEDIUM
HUL,56.0,91.941,MEDIUM
HUL,57.0,92.187,MEDIUM
RIC,2.0,95.593,HARD
RIC,3.0,95.732,HARD
RIC,4.0,94.907,HARD
RIC,5.0,94.201,HARD
RIC,6.0,93.982,HARD
RIC,7.0,94.345,HARD
RIC,8.0,94.892,HARD
RIC,9.0,94.655,HARD
RIC,10.0,95.293,HARD
RIC,11.0,94.931,HARD
RIC,12.0,94.558,HARD
RIC,13.0,94.405,HARD
RIC,14.0,94.311,HARD
RIC,15.0,94.018,HARD
RIC,16.0,94.268,HARD
RIC,17.0,94.033,HARD
RIC,18.0,94.234,HARD
RIC,19.0,93.901,HARD
RIC,20.0,93.98,HARD
RIC,21.0,94.071,HARD
RIC,22.0,101.546,HARD
RIC,23.0,100.199,HARD
RIC,24.0,93.488,HARD
RIC,25.0,93.435,HARD
RIC,26.0,93.215,HARD
RIC,27.0,95.172,HARD
RIC,28.0,113.429,HARD
RIC,29.0,137.564,MEDIUM
RIC,30.0,114.43,MEDIUM
RIC,31.0,111.522,MEDIUM
RIC,32.0,125.311,MEDIUM
RIC,33.0,94.031,MEDIUM
RIC,34.0,93.89,MEDIUM
