Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2024-05-03 20:17:12,Other,DRS DISABLED IN ZONE 1,,,,,,
2024-05-03 20:17:12,Other,DRS DISABLED IN ZONE 2,,,,,,
2024-05-03 20:17:12,Other,DRS DISABLED IN ZONE 3,,,,,,
2024-05-03 20:17:33,Other,PINK HEAD PADDING MATERIAL MUST BE USED,,,,,,
2024-05-03 20:15:09,Other,RISK OF RAIN FOR F1 SPRINT QUALIFYING IS 0 %,,,,,,
2024-05-03 20:17:12,Other,DRS DISABLED IN ZONE 1,,,,,,
2024-05-03 20:17:12,Other,DRS DISABLED IN ZONE 2,,,,,,
2024-05-03 20:17:12,Other,DRS DISABLED IN ZONE 3,,,,,,
2024-05-03 20:17:33,Other,PINK HEAD PADDING MATERIAL MUST BE USED,,,,,,
2024-05-03 20:21:02,Other,DRS ENABLED IN ZONE 2,,,,,,
2024-05-03 20:21:27,Other,DRS ENABLED IN ZONE 3,,,,,,
2024-05-03 20:21:32,Other,DRS DISABLED IN ZONE 3,,,,,,
2024-05-03 20:21:43,Other,DRS ENABLED IN ZONE 3,,,,,,
2024-05-03 20:22:00,Other,DRS ENABLED IN ZONE 1,,,,,,
2024-05-03 20:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-05-03 20:34:29,Other,CAR 10 (GAS) LAP DELETED - TRACK LIMITS AT TURN 7 LAP 2 16:33:00,,,,,,
2024-05-03 20:40:06,Other,TURN 1 INCIDENT INVOLVING CARS 77 (BOT) AND 81 (PIA) NOTED,,,,,,
2024-05-03 20:40:29,Other,CAR 81 (PIA) TIME 1:55.292 DELETED - TRACK LIMITS AT TURN 1 LAP 5 16:37:41,,,,,,
2024-05-03 20:40:30,Other,CAR 77 (BOT) TIME 1:59.965 DELETED - TRACK LIMITS AT TURN 1 LAP 6 16:37:41,,,,,,
2024-05-03 20:40:52,Other,FIA STEWARDS: TURN 1 INCIDENT INVOLVING CARS 77 (BOT) AND 81 (PIA) WILL BE INVESTIGATED AFTER THE SESSION,,,,,,
2024-05-03 20:42:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2024-05-03 20:42:25,Other,FIRST CAR TO TAKE THE FLAG - CAR 3 (RIC),,,,,,
2024-05-03 20:43:20,Other,CAR 23 (ALB) TIME 1:29.112 DELETED - TRACK LIMITS AT TURN 15 LAP 6 16:42:05,,,,,,
2024-05-03 20:45:39,Other,"FIA STEWARDS: SQ1 INCIDENT INVOLVING CARS 11 (PER), 81 (PIA), 2 (SAR), 23 (ALB), 18 (STR), 14 (ALO) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2024-05-03 20:45:55,Other,"FIA STEWARDS: SQ1 INCIDENT INVOLVING CARS 11 (PER), 81 (PIA), 2 (SAR), 23 (ALB), 18 (STR), 14 (ALO) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2024-05-03 20:49:01,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-05-03 20:49:12,Other,CAR 24 (ZHO) LAP DELETED - TRACK LIMITS AT TURN 15 LAP 7 16:40:22,,,,,,
2024-05-03 20:58:30,Other,INCIDENT INVOLVING CAR 44 (HAM) NOTED - PIT LANE INFRINGEMENT,,,,,,
2024-05-03 20:59:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2024-05-03 20:59:09,Other,FIRST CAR TO TAKE THE FLAG - CAR 31 (OCO),,,,,,
2024-05-03 21:00:27,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 44 (HAM) WILL BE INVESTIGATED AFTER THE SESSION - PIT LANE INFRINGEMENT,,,,,,
2024-05-03 21:00:54,Other,CAR 22 (TSU) TIME 1:28.736 DELETED - TRACK LIMITS AT TURN 5 LAP 9 16:57:00,,,,,,
2024-05-03 21:02:08,Other,"FIA STEWARDS: SQ2 INCIDENT INVOLVING CARS 11 (PER), 81 (PIA), 63 (RUS) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2024-05-03 21:02:21,Other,"FIA STEWARDS: SQ2 INCIDENT INVOLVING CARS 11 (PER), 81 (PIA), 63 (RUS) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2024-05-03 21:06:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-05-03 21:14:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2024-05-03 21:14:17,Other,FIRST CAR TO TAKE THE FLAG - CAR 1 (VER),,,,,,
2024-05-03 21:16:46,Other,"FIA STEWARDS: SQ1 INCIDENT INVOLVING CARS 11 (PER), 81 (PIA), 2 (SAR), 23 (ALB), 18 (STR), 14 (ALO) NO FURTHER ACTION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2024-05-03 21:17:38,Other,"FIA STEWARDS: SQ2 INCIDENT INVOLVING CARS 11 (PER), 81 (PIA), 63 (RUS) NO FURTHER ACTION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
