Driver,LapNumber,GapTime
VER,0.6666666666666666,0.0
LEC,0.6666666666666666,0.937
PER,0.6666666666666666,2.519
RIC,0.6666666666666666,1.863
SAI,0.6666666666666666,3.175
PIA,0.6666666666666666,4.005
HUL,0.6666666666666666,4.827
TSU,0.6666666666666666,8.468
GAS,0.6666666666666666,12.065
SAR,0.6666666666666666,12.873
ZHO,0.6666666666666666,13.638
RUS,0.6666666666666666,17.113
ALB,0.6666666666666666,20.48
BOT,0.6666666666666666,18.889
OCO,0.6666666666666666,10.416
HAM,0.6666666666666666,6.694
ALO,0.6666666666666666,23.082
MAG,0.6666666666666666,5.473
STR,0.6666666666666666,49.684
NOR,0.6666666666666666,
VER,1.0,0.0
LEC,1.0,2.9459999999999997
PER,1.0,7.219
RIC,1.0,5.225
SAI,1.0,8.71
PIA,1.0,10.376
HUL,1.0,12.885
TSU,1.0,19.124
GAS,1.0,22.71
SAR,1.0,23.81
ZHO,1.0,27.675
RUS,1.0,29.276
ALB,1.0,31.677
BOT,1.0,30.742
OCO,1.0,19.997
HAM,1.0,16.123
ALO,1.0,33.224
MAG,1.0,14.326
STR,1.0,58.731
NOR,1.0,
VER,1.3333333333333333,0.0
LEC,1.3333333333333333,1.479
PER,1.3333333333333333,3.677
RIC,1.3333333333333333,2.8970000000000002
SAI,1.3333333333333333,4.622
PIA,1.3333333333333333,6.174
HUL,1.3333333333333333,8.011
TSU,1.3333333333333333,11.539
GAS,1.3333333333333333,14.259
SAR,1.3333333333333333,14.905
ZHO,1.3333333333333333,17.315
RUS,1.3333333333333333,19.173
ALB,1.3333333333333333,24.901
BOT,1.3333333333333333,22.389
OCO,1.3333333333333333,26.488
HAM,1.3333333333333333,10.046
ALO,1.3333333333333333,42.065
MAG,1.3333333333333333,9.214
VER,1.6666666666666665,0.0
LEC,1.6666666666666665,1.282
PER,1.6666666666666665,4.115
RIC,1.6666666666666665,3.435
SAI,1.6666666666666665,6.333
PIA,1.6666666666666665,7.7
HUL,1.6666666666666665,9.117
TSU,1.6666666666666665,14.876
GAS,1.6666666666666665,15.673
SAR,1.6666666666666665,16.83
ZHO,1.6666666666666665,17.909
RUS,1.6666666666666665,20.778
ALB,1.6666666666666665,24.35
BOT,1.6666666666666665,22.384
