Driver,LapNumber,LapTime,Compound
PIA,2.0,75.94,SOFT
PIA,3.0,103.903,SOFT
PIA,6.0,75.407,SOFT
PIA,7.0,103.554,SOFT
PIA,9.0,89.141,SOFT
PIA,11.0,75.148,SOFT
PIA,12.0,99.349,SOFT
PIA,14.0,74.82,SOFT
NOR,2.0,76.194,SOFT
NOR,3.0,106.005,SOFT
NOR,4.0,124.011,SOFT
NOR,5.0,75.915,SOFT
NOR,6.0,96.725,SOFT
NOR,9.0,75.476,SOFT
NOR,10.0,101.461,SOFT
NOR,12.0,75.371,SOFT
NOR,13.0,100.656,SOFT
NOR,15.0,74.942,SOFT
NOR,16.0,97.44,SOFT
NOR,18.0,74.837,SOFT
SAI,2.0,76.975,MEDIUM
SAI,3.0,106.599,MEDIUM
SAI,4.0,118.545,MEDIUM
SAI,5.0,76.015,MEDIUM
SAI,6.0,102.047,MEDIUM
SAI,8.0,94.889,MEDIUM
SAI,10.0,75.702,SOFT
SAI,11.0,107.76,SOFT
SAI,13.0,75.512,SOFT
SAI,14.0,104.406,SOFT
SAI,16.0,75.383,SOFT
SAI,17.0,104.74,SOFT
SAI,19.0,75.233,SOFT
LEC,2.0,76.463,MEDIUM
LEC,3.0,98.727,MEDIUM
LEC,4.0,127.158,MEDIUM
LEC,5.0,76.097,MEDIUM
LEC,6.0,95.602,MEDIUM
LEC,8.0,75.823,MEDIUM
LEC,9.0,103.443,MEDIUM
LEC,11.0,75.328,SOFT
LEC,12.0,100.171,SOFT
LEC,14.0,75.514,SOFT
LEC,15.0,96.692,SOFT
LEC,17.0,75.016,SOFT
LEC,18.0,98.341,SOFT
LEC,20.0,74.97,SOFT
RUS,2.0,82.85,MEDIUM
RUS,4.0,76.107,SOFT
RUS,5.0,108.817,SOFT
RUS,8.0,76.2,SOFT
RUS,9.0,102.023,SOFT
RUS,11.0,75.671,SOFT
RUS,12.0,107.179,SOFT
RUS,14.0,75.392,SOFT
RUS,15.0,104.967,SOFT
RUS,17.0,75.234,SOFT
VER,2.0,76.013,SOFT
VER,3.0,109.752,SOFT
VER,5.0,75.762,SOFT
VER,6.0,94.157,SOFT
VER,8.0,75.386,SOFT
VER,9.0,106.731,SOFT
VER,11.0,75.176,SOFT
VER,12.0,93.486,SOFT
VER,14.0,74.869,SOFT
VER,15.0,92.084,SOFT
VER,17.0,74.746,SOFT
ALB,2.0,77.414,SOFT
ALB,3.0,99.589,SOFT
ALB,5.0,76.524,SOFT
ALB,6.0,103.164,SOFT
ALB,8.0,76.921,SOFT
ALB,9.0,96.693,SOFT
ALB,11.0,76.2,SOFT
ALB,12.0,100.697,SOFT
OCO,2.0,76.645,SOFT
OCO,3.0,100.27,SOFT
OCO,5.0,76.498,SOFT
OCO,6.0,101.221,SOFT
OCO,8.0,76.361,SOFT
OCO,9.0,109.676,SOFT
OCO,11.0,76.562,SOFT
OCO,12.0,99.882,SOFT
OCO,14.0,75.906,SOFT
OCO,15.0,106.779,SOFT
STR,2.0,76.925,SOFT
STR,3.0,105.193,SOFT
STR,4.0,140.705,SOFT
STR,5.0,76.458,SOFT
STR,6.0,100.269,SOFT
STR,8.0,76.56,SOFT
STR,9.0,106.013,SOFT
STR,11.0,76.906,SOFT
STR,12.0,97.899,SOFT
STR,14.0,75.992,SOFT
STR,15.0,106.238,SOFT
HUL,2.0,77.311,SOFT
HUL,3.0,105.579,SOFT
HUL,5.0,76.992,SOFT
HUL,6.0,95.909,SOFT
HUL,8.0,75.841,SOFT
HUL,9.0,99.311,SOFT
HUL,11.0,76.107,SOFT
HUL,12.0,94.294,SOFT
HUL,14.0,75.569,SOFT
HUL,15.0,97.652,SOFT
HUL,17.0,76.308,SOFT
HUL,18.0,92.985,SOFT
HUL,20.0,75.98,SOFT
RIC,2.0,76.767,SOFT
RIC,3.0,98.066,SOFT
RIC,5.0,76.06,SOFT
RIC,6.0,106.482,SOFT
RIC,8.0,75.967,SOFT
RIC,9.0,103.271,SOFT
RIC,11.0,75.691,SOFT
RIC,12.0,102.754,SOFT
RIC,14.0,75.674,SOFT
PER,2.0,76.404,SOFT
PER,3.0,115.75,SOFT
PER,6.0,75.853,SOFT
PER,7.0,106.918,SOFT
PER,9.0,75.706,SOFT
PER,10.0,104.35,SOFT
TSU,2.0,76.211,SOFT
TSU,3.0,103.27,SOFT
TSU,5.0,75.894,SOFT
TSU,6.0,100.952,SOFT
TSU,8.0,75.358,SOFT
TSU,9.0,99.244,SOFT
TSU,11.0,75.465,SOFT
TSU,12.0,95.584,SOFT
TSU,14.0,75.513,SOFT
