Driver,LapNumber,GapTime
VER,0.6666666666666666,0.0
NOR,0.6666666666666666,0.971
LEC,0.6666666666666666,1.817
SAI,0.6666666666666666,2.209
PIA,0.6666666666666666,2.596
RUS,0.6666666666666666,3.138
TSU,0.6666666666666666,4.531
HAM,0.6666666666666666,3.727
RIC,0.6666666666666666,5.684
HUL,0.6666666666666666,4.106
PER,0.6666666666666666,5.007
OCO,0.6666666666666666,6.166
STR,0.6666666666666666,6.394
ALB,0.6666666666666666,7.119
GAS,0.6666666666666666,7.273
BOT,0.6666666666666666,7.925
ZHO,0.6666666666666666,8.276
MAG,0.6666666666666666,7.644
SAR,0.6666666666666666,8.422
ALO,0.6666666666666666,10.032
VER,1.0,0.0
NOR,1.0,0.889
LEC,1.0,1.788
SAI,1.0,2.217
PIA,1.0,2.906
RUS,1.0,3.6310000000000002
TSU,1.0,5.441
HAM,1.0,4.255
RIC,1.0,6.49
HUL,1.0,4.962
PER,1.0,5.969
OCO,1.0,6.994
STR,1.0,7.658
ALB,1.0,8.123
GAS,1.0,8.399000000000001
BOT,1.0,9.285
ZHO,1.0,9.874
MAG,1.0,9.015
SAR,1.0,10.15
ALO,1.0,10.777
VER,1.3333333333333333,0.0
NOR,1.3333333333333333,0.975
LEC,1.3333333333333333,1.807
SAI,1.3333333333333333,2.5
PIA,1.3333333333333333,3.094
RUS,1.3333333333333333,3.928
TSU,1.3333333333333333,5.975
HAM,1.3333333333333333,4.5809999999999995
RIC,1.3333333333333333,7.108
HUL,1.3333333333333333,5.376
PER,1.3333333333333333,6.641
OCO,1.3333333333333333,7.787
STR,1.3333333333333333,8.212
ALB,1.3333333333333333,8.881
GAS,1.3333333333333333,9.327
BOT,1.3333333333333333,10.52
ZHO,1.3333333333333333,11.147
MAG,1.3333333333333333,10.026
SAR,1.3333333333333333,11.708
ALO,1.3333333333333333,11.951
VER,1.6666666666666665,0.0
NOR,1.6666666666666665,1.053
LEC,1.6666666666666665,2.027
SAI,1.6666666666666665,2.807
PIA,1.6666666666666665,3.505
RUS,1.6666666666666665,4.362
TSU,1.6666666666666665,6.682
HAM,1.6666666666666665,5.193
RIC,1.6666666666666665,8.024
HUL,1.6666666666666665,6.046
PER,1.6666666666666665,7.309
OCO,1.6666666666666665,8.728
STR,1.6666666666666665,9.195
ALB,1.6666666666666665,9.882
GAS,1.6666666666666665,10.357
BOT,1.6666666666666665,11.741
ZHO,1.6666666666666665,12.522
MAG,1.6666666666666665,11.039
SAR,1.6666666666666665,13.006
ALO,1.6666666666666665,13.317
VER,2.0,0.0
NOR,2.0,0.965
LEC,2.0,2.056
SAI,2.0,2.811
PIA,2.0,3.5620000000000003
RUS,2.0,4.578
TSU,2.0,7.157
HAM,2.0,5.455
RIC,2.0,8.652
HUL,2.0,6.404
PER,2.0,7.882
OCO,2.0,9.408
STR,2.0,10.072
ALB,2.0,10.704
GAS,2.0,11.134
BOT,2.0,12.422
ZHO,2.0,13.237
MAG,2.0,11.724
SAR,2.0,13.842
ALO,2.0,14.356
VER,2.3333333333333335,0.0
NOR,2.3333333333333335,1.039
LEC,2.3333333333333335,1.8860000000000001
SAI,2.3333333333333335,2.4939999999999998
PIA,2.3333333333333335,3.134
RUS,2.3333333333333335,4.287
TSU,2.3333333333333335,7.062
HAM,2.3333333333333335,5.11
RIC,2.3333333333333335,8.654
HUL,2.3333333333333335,6.285
PER,2.3333333333333335,7.922
OCO,2.3333333333333335,9.523
STR,2.3333333333333335,10.119
ALB,2.3333333333333335,10.887
GAS,2.3333333333333335,11.378
BOT,2.3333333333333335,12.57
ZHO,2.3333333333333335,13.513
MAG,2.3333333333333335,11.849
SAR,2.3333333333333335,14.155
ALO,2.3333333333333335,14.449
VER,2.6666666666666665,0.0
NOR,2.6666666666666665,1.086
LEC,2.6666666666666665,2.141
SAI,2.6666666666666665,2.741
PIA,2.6666666666666665,3.284
RUS,2.6666666666666665,4.495
TSU,2.6666666666666665,7.525
HAM,2.6666666666666665,5.595
RIC,2.6666666666666665,9.279
HUL,2.6666666666666665,6.647
PER,2.6666666666666665,8.387
OCO,2.6666666666666665,10.201
STR,2.6666666666666665,10.771
ALB,2.6666666666666665,11.733
GAS,2.6666666666666665,12.245
BOT,2.6666666666666665,13.446
ZHO,2.6666666666666665,14.305
MAG,2.6666666666666665,12.86
SAR,2.6666666666666665,15.05
ALO,2.6666666666666665,15.537
VER,3.0,0.0
NOR,3.0,0.977
LEC,3.0,2.115
SAI,3.0,2.9050000000000002
PIA,3.0,3.498
RUS,3.0,4.841
TSU,3.0,8.043
HAM,3.0,5.805
RIC,3.0,9.863
HUL,3.0,7.232
PER,3.0,8.923
OCO,3.0,10.826
STR,3.0,11.556000000000001
ALB,3.0,12.484
GAS,3.0,13.014
