Driver,LapNumber,LapTime,Compound
VER,2.0,80.596,MEDIUM
VER,3.0,80.872,MEDIUM
VER,4.0,80.671,MEDIUM
VER,5.0,80.734,MEDIUM
VER,6.0,80.868,MEDIUM
VER,7.0,80.868,MEDIUM
VER,8.0,80.762,MEDIUM
VER,9.0,80.543,MEDIUM
VER,10.0,81.093,MEDIUM
VER,11.0,80.885,MEDIUM
VER,12.0,81.287,MEDIUM
VER,13.0,81.073,MEDIUM
VER,14.0,80.982,MEDIUM
VER,15.0,81.323,MEDIUM
VER,16.0,81.362,MEDIUM
VER,17.0,81.328,MEDIUM
VER,18.0,81.411,MEDIUM
VER,19.0,81.517,MEDIUM
VER,20.0,81.55,MEDIUM
VER,21.0,81.608,MEDIUM
VER,22.0,81.763,MEDIUM
VER,23.0,81.988,MEDIUM
VER,24.0,86.212,MEDIUM
VER,25.0,103.602,HARD
VER,26.0,80.482,HARD
VER,27.0,80.943,HARD
VER,28.0,80.709,HARD
VER,29.0,80.615,HARD
VER,30.0,80.571,HARD
VER,31.0,80.545,HARD
VER,32.0,80.713,HARD
VER,33.0,81.141,HARD
VER,34.0,80.76,HARD
VER,35.0,80.8,HARD
VER,36.0,80.704,HARD
VER,37.0,80.484,HARD
VER,38.0,80.366,HARD
VER,39.0,80.547,HARD
VER,40.0,80.645,HARD
VER,41.0,80.675,HARD
VER,42.0,80.832,HARD
VER,43.0,80.757,HARD
VER,44.0,80.834,HARD
VER,45.0,81.364,HARD
VER,46.0,80.7,HARD
VER,47.0,80.909,HARD
VER,48.0,80.923,HARD
VER,49.0,80.823,HARD
VER,50.0,80.817,HARD
VER,51.0,80.736,HARD
VER,52.0,80.556,HARD
VER,53.0,80.638,HARD
VER,54.0,80.918,HARD
VER,55.0,80.962,HARD
VER,56.0,80.49,HARD
VER,57.0,80.511,HARD
VER,58.0,80.513,HARD
VER,59.0,80.367,HARD
VER,60.0,80.637,HARD
VER,61.0,80.698,HARD
VER,62.0,80.753,HARD
VER,63.0,81.035,HARD
NOR,2.0,80.673,MEDIUM
NOR,3.0,80.884,MEDIUM
NOR,4.0,81.205,MEDIUM
NOR,5.0,81.046,MEDIUM
NOR,6.0,80.909,MEDIUM
NOR,7.0,80.923,MEDIUM
NOR,8.0,80.997,MEDIUM
NOR,9.0,81.052,MEDIUM
NOR,10.0,81.272,MEDIUM
NOR,11.0,81.201,MEDIUM
NOR,12.0,81.438,MEDIUM
NOR,13.0,81.735,MEDIUM
NOR,14.0,81.716,MEDIUM
NOR,15.0,81.666,MEDIUM
NOR,16.0,81.523,MEDIUM
NOR,17.0,81.565,MEDIUM
NOR,18.0,81.617,MEDIUM
NOR,19.0,81.793,MEDIUM
NOR,20.0,81.883,MEDIUM
NOR,21.0,81.855,MEDIUM
NOR,22.0,86.107,MEDIUM
NOR,23.0,104.693,HARD
NOR,24.0,80.468,HARD
NOR,25.0,80.977,HARD
NOR,26.0,80.899,HARD
NOR,27.0,81.029,HARD
NOR,28.0,81.077,HARD
NOR,29.0,80.933,HARD
NOR,30.0,80.72,HARD
NOR,31.0,80.628,HARD
NOR,32.0,80.923,HARD
NOR,33.0,80.764,HARD
NOR,34.0,80.776,HARD
NOR,35.0,80.687,HARD
NOR,36.0,80.656,HARD
NOR,37.0,80.714,HARD
NOR,38.0,80.458,HARD
NOR,39.0,80.591,HARD
NOR,40.0,81.025,HARD
NOR,41.0,81.102,HARD
NOR,42.0,80.828,HARD
NOR,43.0,80.838,HARD
NOR,44.0,80.708,HARD
NOR,45.0,80.339,HARD
NOR,46.0,80.546,HARD
NOR,47.0,80.816,HARD
NOR,48.0,80.803,HARD
NOR,49.0,80.485,HARD
NOR,50.0,80.039,HARD
NOR,51.0,80.367,HARD
NOR,52.0,80.582,HARD
NOR,53.0,80.141,HARD
NOR,54.0,79.994,HARD
NOR,55.0,80.182,HARD
NOR,56.0,80.168,HARD
NOR,57.0,80.105,HARD
NOR,58.0,80.555,HARD
NOR,59.0,80.489,HARD
NOR,60.0,80.239,HARD
NOR,61.0,80.502,HARD
NOR,62.0,80.564,HARD
NOR,63.0,80.743,HARD
LEC,2.0,80.926,MEDIUM
LEC,3.0,80.931,MEDIUM
LEC,4.0,81.279,MEDIUM
LEC,5.0,81.122,MEDIUM
LEC,6.0,81.043,MEDIUM
LEC,7.0,81.025,MEDIUM
LEC,8.0,81.116,MEDIUM
LEC,9.0,81.215,MEDIUM
LEC,10.0,81.387,MEDIUM
LEC,11.0,81.147,MEDIUM
LEC,12.0,81.349,MEDIUM
LEC,13.0,81.442,MEDIUM
LEC,14.0,81.661,MEDIUM
LEC,15.0,81.464,MEDIUM
LEC,16.0,81.964,MEDIUM
LEC,17.0,81.714,MEDIUM
LEC,18.0,81.719,MEDIUM
LEC,19.0,81.672,MEDIUM
LEC,20.0,81.757,MEDIUM
LEC,21.0,81.669,MEDIUM
LEC,22.0,82.018,MEDIUM
LEC,23.0,81.943,MEDIUM
LEC,24.0,81.6,MEDIUM
LEC,25.0,86.023,MEDIUM
LEC,26.0,105.006,HARD
LEC,27.0,79.935,HARD
LEC,28.0,80.928,HARD
LEC,29.0,80.502,HARD
LEC,30.0,80.426,HARD
LEC,31.0,80.944,HARD
LEC,32.0,80.645,HARD
LEC,33.0,80.589,HARD
LEC,34.0,80.726,HARD
LEC,35.0,80.812,HARD
LEC,36.0,80.562,HARD
LEC,37.0,80.36,HARD
LEC,38.0,80.194,HARD
LEC,39.0,80.507,HARD
LEC,40.0,80.582,HARD
LEC,41.0,80.928,HARD
LEC,42.0,80.24,HARD
LEC,43.0,80.942,HARD
LEC,44.0,80.702,HARD
LEC,45.0,80.431,HARD
LEC,46.0,80.596,HARD
LEC,47.0,81.313,HARD
LEC,48.0,81.513,HARD
LEC,49.0,80.798,HARD
LEC,50.0,80.414,HARD
LEC,51.0,80.364,HARD
LEC,52.0,80.358,HARD
LEC,53.0,80.889,HARD
LEC,54.0,80.398,HARD
LEC,55.0,80.636,HARD
LEC,56.0,80.415,HARD
LEC,57.0,80.752,HARD
LEC,58.0,80.553,HARD
LEC,59.0,80.506,HARD
LEC,60.0,80.693,HARD
LEC,61.0,80.783,HARD
LEC,62.0,81.307,HARD
LEC,63.0,81.153,HARD
SAI,2.0,81.102,MEDIUM
SAI,3.0,80.966,MEDIUM
SAI,4.0,81.341,MEDIUM
SAI,5.0,81.276,MEDIUM
SAI,6.0,81.16,MEDIUM
SAI,7.0,81.236,MEDIUM
SAI,8.0,81.431,MEDIUM
SAI,9.0,81.493,MEDIUM
SAI,10.0,81.586,MEDIUM
SAI,11.0,81.316,MEDIUM
SAI,12.0,81.9,MEDIUM
SAI,13.0,81.747,MEDIUM
SAI,14.0,81.638,MEDIUM
SAI,15.0,81.61,MEDIUM
SAI,16.0,81.671,MEDIUM
SAI,17.0,82.173,MEDIUM
SAI,18.0,81.738,MEDIUM
SAI,19.0,82.113,MEDIUM
SAI,20.0,82.025,MEDIUM
SAI,21.0,82.006,MEDIUM
SAI,22.0,81.926,MEDIUM
SAI,23.0,81.812,MEDIUM
SAI,24.0,81.773,MEDIUM
SAI,25.0,81.468,MEDIUM
SAI,26.0,81.588,MEDIUM
SAI,27.0,86.35,MEDIUM
SAI,28.0,104.128,HARD
SAI,29.0,81.597,HARD
SAI,30.0,80.648,HARD
SAI,31.0,80.652,HARD
SAI,32.0,80.636,HARD
SAI,33.0,80.724,HARD
SAI,34.0,80.848,HARD
SAI,35.0,80.705,HARD
SAI,36.0,80.849,HARD
SAI,37.0,80.466,HARD
SAI,38.0,80.496,HARD
SAI,39.0,80.531,HARD
SAI,40.0,80.519,HARD
SAI,41.0,80.615,HARD
SAI,42.0,80.667,HARD
SAI,43.0,80.701,HARD
SAI,44.0,81.066,HARD
SAI,45.0,81.256,HARD
SAI,46.0,81.064,HARD
SAI,47.0,82.064,HARD
SAI,48.0,80.999,HARD
SAI,49.0,80.737,HARD
SAI,50.0,80.988,HARD
SAI,51.0,81.748,HARD
SAI,52.0,81.601,HARD
SAI,53.0,81.238,HARD
SAI,54.0,80.827,HARD
SAI,55.0,80.803,HARD
SAI,56.0,80.959,HARD
SAI,57.0,80.759,HARD
SAI,58.0,80.792,HARD
SAI,59.0,80.74,HARD
SAI,60.0,80.992,HARD
SAI,61.0,81.378,HARD
SAI,62.0,80.97,HARD
SAI,63.0,80.22,HARD
PIA,2.0,81.311,MEDIUM
PIA,3.0,80.808,MEDIUM
PIA,4.0,81.377,MEDIUM
PIA,5.0,81.269,MEDIUM
PIA,6.0,81.307,MEDIUM
PIA,7.0,81.08,MEDIUM
PIA,8.0,81.523,MEDIUM
PIA,9.0,81.508,MEDIUM
PIA,10.0,81.586,MEDIUM
PIA,11.0,81.191,MEDIUM
PIA,12.0,82.11,MEDIUM
PIA,13.0,81.888,MEDIUM
PIA,14.0,81.653,MEDIUM
PIA,15.0,81.679,MEDIUM
PIA,16.0,81.734,MEDIUM
PIA,17.0,81.912,MEDIUM
