Driver,LapNumber,LapTime,Compound
VER,1.0,102.03,MEDIUM
VER,2.0,78.049,MEDIUM
VER,3.0,100.449,MEDIUM
VER,4.0,75.625,MEDIUM
VER,5.0,97.846,MEDIUM
VER,6.0,74.833,MEDIUM
VER,7.0,105.566,MEDIUM
VER,8.0,73.974,MEDIUM
VER,10.0,88.097,MEDIUM
VER,11.0,84.463,MEDIUM
VER,12.0,73.762,MEDIUM
VER,13.0,92.923,MEDIUM
VER,14.0,73.476,MEDIUM
VER,15.0,103.18,MEDIUM
VER,16.0,113.637,MEDIUM
VER,17.0,88.863,MEDIUM
VER,18.0,73.516,MEDIUM
VER,21.0,92.945,MEDIUM
VER,22.0,84.837,MEDIUM
VER,23.0,72.984,MEDIUM
VER,24.0,100.807,MEDIUM
VER,25.0,81.521,MEDIUM
VER,26.0,95.037,MEDIUM
VER,27.0,83.439,MEDIUM
VER,28.0,119.203,MEDIUM
SAR,1.0,97.927,HARD
SAR,2.0,80.371,HARD
SAR,3.0,83.174,HARD
SAR,4.0,77.557,HARD
SAR,5.0,76.493,HARD
SAR,6.0,104.236,HARD
SAR,7.0,76.24,HARD
SAR,8.0,103.364,HARD
SAR,9.0,75.801,HARD
SAR,10.0,103.071,HARD
SAR,11.0,107.098,HARD
SAR,12.0,75.769,HARD
SAR,14.0,89.04,MEDIUM
SAR,15.0,76.647,MEDIUM
SAR,16.0,75.74,MEDIUM
SAR,17.0,91.164,MEDIUM
SAR,18.0,74.773,MEDIUM
SAR,19.0,100.391,MEDIUM
SAR,21.0,93.273,MEDIUM
SAR,22.0,84.266,MEDIUM
SAR,23.0,74.824,MEDIUM
SAR,24.0,95.529,MEDIUM
SAR,25.0,74.15,MEDIUM
SAR,27.0,93.03,HARD
SAR,28.0,83.286,HARD
SAR,29.0,76.033,HARD
SAR,30.0,79.201,HARD
SAR,31.0,75.942,HARD
SAR,32.0,75.804,HARD
SAR,33.0,77.728,HARD
SAR,34.0,75.889,HARD
SAR,35.0,138.791,HARD
RIC,1.0,97.921,MEDIUM
RIC,2.0,81.532,MEDIUM
RIC,3.0,82.749,MEDIUM
RIC,4.0,77.173,MEDIUM
RIC,5.0,76.175,MEDIUM
RIC,6.0,106.27,MEDIUM
RIC,7.0,75.817,MEDIUM
RIC,8.0,106.481,MEDIUM
RIC,9.0,79.307,MEDIUM
RIC,10.0,75.114,MEDIUM
RIC,11.0,102.641,MEDIUM
RIC,12.0,75.044,MEDIUM
RIC,13.0,99.062,MEDIUM
RIC,14.0,74.663,MEDIUM
RIC,15.0,95.681,MEDIUM
RIC,16.0,74.275,MEDIUM
RIC,18.0,101.085,SOFT
RIC,19.0,92.678,SOFT
RIC,20.0,73.649,SOFT
RIC,21.0,115.676,SOFT
RIC,22.0,73.488,SOFT
RIC,23.0,117.895,SOFT
RIC,24.0,80.759,SOFT
RIC,25.0,72.901,SOFT
RIC,26.0,115.727,SOFT
RIC,28.0,100.432,SOFT
RIC,29.0,83.452,SOFT
RIC,30.0,74.472,SOFT
RIC,31.0,76.654,SOFT
RIC,32.0,90.549,SOFT
RIC,33.0,92.747,SOFT
RIC,34.0,75.017,SOFT
RIC,35.0,144.868,SOFT
NOR,1.0,97.812,HARD
NOR,2.0,78.396,HARD
NOR,3.0,87.613,HARD
NOR,4.0,75.294,HARD
NOR,5.0,82.772,HARD
NOR,6.0,74.757,HARD
NOR,7.0,94.243,HARD
NOR,8.0,74.573,HARD
NOR,9.0,98.959,HARD
NOR,10.0,74.227,HARD
NOR,11.0,99.465,HARD
NOR,12.0,73.934,HARD
NOR,14.0,93.964,MEDIUM
NOR,15.0,74.106,MEDIUM
NOR,16.0,84.263,MEDIUM
NOR,17.0,73.226,MEDIUM
NOR,18.0,97.993,MEDIUM
NOR,19.0,73.639,MEDIUM
NOR,20.0,97.476,MEDIUM
NOR,21.0,94.702,SOFT
NOR,22.0,79.987,SOFT
NOR,23.0,72.396,SOFT
NOR,25.0,84.74,MEDIUM
NOR,26.0,76.798,MEDIUM
NOR,27.0,75.861,MEDIUM
NOR,28.0,75.482,MEDIUM
NOR,29.0,75.804,MEDIUM
NOR,30.0,76.864,MEDIUM
NOR,31.0,76.371,MEDIUM
NOR,32.0,136.977,MEDIUM
GAS,1.0,96.403,HARD
GAS,2.0,84.352,HARD
GAS,3.0,79.712,HARD
GAS,4.0,77.356,HARD
GAS,7.0,92.827,MEDIUM
GAS,8.0,75.574,MEDIUM
GAS,9.0,136.922,MEDIUM
PER,1.0,93.248,HARD
PER,2.0,81.61,HARD
PER,3.0,77.737,HARD
PER,4.0,80.656,HARD
PER,5.0,76.54,HARD
PER,6.0,75.567,HARD
PER,7.0,92.856,HARD
PER,8.0,75.412,HARD
PER,9.0,142.516,HARD
PER,10.0,96.307,HARD
PER,11.0,88.445,HARD
PER,12.0,74.566,HARD
PER,13.0,90.576,HARD
PER,14.0,93.494,HARD
PER,15.0,73.953,HARD
PER,16.0,94.773,HARD
PER,17.0,73.91,HARD
PER,18.0,119.342,HARD
PER,19.0,107.652,HARD
PER,21.0,94.538,MEDIUM
PER,22.0,73.229,MEDIUM
PER,24.0,96.633,MEDIUM
PER,25.0,79.035,MEDIUM
PER,27.0,90.774,HARD
PER,28.0,140.02,HARD
ALO,1.0,92.985,HARD
ALO,2.0,81.112,HARD
ALO,3.0,77.714,HARD
ALO,4.0,87.763,HARD
ALO,5.0,76.178,HARD
ALO,6.0,83.081,HARD
ALO,7.0,79.431,HARD
ALO,8.0,75.549,HARD
ALO,9.0,93.612,HARD
ALO,10.0,75.201,HARD
ALO,11.0,81.181,HARD
ALO,12.0,74.543,HARD
ALO,14.0,94.413,SOFT
ALO,15.0,98.597,SOFT
ALO,16.0,73.78,SOFT
ALO,17.0,98.05,SOFT
ALO,18.0,73.048,SOFT
ALO,19.0,95.288,SOFT
ALO,20.0,72.775,SOFT
ALO,22.0,87.036,SOFT
ALO,23.0,84.734,SOFT
ALO,24.0,84.386,SOFT
ALO,25.0,74.306,SOFT
LEC,1.0,101.082,HARD
LEC,2.0,78.686,HARD
LEC,3.0,75.948,HARD
LEC,4.0,83.956,HARD
LEC,5.0,74.521,HARD
LEC,6.0,89.3,HARD
LEC,7.0,74.238,HARD
LEC,8.0,74.01,HARD
