Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2024-05-25 14:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-05-25 14:03:05,Other,CAR 44 (HAM) TIME 1:19.550 DELETED - TRACK LIMITS AT TURN 10 LAP 3 16:02:21,,,,,,
2024-05-25 14:03:20,Other,CAR 11 (PER) TIME 1:48.019 DELETED - TRACK LIMITS AT TURN 10 LAP 2 16:02:37,,,,,,
2024-05-25 14:05:17,Other,TURN 16 INCIDENT INVOLVING CARS 55 (SAI) AND 23 (ALB) NOTED - IMPEDING,,,,,,
2024-05-25 14:05:57,Other,CAR 63 (RUS) TIME 1:37.479 DELETED - TRACK LIMITS AT TURN 10 LAP 5 16:05:16,,,,,,
2024-05-25 14:06:41,Other,CAR 3 (RIC) TIME 1:37.553 DELETED - TRACK LIMITS AT TURN 10 LAP 5 16:05:46,,,,,,
2024-05-25 14:06:42,Other,CAR 24 (ZHO) TIME 1:46.598 DELETED - TRACK LIMITS AT TURN 1 LAP 4 16:04:57,,,,,,
2024-05-25 14:07:30,Other,FIA STEWARDS: TURN 16 INCIDENT INVOLVING CARS 55 (SAI) AND 23 (ALB) WILL BE INVESTIGATED AFTER THE SESSION - IMPEDING,,,,,,
2024-05-25 14:08:28,Other,CAR 4 (NOR) TIME 1:39.713 DELETED - TRACK LIMITS AT TURN 1 LAP 6 16:06:23,,,,,,
2024-05-25 14:09:02,Other,CAR 63 (RUS) TIME 1:52.435 DELETED - TRACK LIMITS AT TURN 1 LAP 7 16:07:07,,,,,,
2024-05-25 14:10:02,Other,"TURN 3 INCIDENT INVOLVING CARS 24 (ZHO), 77 (BOT) AND 3 (RIC) NOTED - IMPEDING",,,,,,
2024-05-25 14:10:50,Other,CAR 55 (SAI) TIME 1:44.831 DELETED - TRACK LIMITS AT TURN 10 LAP 6 16:10:08,,,,,,
2024-05-25 14:11:11,Other,CAR 4 (NOR) TIME 1:42.833 DELETED - TRACK LIMITS AT TURN 10 LAP 8 16:10:10,,,,,,
2024-05-25 14:11:42,Other,CAR 4 (NOR) TIME 1:42.833 DELETED - TRACK LIMITS AT TURN 16 LAP 8 16:10:35,,,,,,
2024-05-25 14:12:20,Other,TURN 8 INCIDENT INVOLVING CARS 55 (SAI) AND 1 (VER) NOTED - IMPEDING,,,,,,
2024-05-25 14:12:30,Other,CAR 11 (PER) LAP DELETED - TRACK LIMITS AT TURN 10 LAP 8 16:11:26 (PIT),,,,,,
2024-05-25 14:12:45,Other,"FIA STEWARDS: TURN 3 INCIDENT INVOLVING CARS 24 (ZHO), 77 (BOT) AND 3 (RIC) REVIEWED NO FURTHER INVESTIGATION - IMPEDING",,,,,,
2024-05-25 14:13:29,Flag,DOUBLE YELLOW IN TRACK SECTOR 15,,DOUBLE YELLOW,Sector,15.0,,
2024-05-25 14:13:30,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,
2024-05-25 14:13:37,Other,CAR 55 (SAI) LAP DELETED - TRACK LIMITS AT TURN 10 LAP 8 16:12:58 (PIT),,,,,,
2024-05-25 14:15:11,Other,FIA STEWARDS: TURN 8 INCIDENT INVOLVING CARS 55 (SAI) AND 1 (VER) REVIEWED NO FURTHER INVESTIGATION - IMPEDING,,,,,,
2024-05-25 14:15:25,Other,CAR 81 (PIA) TIME 1:42.702 DELETED - TRACK LIMITS AT TURN 10 LAP 9 16:14:13,,,,,,
2024-05-25 14:15:44,Other,CAR 4 (NOR) LAP DELETED - TRACK LIMITS AT TURN 10 LAP 11 16:15:01 (PIT),,,,,,
2024-05-25 14:15:44,Other,CAR 3 (RIC) TIME 1:46.289 DELETED - TRACK LIMITS AT TURN 10 LAP 10 16:14:52,,,,,,
2024-05-25 14:15:46,Other,CAR 27 (HUL) TIME 1:41.592 DELETED - TRACK LIMITS AT TURN 1 LAP 9 16:13:54,,,,,,
2024-05-25 14:15:47,Other,CAR 27 (HUL) TIME 1:41.592 DELETED - TRACK LIMITS AT TURN 10 LAP 9 16:14:56,,,,,,
2024-05-25 14:16:28,Other,CAR 18 (STR) TIME 1:51.655 DELETED - TRACK LIMITS AT TURN 10 LAP 10 16:15:47,,,,,,
2024-05-25 14:17:55,Other,CAR 11 (PER) TIME 1:43.987 DELETED - TRACK LIMITS AT TURN 10 LAP 11 16:17:06,,,,,,
2024-05-25 14:18:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2024-05-25 14:18:06,Other,FIRST CAR TO TAKE THE FLAG - CAR 1 (VER),,,,,,
2024-05-25 14:18:09,Other,CAR 27 (HUL) LAP DELETED - TRACK LIMITS AT TURN 10 LAP 11 16:17:40 (PIT),,,,,,
2024-05-25 14:20:11,Flag,DOUBLE YELLOW IN TRACK SECTOR 10,,DOUBLE YELLOW,Sector,10.0,,
2024-05-25 14:20:13,Flag,DOUBLE YELLOW IN TRACK SECTOR 7,,DOUBLE YELLOW,Sector,7.0,,
2024-05-25 14:20:14,Flag,DOUBLE YELLOW IN TRACK SECTOR 9,,DOUBLE YELLOW,Sector,9.0,,
2024-05-25 14:20:16,Flag,DOUBLE YELLOW IN TRACK SECTOR 3,,DOUBLE YELLOW,Sector,3.0,,
2024-05-25 14:20:17,Flag,CLEAR IN TRACK SECTOR 10,,CLEAR,Sector,10.0,,
2024-05-25 14:20:21,Flag,DOUBLE YELLOW IN TRACK SECTOR 10,,DOUBLE YELLOW,Sector,10.0,,
2024-05-25 14:20:28,Flag,DOUBLE YELLOW IN TRACK SECTOR 14,,DOUBLE YELLOW,Sector,14.0,,
2024-05-25 14:20:31,Flag,DOUBLE YELLOW IN TRACK SECTOR 6,,DOUBLE YELLOW,Sector,6.0,,
2024-05-25 14:20:35,Flag,DOUBLE YELLOW IN TRACK SECTOR 16,,DOUBLE YELLOW,Sector,16.0,,
2024-05-25 14:21:02,Flag,DOUBLE YELLOW IN TRACK SECTOR 15,,DOUBLE YELLOW,Sector,15.0,,
2024-05-25 14:21:30,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,
