Driver,LapNumber,LapTime,Compound
LEC,2.0,84.624,HARD
LEC,3.0,82.625,HARD
LEC,4.0,81.795,HARD
LEC,5.0,81.145,HARD
LEC,6.0,80.98,HARD
LEC,7.0,81.03,HARD
LEC,8.0,80.114,HARD
LEC,9.0,80.775,HARD
LEC,10.0,81.046,HARD
LEC,11.0,80.252,HARD
LEC,12.0,79.017,HARD
LEC,13.0,79.913,HARD
LEC,14.0,79.838,HARD
LEC,15.0,80.156,HARD
LEC,16.0,80.279,HARD
LEC,17.0,79.58,HARD
LEC,18.0,78.842,HARD
LEC,19.0,78.724,HARD
LEC,20.0,78.472,HARD
LEC,21.0,78.62,HARD
LEC,22.0,78.458,HARD
LEC,23.0,78.725,HARD
LEC,24.0,78.973,HARD
LEC,25.0,78.445,HARD
LEC,26.0,78.351,HARD
LEC,27.0,78.71,HARD
LEC,28.0,79.053,HARD
LEC,29.0,79.935,HARD
LEC,30.0,78.393,HARD
LEC,31.0,79.125,HARD
LEC,32.0,78.494,HARD
LEC,33.0,79.319,HARD
LEC,34.0,78.53,HARD
LEC,35.0,78.689,HARD
LEC,36.0,78.925,HARD
LEC,37.0,78.528,HARD
LEC,38.0,78.181,HARD
LEC,39.0,78.733,HARD
LEC,40.0,78.694,HARD
LEC,41.0,79.277,HARD
LEC,42.0,77.865,HARD
LEC,43.0,78.276,HARD
LEC,44.0,78.541,HARD
LEC,45.0,78.567,HARD
LEC,46.0,79.185,HARD
LEC,47.0,77.941,HARD
LEC,48.0,78.506,HARD
LEC,49.0,78.185,HARD
LEC,50.0,77.79,HARD
LEC,51.0,78.311,HARD
LEC,52.0,77.748,HARD
LEC,53.0,77.357,HARD
LEC,54.0,77.444,HARD
LEC,55.0,77.266,HARD
LEC,56.0,77.64,HARD
LEC,57.0,77.028,HARD
LEC,58.0,77.034,HARD
LEC,59.0,76.414,HARD
LEC,60.0,76.863,HARD
LEC,61.0,77.454,HARD
LEC,62.0,76.971,HARD
LEC,63.0,76.56,HARD
LEC,64.0,76.607,HARD
LEC,65.0,76.489,HARD
LEC,66.0,75.941,HARD
LEC,67.0,76.082,HARD
LEC,68.0,76.373,HARD
LEC,69.0,75.767,HARD
LEC,70.0,75.162,HARD
LEC,71.0,75.547,HARD
LEC,72.0,76.219,HARD
LEC,73.0,76.105,HARD
LEC,74.0,76.387,HARD
LEC,75.0,76.808,HARD
LEC,76.0,76.933,HARD
LEC,77.0,78.636,HARD
PIA,2.0,84.953,HARD
PIA,3.0,82.314,HARD
PIA,4.0,82.019,HARD
PIA,5.0,81.354,HARD
PIA,6.0,80.808,HARD
PIA,7.0,81.058,HARD
PIA,8.0,79.906,HARD
PIA,9.0,80.89,HARD
PIA,10.0,80.898,HARD
PIA,11.0,80.135,HARD
PIA,12.0,78.745,HARD
PIA,13.0,80.014,HARD
PIA,14.0,80.264,HARD
PIA,15.0,79.829,HARD
PIA,16.0,80.028,HARD
PIA,17.0,79.832,HARD
PIA,18.0,79.179,HARD
PIA,19.0,79.055,HARD
PIA,20.0,78.601,HARD
PIA,21.0,78.585,HARD
PIA,22.0,78.658,HARD
PIA,23.0,78.636,HARD
PIA,24.0,78.784,HARD
PIA,25.0,78.44,HARD
PIA,26.0,78.523,HARD
PIA,27.0,78.791,HARD
PIA,28.0,79.01,HARD
PIA,29.0,79.396,HARD
PIA,30.0,78.449,HARD
PIA,31.0,78.969,HARD
PIA,32.0,79.06,HARD
PIA,33.0,78.978,HARD
