Driver,LapNumber,LapTime,Compound
VER,1.0,102.169,INTERMEDIATE
VER,2.0,102.31,INTERMEDIATE
VER,4.0,105.726,INTERMEDIATE
VER,6.0,103.247,SOFT
VER,7.0,102.391,SOFT
VER,8.0,95.297,SOFT
VER,9.0,86.502,SOFT
SAR,1.0,104.04,WET
SAR,3.0,117.195,SOFT
SAR,4.0,96.586,SOFT
RIC,1.0,101.718,INTERMEDIATE
RIC,2.0,93.181,INTERMEDIATE
RIC,3.0,90.342,INTERMEDIATE
RIC,4.0,88.582,INTERMEDIATE
RIC,6.0,107.616,SOFT
RIC,7.0,103.991,SOFT
RIC,8.0,93.634,SOFT
NOR,1.0,106.734,WET
NOR,4.0,106.469,SOFT
NOR,5.0,94.355,SOFT
NOR,6.0,90.38,SOFT
NOR,7.0,84.435,SOFT
GAS,1.0,104.005,INTERMEDIATE
GAS,2.0,92.42,INTERMEDIATE
GAS,3.0,90.606,INTERMEDIATE
GAS,5.0,99.296,SOFT
GAS,6.0,91.78,SOFT
GAS,7.0,87.584,SOFT
PER,1.0,110.285,INTERMEDIATE
PER,2.0,93.309,INTERMEDIATE
PER,3.0,90.996,INTERMEDIATE
PER,4.0,89.226,INTERMEDIATE
PER,5.0,88.058,INTERMEDIATE
PER,7.0,100.018,SOFT
PER,8.0,92.199,SOFT
PER,9.0,91.542,SOFT
ALO,2.0,103.703,SOFT
ALO,3.0,93.411,SOFT
LEC,2.0,119.175,INTERMEDIATE
LEC,3.0,89.438,INTERMEDIATE
LEC,4.0,87.56,INTERMEDIATE
LEC,6.0,100.667,SOFT
LEC,7.0,91.524,SOFT
LEC,8.0,91.195,SOFT
LEC,9.0,85.306,SOFT
LEC,10.0,88.77,SOFT
STR,2.0,110.161,SOFT
STR,3.0,100.53,SOFT
MAG,1.0,117.665,WET
MAG,3.0,119.976,INTERMEDIATE
MAG,4.0,91.151,INTERMEDIATE
MAG,5.0,89.052,INTERMEDIATE
MAG,7.0,104.353,SOFT
TSU,1.0,103.629,INTERMEDIATE
TSU,2.0,91.973,INTERMEDIATE
TSU,3.0,89.675,INTERMEDIATE
TSU,4.0,88.723,INTERMEDIATE
TSU,6.0,102.904,SOFT
TSU,7.0,93.637,SOFT
TSU,8.0,89.035,SOFT
ALB,1.0,107.907,WET
ALB,3.0,112.781,SOFT
ZHO,1.0,111.467,WET
ZHO,2.0,117.055,WET
ZHO,3.0,107.363,INTERMEDIATE
HUL,1.0,112.404,WET
HUL,3.0,98.859,SOFT
HUL,4.0,92.826,SOFT
HAM,1.0,108.436,INTERMEDIATE
HAM,2.0,100.077,INTERMEDIATE
HAM,3.0,96.654,INTERMEDIATE
HAM,5.0,125.249,INTERMEDIATE
HAM,6.0,89.207,INTERMEDIATE
HAM,8.0,108.534,SOFT
HAM,9.0,89.823,SOFT
HAM,10.0,85.97,SOFT
SAI,2.0,114.87,INTERMEDIATE
SAI,3.0,91.715,INTERMEDIATE
SAI,4.0,89.124,INTERMEDIATE
SAI,5.0,87.485,INTERMEDIATE
SAI,7.0,103.779,SOFT
SAI,8.0,98.073,SOFT
SAI,9.0,93.258,SOFT
SAI,10.0,84.763,SOFT
DOO,2.0,126.267,SOFT
RUS,1.0,100.658,INTERMEDIATE
RUS,3.0,108.034,INTERMEDIATE
RUS,4.0,90.504,INTERMEDIATE
RUS,6.0,106.058,SOFT
RUS,7.0,91.209,SOFT
RUS,8.0,88.541,SOFT
BOT,1.0,103.569,WET
BOT,2.0,120.812,WET
BOT,3.0,108.023,INTERMEDIATE
BOT,4.0,93.215,INTERMEDIATE
BOT,6.0,100.686,INTERMEDIATE
BOT,7.0,87.67,INTERMEDIATE
BOT,9.0,107.615,SOFT
BOT,10.0,117.443,SOFT
PIA,1.0,103.126,WET
PIA,4.0,96.964,SOFT
PIA,5.0,91.626,SOFT
PIA,6.0,86.754,SOFT
