Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2024-06-08 16:15:18,Other,RISK OF RAIN FOR F1 THIRD PRACTICE SESSION IS 20%,,,,,,
2024-06-08 16:15:54,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,
2024-06-08 16:17:24,Flag,TRACK CLEAR,,CLEAR,Track,,,
2024-06-08 16:21:50,Other,PINK HEAD PADDING MATERIAL MUST BE USED,,,,,,
2024-06-08 16:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-06-08 16:35:14,Flag,YELLOW IN TRACK SECTOR 1,,YELLOW,Sector,1.0,,
2024-06-08 16:35:15,Other,DRS DISABLED IN ZONE 3,,,,,,
2024-06-08 16:35:32,Flag,RED FLAG,,RED,Track,,,
2024-06-08 16:35:32,Flag,CLEAR IN TRACK SECTOR 1,,CLEAR,Sector,1.0,,
2024-06-08 16:36:58,Other,TURN 9 INCIDENT INVOLVING CAR 2 (SAR) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – ESCAPE ROAD INSTRUCTIONS,,,,,,
2024-06-08 16:38:30,Flag,TRACK CLEAR,,CLEAR,Track,,,
2024-06-08 16:38:35,Drs,DRS ENABLED,ENABLED,,,,,
2024-06-08 16:38:50,Other,SESSION WILL RESUME AT 12:40,,,,,,
2024-06-08 16:39:51,Other,FIA STEWARDS: TURN 9 INCIDENT INVOLVING CAR 2 (SAR) REVIEWED NO FURTHER INVESTIGATION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – ESCAPE ROAD INSTRUCTIONS,,,,,,
2024-06-08 16:40:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-06-08 16:46:29,Other,TURN 9 INCIDENT INVOLVING CAR 23 (ALB) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – ESCAPE ROAD INSTRUCTIONS,,,,,,
2024-06-08 16:47:48,Other,FIA STEWARDS: TURN 9 INCIDENT INVOLVING CAR 23 (ALB) REVIEWED NO FURTHER INVESTIGATION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – ESCAPE ROAD INSTRUCTIONS,,,,,,
2024-06-08 17:05:14,Other,TURN 13 INCIDENT INVOLVING CAR 77 (BOT) NOTED - DRIVING UNNECESSARILY SLOWLY,,,,,,
2024-06-08 17:10:18,Other,FIA STEWARDS: TURN 13 INCIDENT INVOLVING CAR 77 (BOT) REVIEWED NO FURTHER INVESTIGATION - DRIVING UNNECESSARILY SLOWLY,,,,,,
2024-06-08 17:17:58,Flag,YELLOW IN TRACK SECTOR 1,,YELLOW,Sector,1.0,,
2024-06-08 17:17:59,Other,DRS DISABLED IN ZONE 3,,,,,,
2024-06-08 17:18:02,Other,DRS ENABLED IN ZONE 3,,,,,,
2024-06-08 17:18:02,Flag,CLEAR IN TRACK SECTOR 1,,CLEAR,Sector,1.0,,
2024-06-08 17:22:05,Other,INCIDENT INVOLVING CAR 23 (ALB) NOTED - UNSAFE CONDITION,,,,,,
2024-06-08 17:25:36,Other,TURN 9 INCIDENT INVOLVING CAR 63 (RUS) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – ESCAPE ROAD INSTRUCTIONS,,,,,,
2024-06-08 17:27:47,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 23 (ALB) REVIEWED NO FURTHER INVESTIGATION - UNSAFE CONDITION,,,,,,
2024-06-08 17:29:44,Other,FIA STEWARDS: TURN 9 INCIDENT INVOLVING CAR 63 (RUS) REVIEWED NO FURTHER INVESTIGATION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – ESCAPE ROAD INSTRUCTIONS,,,,,,
2024-06-08 17:30:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2024-06-08 17:30:12,Other,FIRST CAR TO TAKE THE FLAG - CAR 20 (MAG),,,,,,
2024-06-08 17:31:48,Flag,YELLOW IN TRACK SECTOR 15,,YELLOW,Sector,15.0,,
2024-06-08 17:31:49,Other,DRS DISABLED IN ZONE 3,,,,,,
2024-06-08 17:31:51,Other,DRS ENABLED IN ZONE 3,,,,,,
2024-06-08 17:31:51,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,
2024-06-08 17:34:35,Other,TURN 14 INCIDENT INVOLVING CAR 81 (PIA) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – ESCAPE ROAD INSTRUCTIONS,,,,,,
2024-06-08 17:37:17,Other,FIA STEWARDS: TURN 14 INCIDENT INVOLVING CAR 81 (PIA) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – ESCAPE ROAD INSTRUCTIONS,,,,,,
2024-06-08 17:37:23,Flag,YELLOW IN TRACK SECTOR 14,,YELLOW,Sector,14.0,,
2024-06-08 17:37:24,Other,DRS DISABLED IN ZONE 2,,,,,,
2024-06-08 17:37:37,Other,DRS ENABLED IN ZONE 2,,,,,,
2024-06-08 17:37:37,Flag,CLEAR IN TRACK SECTOR 14,,CLEAR,Sector,14.0,,
2024-06-08 17:38:59,Flag,DOUBLE YELLOW IN TRACK SECTOR 14,,DOUBLE YELLOW,Sector,14.0,,
2024-06-08 17:39:01,Other,DRS DISABLED IN ZONE 2,,,,,,
2024-06-08 17:44:17,Flag,DOUBLE YELLOW IN TRACK SECTOR 11,,DOUBLE YELLOW,Sector,11.0,,
