Driver,LapNumber,LapTime,Compound
VER,2.0,72.306,SOFT
VER,3.0,102.809,SOFT
VER,5.0,71.653,SOFT
VER,6.0,95.627,SOFT
VER,8.0,71.673,SOFT
VER,9.0,98.172,SOFT
VER,11.0,71.403,SOFT
SAR,2.0,74.301,SOFT
SAR,3.0,90.28,SOFT
SAR,5.0,73.81,SOFT
SAR,6.0,138.779,SOFT
SAR,8.0,73.509,SOFT
SAR,9.0,94.806,SOFT
RIC,2.0,73.771,SOFT
RIC,3.0,139.432,SOFT
RIC,5.0,73.269,SOFT
RIC,6.0,89.3,SOFT
RIC,8.0,73.075,SOFT
RIC,9.0,101.881,SOFT
NOR,2.0,72.386,SOFT
NOR,3.0,100.092,SOFT
NOR,5.0,71.872,SOFT
NOR,6.0,130.664,SOFT
NOR,8.0,71.796,SOFT
NOR,9.0,96.56,SOFT
NOR,11.0,71.383,SOFT
NOR,12.0,111.195,SOFT
GAS,2.0,73.011,SOFT
GAS,3.0,98.75,SOFT
GAS,5.0,72.651,SOFT
GAS,6.0,104.451,SOFT
GAS,8.0,72.182,SOFT
GAS,9.0,102.287,SOFT
GAS,11.0,72.079,SOFT
GAS,12.0,101.469,SOFT
GAS,14.0,72.853,SOFT
GAS,15.0,100.052,SOFT
GAS,17.0,71.857,SOFT
PER,2.0,73.09,SOFT
PER,3.0,146.374,SOFT
PER,5.0,72.477,SOFT
PER,6.0,103.763,SOFT
PER,8.0,72.27,SOFT
PER,9.0,108.63,SOFT
PER,11.0,72.054,SOFT
PER,12.0,104.458,SOFT
PER,14.0,73.061,SOFT
PER,15.0,104.208,SOFT
PER,17.0,72.061,SOFT
ALO,2.0,73.143,SOFT
ALO,3.0,103.215,SOFT
ALO,5.0,72.505,SOFT
ALO,6.0,107.34,SOFT
ALO,8.0,72.555,SOFT
ALO,9.0,134.755,SOFT
ALO,11.0,72.128,SOFT
ALO,12.0,111.484,SOFT
LEC,2.0,72.257,SOFT
LEC,3.0,99.097,SOFT
LEC,5.0,72.038,SOFT
LEC,6.0,92.084,SOFT
LEC,8.0,71.949,SOFT
LEC,9.0,88.473,SOFT
LEC,11.0,71.731,SOFT
STR,2.0,74.038,SOFT
STR,3.0,102.671,SOFT
STR,5.0,73.216,SOFT
STR,6.0,103.806,SOFT
STR,8.0,72.881,SOFT
STR,9.0,98.366,SOFT
STR,11.0,73.63,SOFT
STR,12.0,93.292,SOFT
STR,14.0,72.372,SOFT
STR,15.0,140.132,SOFT
MAG,2.0,73.526,SOFT
MAG,3.0,105.414,SOFT
MAG,5.0,72.937,SOFT
MAG,6.0,104.235,SOFT
TSU,2.0,74.046,SOFT
TSU,3.0,100.763,SOFT
TSU,5.0,73.399,SOFT
TSU,6.0,97.802,SOFT
TSU,8.0,72.985,SOFT
TSU,9.0,136.708,SOFT
ALB,2.0,73.398,SOFT
ALB,3.0,100.937,SOFT
ALB,5.0,73.153,SOFT
ALB,6.0,100.83,SOFT
ZHO,2.0,74.334,SOFT
ZHO,3.0,96.096,SOFT
ZHO,5.0,73.468,SOFT
ZHO,6.0,127.365,SOFT
ZHO,8.0,72.88,SOFT
ZHO,9.0,107.383,SOFT
ZHO,11.0,73.961,SOFT
ZHO,12.0,98.329,SOFT
ZHO,14.0,72.738,SOFT
ZHO,15.0,105.41,SOFT
HUL,2.0,73.014,SOFT
HUL,3.0,91.044,SOFT
HUL,5.0,72.708,SOFT
HUL,6.0,95.104,SOFT
HUL,8.0,72.365,SOFT
HUL,9.0,101.02,SOFT
HUL,11.0,72.31,SOFT
HUL,12.0,136.01,SOFT
OCO,2.0,73.247,SOFT
OCO,3.0,98.209,SOFT
OCO,5.0,72.691,SOFT
OCO,6.0,96.47,SOFT
OCO,8.0,72.376,SOFT
OCO,9.0,137.62,SOFT
OCO,11.0,72.109,SOFT
OCO,12.0,99.496,SOFT
OCO,14.0,73.045,SOFT
OCO,15.0,104.927,SOFT
OCO,17.0,72.125,SOFT
HAM,2.0,73.033,SOFT
HAM,3.0,105.965,SOFT
HAM,5.0,72.143,SOFT
HAM,6.0,100.122,SOFT
HAM,8.0,72.666,SOFT
HAM,9.0,89.256,SOFT
HAM,11.0,71.792,SOFT
HAM,12.0,97.456,SOFT
HAM,14.0,71.816,SOFT
HAM,15.0,85.168,SOFT
HAM,17.0,71.701,SOFT
SAI,2.0,72.403,SOFT
SAI,3.0,97.832,SOFT
SAI,5.0,71.874,SOFT
SAI,6.0,102.314,SOFT
SAI,8.0,71.915,SOFT
SAI,9.0,103.256,SOFT
SAI,11.0,71.736,SOFT
RUS,2.0,72.456,SOFT
RUS,3.0,109.126,SOFT
RUS,6.0,72.114,SOFT
RUS,7.0,84.218,SOFT
RUS,9.0,71.812,SOFT
RUS,10.0,101.386,SOFT
RUS,12.0,71.84,SOFT
RUS,13.0,100.477,SOFT
RUS,15.0,71.703,SOFT
BOT,2.0,73.203,SOFT
BOT,3.0,138.73,SOFT
BOT,5.0,72.758,SOFT
BOT,6.0,106.236,SOFT
BOT,8.0,72.482,SOFT
BOT,9.0,101.405,SOFT
BOT,11.0,72.227,SOFT
BOT,12.0,106.677,SOFT
PIA,2.0,73.04,SOFT
PIA,5.0,72.46,SOFT
PIA,6.0,103.746,SOFT
PIA,8.0,72.011,SOFT
PIA,9.0,102.148,SOFT
PIA,11.0,102.175,SOFT
PIA,13.0,72.542,SOFT
PIA,14.0,101.646,SOFT
